인덱스,팀명,YEAR,종합순위,ERA(투수),G(투수),W(투수),L(투수),SV(투수),HLD(투수),WPCT(투수),IP(투수),H(투수),HR(투수),BB(투수),HBP(투수),SO(투수),R(투수),ER(투수),WHIP(투수),CG(투수),SHO(투수),QS(투수),BSV(투수),TBF(투수),NP(투수),AVG(투수),2B(투수),3B(투수),SAC(투수),SF(투수),IBB(투수),WP(투수),BK(투수),AVG(타자),PA(타자),AB(타자),R(타자),H(타자),2B(타자),3B(타자),HR(타자),TB(타자),RBI(타자),SAC(타자),SF(타자),BB(타자),IBB(타자),HBP(타자),SO(타자),GDP(타자),SLG(타자),OBP(타자),OPS(타자),MH(타자),RISP(타자),PH-BA(타자),E(수비),PKO(수비),PO(수비),A(수비),DP(수비),FPCT(수비),PB(수비),SB(수비),CS(수비),CS%(수비),SBA(수비),SB(주루),CS(주루),SB%(주루),OOB(주루),PKO(주루),순위등락,ERA(투수)_현재성장,G(투수)_현재성장,W(투수)_현재성장,L(투수)_현재성장,SV(투수)_현재성장,HLD(투수)_현재성장,WPCT(투수)_현재성장,IP(투수)_현재성장,H(투수)_현재성장,HR(투수)_현재성장,BB(투수)_현재성장,HBP(투수)_현재성장,SO(투수)_현재성장,R(투수)_현재성장,ER(투수)_현재성장,WHIP(투수)_현재성장,CG(투수)_현재성장,SHO(투수)_현재성장,QS(투수)_현재성장,BSV(투수)_현재성장,TBF(투수)_현재성장,NP(투수)_현재성장,AVG(투수)_현재성장,2B(투수)_현재성장,3B(투수)_현재성장,SAC(투수)_현재성장,SF(투수)_현재성장,IBB(투수)_현재성장,WP(투수)_현재성장,BK(투수)_현재성장,AVG(타자)_현재성장,PA(타자)_현재성장,AB(타자)_현재성장,R(타자)_현재성장,H(타자)_현재성장,2B(타자)_현재성장,3B(타자)_현재성장,HR(타자)_현재성장,TB(타자)_현재성장,RBI(타자)_현재성장,SAC(타자)_현재성장,SF(타자)_현재성장,BB(타자)_현재성장,IBB(타자)_현재성장,HBP(타자)_현재성장,SO(타자)_현재성장,GDP(타자)_현재성장,SLG(타자)_현재성장,OBP(타자)_현재성장,OPS(타자)_현재성장,MH(타자)_현재성장,RISP(타자)_현재성장,PH-BA(타자)_현재성장,E(수비)_현재성장,PKO(수비)_현재성장,PO(수비)_현재성장,A(수비)_현재성장,DP(수비)_현재성장,FPCT(수비)_현재성장,PB(수비)_현재성장,SB(수비)_현재성장,CS(수비)_현재성장,CS%(수비)_현재성장,SBA(수비)_현재성장,SB(주루)_현재성장,CS(주루)_현재성장,SB%(주루)_현재성장,OOB(주루)_현재성장,PKO(주루)_현재성장,ERA(투수)_1년전성장,G(투수)_1년전성장,W(투수)_1년전성장,L(투수)_1년전성장,SV(투수)_1년전성장,HLD(투수)_1년전성장,WPCT(투수)_1년전성장,IP(투수)_1년전성장,H(투수)_1년전성장,HR(투수)_1년전성장,BB(투수)_1년전성장,HBP(투수)_1년전성장,SO(투수)_1년전성장,R(투수)_1년전성장,ER(투수)_1년전성장,WHIP(투수)_1년전성장,CG(투수)_1년전성장,SHO(투수)_1년전성장,QS(투수)_1년전성장,BSV(투수)_1년전성장,TBF(투수)_1년전성장,NP(투수)_1년전성장,AVG(투수)_1년전성장,2B(투수)_1년전성장,3B(투수)_1년전성장,SAC(투수)_1년전성장,SF(투수)_1년전성장,IBB(투수)_1년전성장,WP(투수)_1년전성장,BK(투수)_1년전성장,AVG(타자)_1년전성장,PA(타자)_1년전성장,AB(타자)_1년전성장,R(타자)_1년전성장,H(타자)_1년전성장,2B(타자)_1년전성장,3B(타자)_1년전성장,HR(타자)_1년전성장,TB(타자)_1년전성장,RBI(타자)_1년전성장,SAC(타자)_1년전성장,SF(타자)_1년전성장,BB(타자)_1년전성장,IBB(타자)_1년전성장,HBP(타자)_1년전성장,SO(타자)_1년전성장,GDP(타자)_1년전성장,SLG(타자)_1년전성장,OBP(타자)_1년전성장,OPS(타자)_1년전성장,MH(타자)_1년전성장,RISP(타자)_1년전성장,PH-BA(타자)_1년전성장,E(수비)_1년전성장,PKO(수비)_1년전성장,PO(수비)_1년전성장,A(수비)_1년전성장,DP(수비)_1년전성장,FPCT(수비)_1년전성장,PB(수비)_1년전성장,SB(수비)_1년전성장,CS(수비)_1년전성장,CS%(수비)_1년전성장,SBA(수비)_1년전성장,SB(주루)_1년전성장,CS(주루)_1년전성장,SB%(주루)_1년전성장,OOB(주루)_1년전성장,PKO(주루)_1년전성장,순위등락_1년전성장
2016두산,두산,2016,1,4.45,144,93,50,36,55,0.65,1287 2/3,1385,136,498,77,982,682,636,1.46,2,7,75,15,5658,22155,0.279,246,30,59,51,7,66,4,0.298,5841,5044,935,1504,284,25,183,2387,877,43,68,600,11,86,884,121,0.473,0.378,0.851,144,0.305,0.261,79,8,3863,1522,160,0.986,4,82,44,34.9,130,85,45,65.4,64,4,0,-0.57,0,14,-15,6,-2,0.101,1.666666667,0,-2,-86,0,-82,-94,-82,-0.07,-1,-3,17,-3,-104,-402,-0.001,-2,8,-45,6,-8,-6,-7,0.008,82,87,128,68,30,3,43,233,107,-32,8,33,-13,-13,64,-18,0.038,0.008,0.046,1,0.018,-0.001,-14,1,5,24,26,0.003,-2,-27,-4,4.3,-28,-26,-2,-4.9,8,-2,-0.41,16,20,-3,11,-4,0.084,162.3333333,74,17,134,19,224,43,40,-0.04,-1,8,16,4,696,2887,-0.015,5,-7,41,-10,11,16,7,-0.003,676,530,120,137,19,-4,32,244,124,-6,17,99,14,35,89,36,0.004,0.004,0.008,15,0.005,0.068,12,4,487,230,32,0,-1,-4,2,1.7,3,0,3,-1.3,6,0,5
2016NC,NC,2016,2,4.48,144,83,58,36,62,0.589,1286 1/3,1314,137,516,86,1147,690,640,1.42,0,10,42,13,5643,22029,0.266,208,18,53,40,2,84,7,0.291,5833,5007,857,1457,249,19,169,2251,808,70,52,609,18,93,1023,133,0.45,0.375,0.825,143,0.302,0.239,100,4,3859,1430,136,0.981,3,70,43,38.1,140,99,41,70.7,48,3,1,0.22,0,-1,1,-1,7,-0.007,7,31,-12,80,-27,90,35,35,0.08,-1,-1,-13,2,107,379,0.002,-13,1,-26,-10,-11,24,4,0.002,106,40,13,20,-34,-9,8,-8,6,6,-1,73,-7,-13,0,28,-0.005,0.008,0.003,-1,0.009,-0.041,17,1,21,-30,3,-0.004,-2,-15,6,7.8,-124,-105,-19,-6.6,-2,-11,-0.03,16,14,0,6,-4,0.045,143.6666667,109,32,-45,40,209,47,64,-0.12,-2,7,-4,-8,533,2330,-0.007,-2,5,1,12,5,10,-2,0.007,696,541,107,188,55,-8,18,281,105,20,2,93,16,39,105,15,0.008,0.014,0.022,17,-0.007,0.023,-4,-3,431,76,8,0.003,-4,-9,-6,-1.1,63,50,13,0.7,6,7,0
2016넥센,넥센,2016,3,4.96,144,77,66,38,74,0.538,1280 1/3,1487,152,435,68,895,757,705,1.5,0,4,45,17,5684,21627,0.294,249,27,66,59,3,50,3,0.293,5702,4990,813,1464,254,39,134,2198,765,34,59,556,17,63,956,121,0.44,0.368,0.808,144,0.306,0.244,94,8,3841,1460,121,0.983,11,98,60,38,237,154,83,65,56,11,1,0.05,0,-1,1,9,30,-0.007,-5.666666667,83,6,-83,-13,-171,-33,4,0.01,-1,-3,-4,6,-25,-554,0.013,13,-1,-4,14,-5,-35,-1,-0.005,-109,-79,-91,-48,-50,19,-69,-267,-90,-27,4,12,-1,-19,-142,9,-0.046,-0.004,-0.05,3,0.008,-0.026,-16,-16,-17,-80,-17,0.003,1,-13,8,6.1,90,54,36,-3,-16,-5,-0.34,16,0,17,-6,-11,-0.074,154.3333333,105,4,2,20,165,74,41,-0.11,1,4,6,-1,602,1453,-0.012,5,10,13,9,6,30,0,0,648,635,63,189,29,-11,4,208,69,-4,15,21,8,-19,249,12,-0.023,-0.01,-0.033,13,0.012,0.037,31,12,463,198,13,-0.004,3,-7,8,4.7,3,0,3,-1.4,18,3,-2
2016LG,LG,2016,4,5.04,144,71,71,34,75,0.5,1287 2/3,1426,122,539,109,909,807,721,1.53,2,5,53,16,5782,22100,0.284,243,23,64,56,27,84,1,0.29,5765,5051,786,1464,238,26,118,2108,744,65,54,523,10,72,982,92,0.417,0.361,0.778,143,0.286,0.236,103,12,3863,1580,139,0.981,9,80,49,38,191,121,70,63.4,70,13,5,0.42,0,7,-7,9,31,0.049,8,74,-3,49,11,-154,86,64,0.09,-1,0,-4,1,183,439,0.007,16,-3,-27,19,-3,2,-2,0.021,166,110,133,133,-14,4,4,139,143,-10,13,61,-8,-8,-94,-6,0.018,0.022,0.04,-1,0.041,0.018,0,-2,24,-28,-23,0,1,-47,-3,8.9,16,8,8,-1.2,15,4,0.04,16,2,14,-10,-21,-0.041,137,141,21,71,3,253,78,76,0.01,1,-4,10,-6,571,2221,0.002,32,-1,19,-7,5,31,2,-0.01,529,592,-15,117,39,0,24,228,-21,-2,-16,-62,1,17,259,-14,-0.001,-0.022,-0.023,17,-0.045,0.016,12,4,411,194,37,-0.001,-1,8,4,0.4,6,8,-2,2.5,4,0,-5
2016KIA,KIA,2016,5,4.97,144,70,73,38,74,0.49,1276,1456,131,561,59,965,785,705,1.58,7,5,58,21,5771,22527,0.29,230,23,75,54,18,69,7,0.286,5696,4999,803,1429,264,28,170,2259,754,66,45,499,12,87,997,109,0.452,0.358,0.81,144,0.288,0.286,111,10,3828,1441,139,0.979,4,136,49,26.5,151,101,50,66.9,52,12,2,0.18,0,3,-4,6,9,0.025,3,85,-12,-11,-39,-14,46,27,0.05,6,-5,14,4,98,401,0.007,-22,-8,-26,5,-4,-11,3,0.035,242,222,155,232,41,6,34,387,152,-13,2,45,-4,-14,-129,4,0.06,0.032,0.092,0,0.04,0.088,27,-4,9,-96,-9,-0.006,-2,-4,-7,-2.1,-14,-14,0,-2.8,-8,-1,-1.03,16,13,3,6,25,0.043,151.3333333,82,27,11,31,83,-49,-47,-0.12,-1,5,2,-4,530,1854,-0.01,0,-1,35,-3,14,2,3,-0.037,431,334,-14,-82,-23,-5,15,-70,-29,12,8,38,5,39,256,10,-0.045,-0.029,-0.074,16,-0.01,-0.037,-10,7,454,189,17,0.005,-1,-22,-8,0.3,-19,-6,-13,3.9,1,6,1
2016SK,SK,2016,6,4.87,144,69,75,31,43,0.479,1274,1386,151,527,76,945,784,689,1.5,1,5,60,12,5659,21558,0.28,232,22,61,48,18,65,7,0.291,5672,5023,753,1464,234,19,182,2282,715,71,47,429,13,102,1018,104,0.454,0.356,0.81,142,0.276,0.299,123,7,3822,1691,149,0.978,4,106,64,37.6,149,89,60,59.7,71,8,-1,0.16,0,0,2,0,-17,-0.007,-6.666666667,28,-2,10,6,-204,60,19,0.04,-2,-2,3,0,13,-632,0.005,-38,11,-16,10,-13,-6,3,0.019,84,162,60,141,20,9,37,290,59,-39,18,-61,0,4,-29,-9,0.044,0.007,0.051,-2,-0.004,0.072,28,0,-20,220,19,-0.004,-2,-2,13,5.5,-4,-5,1,-1.7,12,-6,-0.8,16,8,8,5,16,0.002,151.3333333,87,0,-5,2,312,-36,-22,-0.13,1,4,16,-3,534,2049,-0.012,31,-10,17,2,12,4,3,-0.019,506,438,-42,38,-31,-12,30,73,-40,19,-20,43,1,26,121,21,-0.024,-0.012,-0.036,16,-0.021,-0.078,-12,4,454,98,-2,0.004,0,5,0,-1,-32,-45,13,-13.7,9,3,0
2016한화,한화,2016,7,5.76,144,66,75,24,39,0.468,1292 2/3,1520,155,634,76,976,908,827,1.67,1,2,25,13,5937,23157,0.299,230,15,81,59,23,72,6,0.289,5838,5109,826,1478,242,27,142,2200,787,87,41,510,19,91,1025,123,0.431,0.362,0.793,144,0.301,0.28,124,7,3878,1497,152,0.977,8,124,66,34.7,102,64,38,62.7,58,10,-1,0.65,0,-2,-1,-8,-5,-0.004,13,171,-2,-14,-20,56,108,100,0.11,-4,-5,-12,-1,166,332,0.024,-2,3,-1,14,-15,-13,-3,0.018,122,257,109,162,24,8,12,238,120,-52,6,-71,-14,-18,-110,11,0.027,0.002,0.029,0,0.032,0.073,19,-2,39,-85,7,-0.004,-6,-41,3,7.1,-25,-16,-9,-0.3,1,-4,-1.24,16,19,-1,6,14,0.083,150.6666667,-102,-5,111,15,172,-89,-69,-0.2,3,4,0,3,459,2460,-0.043,-33,-36,13,-14,24,2,6,-0.012,661,435,98,65,-5,-5,26,128,73,89,-8,91,28,54,296,-13,-0.011,0.001,-0.01,16,0.003,-0.014,-8,2,452,238,19,0.004,2,55,4,-7.3,16,10,6,-0.1,11,9,3
2016롯데,롯데,2016,8,5.63,144,66,78,27,59,0.458,1266 1/3,1486,161,585,78,1009,865,792,1.64,2,5,50,18,5785,22761,0.297,276,32,60,52,27,82,5,0.288,5784,5001,777,1439,252,20,127,2112,732,62,41,596,18,83,1061,120,0.422,0.37,0.792,144,0.285,0.251,91,14,3799,1545,142,0.983,14,90,59,39.6,209,145,64,69.4,55,10,0,0.56,0,0,1,8,12,-0.004,-15,25,-3,96,-9,-6,63,70,0.12,-1,0,-9,0,61,405,0.006,23,19,-16,3,1,-7,2,0.008,104,29,12,46,-2,1,-50,-104,5,-18,13,64,-4,15,-125,-16,-0.024,0.014,-0.01,0,0.011,0.068,-23,4,-45,-24,4,0.004,-2,-17,5,6.1,55,41,14,1.9,-1,1,-0.12,16,8,8,-9,-17,0.005,148,151,37,18,35,234,83,68,-0.05,3,1,13,4,632,2595,-0.004,3,-13,-6,7,13,35,2,-0.007,486,485,49,105,2,-7,56,261,42,18,-13,-2,3,-2,222,41,0.01,-0.013,-0.003,17,-0.009,-0.062,25,-6,444,162,4,-0.003,5,23,17,2.9,50,41,9,6.9,7,7,-1
2016삼성,삼성,2016,9,5.64,144,65,78,34,60,0.455,1282 1/3,1507,193,518,87,935,869,804,1.58,2,4,49,18,5799,22623,0.296,251,20,59,43,6,52,8,0.293,5863,5093,852,1492,249,34,142,2235,792,88,55,552,15,75,864,119,0.439,0.367,0.806,144,0.298,0.221,90,12,3847,1410,140,0.983,8,115,58,33.5,154,104,50,67.5,51,5,-7,0.95,0,-23,22,0,0,-0.156,7,184,11,95,23,-259,153,139,0.21,-2,-3,-26,8,276,791,0.028,-19,3,-8,6,-5,8,6,-0.009,60,74,-45,-23,-10,9,-34,-117,-58,12,-2,-29,-6,5,-66,10,-0.03,-0.011,-0.041,1,-0.013,-0.018,-6,3,21,106,36,0.001,0,35,9,-4.5,-55,-53,-2,-7.6,-9,-1,0.17,16,10,9,-1,-5,-0.013,131.3333333,106,62,28,3,198,95,90,-0.04,1,1,12,-8,533,2204,-0.007,13,-7,1,-3,0,-7,-1,0.001,651,555,85,170,21,2,15,240,87,0,14,74,10,8,187,21,-0.004,0.001,-0.003,15,-0.016,0.016,19,3,394,133,0,-0.002,0,-20,5,7.4,2,-4,6,-2.7,0,-4,-1
2016kt,kt,2016,10,5.92,144,53,89,27,48,0.373,1273,1593,145,560,84,980,927,838,1.69,1,2,38,15,5896,23328,0.31,315,38,73,45,9,77,9,0.276,5620,4963,672,1369,214,11,116,1953,639,65,45,499,7,48,933,130,0.394,0.345,0.739,144,0.278,0.22,130,5,3819,1550,151,0.976,11,115,55,32.4,142,96,46,67.6,58,11,0,0.36,0,1,-2,11,17,0.009,6.333333333,75,-9,-17,-3,-66,52,56,0.04,-2,-1,4,5,97,461,0.007,42,13,-14,2,-8,-9,5,0.003,15,36,2,25,-7,-4,-13,-29,6,-10,8,-8,-14,-10,-179,12,-0.008,0,-0.008,2,0.006,-0.047,12,-9,19,20,-8,-0.002,5,-24,-9,0.9,-34,-28,-6,-2.9,0,1,0.040882353,0.950980392,1.098039216,0.117647059,2.637254902,2.098039216,0.003637255,8.052287582,15.51960784,0.794117647,5.990196078,0.078431373,13.42156863,10.34313725,9.784313725,0.007843137,-0.176470588,0.215686275,0.37254902,1.019607843,44.88235294,197.8333333,0.001166667,3.18627451,0.098039216,1.137254902,0.549019608,-0.166666667,2.225490196,0.088235294,0.001754902,48.47058824,35.66666667,14.32352941,18.00980392,3.392156863,-0.029411765,1.705882353,26.46078431,13.15686275,2.215686275,0.931372549,8.715686275,-0.009803922,1,9.558823529,1.431372549,0.002411765,0.002215686,0.004627451,0.931372549,0.001735294,0.002823529,0.441176471,0.264705882,24.15686275,6.715686275,0.960784314,1.96E-05,-0.176470588,1.107843137,-0.431372549,-0.491176471,1.049019608,0.931372549,0.117647059,0.144117647,0.911764706,0.352941176,0.019607843
