2루타,3루타,경기,경력 ,고의4구,대타타율,도루,도루성공률,도루실패,득점,득점권타울,등번호 ,루타,멀티히트,병살타,볼넷,사구,삼진,생년월일 ,선수명 ,신장/체중 ,실책,안타,연봉 ,입단 계약금 ,입단년도 ,장타율,지명순위 ,출루율,출루율+장타율,타석,타수,타율,타점,팀명,포지션 ,홈런,희생번트,희생플라이
11.0,0.0,58.0,군산중앙초-동인천중-인천고,0.0,0.0,1.0,50.0,1.0,28.0,0.378,15,65.0,13.0,1.0,21.0,1.0,36.0,1989년 10월 08일,국해성,180cm/94kg,1.0,42.0,3000만원,,09두산,0.43,08 두산 육성선수,0.368,0.798,174.0,151.0,0.278,24.0,두산,외야수(우투양타),4.0,0.0,1.0
27.0,3.0,137.0,남정초-중앙중-중앙고-두산-상무,1.0,0.333,8.0,66.7,4.0,69.0,0.336,52,183.0,36.0,8.0,57.0,5.0,52.0,1985년 03월 21일,김재호,181cm/75kg,10.0,129.0,41000만원,20000만원,04두산,0.44,04 두산 1차,0.389,0.829,496.0,416.0,0.31,78.0,두산,내야수(우투우타),7.0,5.0,13.0
32.0,3.0,134.0,영랑초-상인천중-인천고-두산-상무,3.0,0.8,8.0,80.0,2.0,107.0,0.313,32,309.0,48.0,9.0,71.0,0.0,107.0,1988년 09월 22일,김재환,183cm/90kg,5.0,160.0,5000만원,15000만원,08두산,0.628,08 두산 2차 1라운드 4순위,0.407,1.035,568.0,492.0,0.325,124.0,두산,내야수(우투좌타),37.0,0.0,5.0
5.0,0.0,90.0,청원초-선린중-충암고-두산-상무,0.0,0.0,3.0,60.0,2.0,34.0,0.296,8,48.0,7.0,0.0,10.0,3.0,28.0,1994년 01월 13일,류지혁,181cm/75kg,2.0,34.0,3000만원,7000만원,12두산,0.407,12 두산 4라운드 36순위,0.356,0.763,134.0,118.0,0.288,9.0,두산,내야수(우투좌타),3.0,2.0,1.0
31.0,4.0,134.0,화곡초-잠신중-덕수정보고-두산-경찰,1.0,0.25,9.0,81.8,2.0,98.0,0.357,49,253.0,48.0,18.0,48.0,15.0,91.0,1987년 03월 10일,민병헌,178cm/78kg,0.0,166.0,35000만원,12000만원,06두산,0.495,06 두산 2차 2라운드 14순위,0.396,0.891,579.0,511.0,0.325,87.0,두산,외야수(우투우타),16.0,1.0,4.0
36.0,4.0,132.0,역삼초-이수중-서울고-두산-경찰,0.0,0.143,17.0,73.9,6.0,95.0,0.331,37,266.0,49.0,9.0,38.0,9.0,86.0,1990년 09월 08일,박건우,184cm/80kg,3.0,162.0,7000만원,10000만원,09두산,0.55,09 두산 2차 2라운드 10순위,0.39,0.94,540.0,484.0,0.335,83.0,두산,외야수(우투우타),20.0,4.0,5.0
5.0,1.0,87.0,수유초-신일중-신일고-고려대-두산-상무,0.0,0.5,2.0,50.0,2.0,26.0,0.148,47,58.0,3.0,1.0,22.0,2.0,45.0,1990년 01월 09일,박세혁,181cm/86kg,2.0,36.0,3000만원,6000만원,12두산,0.337,12 두산 5라운드 47순위,0.302,0.639,210.0,172.0,0.209,23.0,두산,포수(우투좌타),5.0,11.0,3.0
17.0,0.0,108.0,송정동초-무등중-진흥고-두산-경찰,1.0,0.2,2.0,100.0,0.0,66.0,0.245,25,189.0,30.0,20.0,40.0,12.0,29.0,1987년 06월 05일,양의지,179cm/85kg,7.0,106.0,42000만원,3000만원,06두산,0.569,06 두산 2차 8라운드 59순위,0.404,0.973,392.0,332.0,0.319,66.0,두산,포수(우투우타),22.0,1.0,7.0
18.0,1.0,122.0,서울학동초-서울경원중-야탑고-경희대,1.0,0.667,13.0,56.5,10.0,68.0,0.33,24,148.0,25.0,10.0,54.0,5.0,82.0,1985년 02월 09일,오재원,185cm/80kg,16.0,113.0,55000만원,,07두산,0.356,04 두산 2차 9라운드 72순위,0.358,0.714,484.0,416.0,0.272,58.0,두산,내야수(우투좌타),5.0,3.0,6.0
20.0,2.0,105.0,인창초(구리리틀)-구리인창중-야탑고-현대-상무-히어로즈-넥센,2.0,0.5,1.0,100.0,0.0,69.0,0.295,36,225.0,37.0,5.0,64.0,2.0,73.0,1986년 10월 29일,오재일,187cm/95kg,7.0,120.0,9500만원,8000만원,05현대,0.592,05 현대 2차 3라운드 24순위,0.411,1.003,455.0,380.0,0.316,92.0,두산,내야수(좌투좌타),27.0,2.0,7.0
7.0,2.0,114.0,신곡초-수원북중-유신고,0.0,0.0,12.0,75.0,4.0,49.0,0.243,31,82.0,16.0,7.0,25.0,6.0,48.0,1990년 10월 07일,정수빈,175cm/70kg,2.0,65.0,28000만원,6000만원,09두산,0.305,09 두산 2차 5라운드 39순위,0.319,0.624,305.0,269.0,0.242,20.0,두산,외야수(좌투좌타),2.0,4.0,1.0
0.0,1.0,31.0,인헌초-선린중-유신고-중앙대-두산-상무,0.0,0.25,0.0,0.0,2.0,9.0,0.333,33,11.0,3.0,0.0,6.0,2.0,1.0,1988년 10월 02일,정진호,185cm/78kg,0.0,9.0,5200만원,6000만원,11두산,0.458,11 두산 5라운드 38순위,0.531,0.989,32.0,24.0,0.375,3.0,두산,외야수(우투좌타),0.0,0.0,0.0
0.0,0.0,66.0,노암초-경포중-강릉고-건국대,0.0,1.0,2.0,40.0,3.0,16.0,0.3,9,8.0,0.0,0.0,0.0,0.0,6.0,1993년 08월 30일,조수행,178cm/73kg,1.0,8.0,2700만원,14000만원,16두산,0.276,16 두산 2차 1라운드 5순위,0.276,0.552,29.0,29.0,0.276,3.0,두산,외야수(우투좌타),0.0,0.0,0.0
24.0,4.0,144.0,송정동초-충장중-광주제일고-두산-경찰,1.0,0.0,6.0,50.0,6.0,96.0,0.321,13,207.0,43.0,14.0,49.0,14.0,58.0,1990년 08월 26일,허경민,176cm/69kg,8.0,154.0,20000만원,13000만원,09두산,0.385,09 두산 2차 1라운드 7순위,0.36,0.745,609.0,538.0,0.286,81.0,두산,내야수(우투우타),7.0,6.0,2.0
