2루타,3루타,경기,경력 ,고의4구,대타타율,도루,도루성공률,도루실패,득점,득점권타울,등번호 ,루타,멀티히트,병살타,볼넷,사구,삼진,생년월일 ,선수명 ,신장/체중 ,실책,안타,연봉 ,입단 계약금 ,입단년도 ,장타율,지명순위 ,출루율,출루율+장타율,타석,타수,타율,타점,팀명,포지션 ,홈런,희생번트,희생플라이
6.0,1.0,66.0,부산중앙초-개성중-경남상고-KIA,0.0,0.25,3.0,100.0,0.0,23.0,0.216,51,71.0,14.0,7.0,28.0,2.0,46.0,1982년 12월 07일,김경언,188cm/84kg,1.0,48.0,20000만원,10000만원,01KIA,0.39,01 해태 2차 2라운드 15순위,0.363,0.753,217.0,182.0,0.264,25.0,한화,외야수(좌투좌타),5.0,2.0,3.0
39.0,0.0,144.0,천안남산초-천안북중-북일고-(대전대),10.0,0.0,1.0,100.0,0.0,94.0,0.417,52,301.0,60.0,11.0,108.0,9.0,97.0,1982년 05월 29일,김태균,185cm/110kg,4.0,193.0,160000만원,16000만원,01한화,0.569,01 한화 1차 ,0.475,1.044,652.0,529.0,0.365,136.0,한화,내야수(우투우타),23.0,0.0,6.0
31.0,2.0,127.0,도미니카 엘리아스 로드리게스고,3.0,0.333,1.0,25.0,3.0,78.0,0.348,40,292.0,46.0,16.0,33.0,4.0,90.0,1989년 02월 23일,로사리오,180cm/100kg,6.0,158.0,1000000달러,300000달러,16한화,0.593,16 한화 자유선발,0.367,0.96,532.0,492.0,0.321,120.0,한화,내야수(우투우타),33.0,1.0,2.0
27.0,2.0,116.0,대전신흥초-충남중-공주고-동국대,0.0,0.5,3.0,100.0,0.0,80.0,0.328,7,228.0,43.0,16.0,28.0,4.0,86.0,1983년 06월 24일,송광민,184cm/90kg,14.0,146.0,10000만원,10000만원,06한화,0.508,02 한화 2차 10라운드 76순위,0.366,0.874,494.0,449.0,0.325,83.0,한화,내야수(우투우타),17.0,7.0,6.0
0.0,0.0,33.0,효제초-중앙중-중앙고-(방송통신대)-삼성,0.0,0.0,0.0,0.0,2.0,3.0,0.0,9,5.0,0.0,1.0,3.0,0.0,12.0,1988년 07월 11일,송주호,181cm/75kg,0.0,5.0,4000만원,,10삼성,0.106,07 삼성 육성선수,0.16,0.266,52.0,47.0,0.106,1.0,한화,외야수(우투좌타),0.0,2.0,0.0
8.0,0.0,89.0,가동초-덕수중-교토고쿠사이고-히로시마-고양,0.0,0.294,0.0,0.0,4.0,30.0,0.191,68,76.0,10.0,3.0,15.0,5.0,54.0,1990년 10월 19일,신성현,183cm/85kg,7.0,44.0,3700만원,,15한화,0.481,15 한화 육성선수,0.36,0.841,184.0,158.0,0.278,24.0,한화,내야수(우투우타),8.0,6.0,0.0
12.0,4.0,108.0,하안북초-선린중-충암고-동국대-한화-경찰,0.0,0.667,5.0,71.4,2.0,52.0,0.318,28,136.0,27.0,6.0,39.0,9.0,67.0,1989년 05월 02일,양성우,174cm/84kg,3.0,104.0,2800만원,7000만원,12한화,0.354,12 한화 4라운드 41순위,0.347,0.701,446.0,384.0,0.271,53.0,한화,외야수(우투좌타),4.0,8.0,6.0
20.0,4.0,113.0,성동초-잠신중-덕수정보고-LG-KIA,1.0,0.0,21.0,65.6,11.0,98.0,0.374,15,196.0,54.0,7.0,63.0,7.0,29.0,1985년 08월 26일,이용규,175cm/70kg,3.0,159.0,70000만원,,04LG,0.434,04 LG 2차 2라운드 15순위,0.438,0.872,530.0,452.0,0.352,41.0,한화,외야수(좌투좌타),3.0,7.0,1.0
7.0,3.0,98.0,감천초-대동중-경남고-현대-우리-히어로즈-넥센-두산,0.0,0.25,3.0,50.0,3.0,38.0,0.22,62,63.0,9.0,3.0,16.0,0.0,44.0,1982년 05월 09일,장민석,180cm/73kg,3.0,47.0,10000만원,10000만원,01현대,0.307,01 현대 2차 1라운드 9순위,0.285,0.592,227.0,205.0,0.229,16.0,한화,외야수(좌투좌타),1.0,6.0,0.0
31.0,2.0,138.0,성북초(부산동래마린스리틀)-부산동성중-부산고-고려대-SK,2.0,0.0,22.0,78.6,6.0,121.0,0.388,8,267.0,54.0,14.0,60.0,9.0,58.0,1982년 10월 02일,정근우,172cm/80kg,16.0,178.0,70000만원,14000만원,05SK,0.464,05 SK 2차 1라운드 7순위,0.381,0.845,650.0,575.0,0.31,88.0,한화,내야수(우투우타),18.0,1.0,5.0
21.0,1.0,115.0,서울강남초-덕수중-신일고-한화-상무,1.0,0.833,5.0,41.7,7.0,58.0,0.291,16,166.0,25.0,3.0,18.0,9.0,115.0,1994년 02월 25일,하주석,184cm/84kg,19.0,113.0,3200만원,30000만원,12한화,0.41,12 한화 1라운드 1순위,0.323,0.733,441.0,405.0,0.279,57.0,한화,내야수(우투좌타),10.0,8.0,1.0
