2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
17.0,2.0,66.0,수창초-성광중-포철공고-삼성,5.0,47,1.0,42.0,3.0,77.0,1983년 11월 06일,권혁,3.0,0.75,6.0,192cm/100kg,45.0,45000만원,0.0,0.0,95.33333333333333,1.42,15000만원,02삼성,41.0,02 삼성 1차,0.0,418.0,1654.0,한화,2.0,3.87,투수(좌투좌타),2.0,93.0,0.263,13.0,5.0,10.0,5.0
2.0,0.0,5.0,사파초-마산중-용마고,0.0,64,0.0,8.0,0.0,7.0,1995년 07월 25일,김민우,0.0,0.0,0.0,189cm/105kg,18.0,3800만원,0.0,0.0,9.666666666666666,3.0,20000만원,15한화,17.0,15 한화 2차 1라운드 1순위,0.0,56.0,237.0,한화,3.0,15.83,투수(우투우타),1.0,21.0,0.447,0.0,2.0,1.0,0.0
2.0,0.0,5.0,온천초-온양중-북일고,0.0,69,0.0,6.0,0.0,5.0,1995년 10월 03일,김범수,0.0,1.0,1.0,182cm/81kg,6.0,3200만원,0.0,0.0,5.666666666666667,2.12,20000만원,15한화,6.0,15 한화 1차,0.0,30.0,117.0,한화,0.0,9.53,투수(좌투좌타),2.0,6.0,0.261,0.0,1.0,0.0,0.0
2.0,0.0,17.0,온양온천초-온양중-북일고-한화-상무,0.0,56,0.0,15.0,0.0,12.0,1991년 10월 23일,김용주,0.0,0.0,0.0,175cm/73kg,18.0,3000만원,0.0,0.0,15.666666666666666,2.17,18000만원,10한화,17.0,10 한화 1라운드 4순위,0.0,79.0,312.0,한화,2.0,9.77,투수(좌투좌타),1.0,19.0,0.311,0.0,2.0,1.0,2.0
8.0,0.0,6.0,도미니카 리체오 호세 호아킨고,0.0,42,3.0,12.0,0.0,24.0,1985년 08월 14일,로저스,0.0,0.4,2.0,192cm/90kg,22.0,1700000달러,0.0,1.0,37.666666666666664,1.43,,15한화,18.0,15 한화 자유선발,3.0,160.0,601.0,한화,3.0,4.3,투수(우투우타),0.0,42.0,0.296,0.0,3.0,2.0,2.0
1.0,2.0,9.0,,0.0,48,0.0,34.0,0.0,23.0,1985년 07월 01일,마에스트리,0.0,0.5,2.0,183cm/80kg,37.0,20000000엔,0.0,0.0,28.666666666666668,2.48,,16한화,30.0,16 한화 자유선발,2.0,157.0,670.0,한화,2.0,9.42,투수(우투우타),6.0,37.0,0.316,0.0,4.0,3.0,2.0
14.0,1.0,77.0,청주중앙초-청주중-세광고-연세대,2.0,17,0.0,33.0,1.0,85.0,1976년 05월 27일,박정진,0.0,0.5,4.0,183cm/88kg,58.0,30000만원,0.0,0.0,84.0,1.54,,99한화,52.0,99 한화 1차 ,0.0,374.0,1560.0,한화,4.0,5.57,투수(좌투좌타),9.0,96.0,0.292,6.0,11.0,7.0,3.0
9.0,0.0,17.0,미국 노스캐롤라이나 주립대,0.0,42,0.0,17.0,1.0,36.0,1987년 07월 16일,서캠프,1.0,0.286,2.0,198cm/100kg,32.0,450000달러,0.0,0.0,41.333333333333336,1.72,,16한화,29.0,16 한화 자유선발,1.0,194.0,744.0,한화,5.0,6.31,투수(좌투좌타),2.0,54.0,0.32,0.0,5.0,2.0,1.0
5.0,0.0,11.0,재동초-중앙중-중앙고-고려대-현대-우리-히어로즈-넥센-LG-한화-NC-넥센,0.0,19,0.0,2.0,0.0,7.0,1977년 03월 01일,송신영,0.0,0.0,0.0,180cm/88kg,8.0,19000만원,0.0,0.0,14.333333333333334,1.81,,99현대,8.0,99 현대 2차 11라운드 88순위,0.0,65.0,226.0,한화,1.0,5.02,투수(우투우타),0.0,24.0,0.4,0.0,1.0,0.0,2.0
21.0,1.0,30.0,서흥초-동산중-동산고-SK-KIA,1.0,46,0.0,49.0,0.0,85.0,1984년 03월 17일,송은범,0.0,0.154,2.0,182cm/93kg,95.0,45000만원,0.0,0.0,122.0,1.7,40000만원,03SK,87.0,03 SK 1차,4.0,562.0,2176.0,한화,11.0,6.42,투수(우투우타),11.0,159.0,0.321,1.0,13.0,5.0,7.0
11.0,2.0,66.0,청주서원초-세광중-세광고,0.0,31,0.0,45.0,0.0,77.0,1985년 03월 25일,송창식,0.0,0.615,8.0,183cm/104kg,61.0,16000만원,0.0,0.0,97.66666666666667,1.45,20000만원,04한화,54.0,04 한화 2차 1라운드 2순위,0.0,437.0,1707.0,한화,5.0,4.98,투수(우투우타),7.0,97.0,0.259,8.0,10.0,4.0,4.0
