2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
12.0,1.0,24.0,서원초-세광중-세광고-롯데-SK,1.0,35,1.0,29.0,0.0,52.0,1983년 02월 08일,고효준,0.0,0.0,0.0,179cm/73kg,39.0,8000만원,0.0,0.0,46.0,1.8,11000만원,02롯데,31.0,02 롯데 2차 1라운드 6순위,0.0,222.0,924.0,KIA,2.0,6.07,투수(좌투좌타),3.0,54.0,0.29,2.0,6.0,3.0,2.0
8.0,1.0,27.0,송정동초-무등중-광주제일고,0.0,21,1.0,22.0,1.0,16.0,1986년 03월 14일,곽정철,2.0,0.0,0.0,186cm/97kg,24.0,5500만원,0.0,0.0,27.333333333333332,2.05,13000만원,15KIA,24.0,05 KIA 1차,0.0,137.0,526.0,KIA,1.0,7.9,투수(우투우타),1.0,34.0,0.309,1.0,3.0,2.0,1.0
10.0,1.0,54.0,숭의초-상인천중-인천고-LG-한화,1.0,55,0.0,22.0,4.0,39.0,1981년 05월 05일,김광수,7.0,0.25,2.0,182cm/84kg,31.0,10000만원,0.0,0.0,52.333333333333336,1.7,13500만원,00LG,30.0,00 LG 2차 2라운드 11순위,0.0,241.0,970.0,KIA,6.0,5.16,투수(우투우타),2.0,67.0,0.312,14.0,5.0,3.0,1.0
8.0,0.0,31.0,남도초-경상중-경북고-KIA-상무,0.0,49,0.0,38.0,1.0,47.0,1993년 04월 01일,김윤동,2.0,0.0,0.0,186cm/88kg,33.0,2700만원,0.0,0.0,53.0,1.62,8000만원,12KIA,32.0,12 KIA 4라운드 38순위,0.0,242.0,1046.0,KIA,3.0,5.43,투수(우투우타),4.0,48.0,0.241,2.0,9.0,1.0,1.0
4.0,0.0,11.0,광주서석초-진흥중-진흥고,1.0,94,0.0,5.0,0.0,10.0,1983년 03월 07일,김진우,0.0,0.667,2.0,193cm/115kg,8.0,12000만원,0.0,0.0,15.0,1.4,70000만원,02KIA,8.0,02 KIA 1차,0.0,65.0,242.0,KIA,1.0,4.8,투수(우투우타),2.0,16.0,0.276,2.0,3.0,0.0,0.0
11.0,1.0,46.0,송정동초-진흥중-중앙고-동강대,3.0,38,0.0,22.0,2.0,33.0,1992년 06월 26일,박준표,0.0,1.0,4.0,181cm/93kg,39.0,4500만원,0.0,0.0,51.666666666666664,1.59,4000만원,13KIA,36.0,13 KIA 7라운드 62순위,0.0,238.0,894.0,KIA,0.0,6.27,투수(우언우타),2.0,60.0,0.297,5.0,4.0,2.0,4.0
3.0,0.0,54.0,광주화정초-충장중-광주제일고,0.0,1,0.0,21.0,1.0,33.0,1991년 09월 20일,심동섭,1.0,0.714,5.0,185cm/93kg,30.0,14000만원,0.0,0.0,37.666666666666664,1.75,18000만원,10KIA,27.0,10 KIA 1라운드 3순위,0.0,182.0,760.0,KIA,2.0,6.45,투수(좌투좌타),2.0,45.0,0.292,13.0,5.0,1.0,2.0
31.0,2.0,31.0,학강초-동성중-동성고,0.0,54,2.0,77.0,0.0,146.0,1988년 03월 01일,양현종,0.0,0.455,10.0,183cm/91kg,96.0,75000만원,0.0,3.0,200.33333333333334,1.34,20000만원,07KIA,82.0,07 KIA 2차 1라운드 1순위,22.0,850.0,3207.0,KIA,12.0,3.68,투수(좌투좌타),6.0,191.0,0.255,0.0,19.0,16.0,5.0
2.0,1.0,16.0,구리초(구리리틀)-구리인창중-야탑고,0.0,20,0.0,8.0,0.0,26.0,1986년 07월 24일,윤석민,1.0,0.5,2.0,184cm/89kg,14.0,125000만원,0.0,1.0,31.0,1.42,13000만원,05KIA,11.0,05 KIA 2차 1라운드 6순위,2.0,139.0,516.0,KIA,2.0,3.19,투수(우투우타),1.0,36.0,0.286,6.0,1.0,0.0,0.0
3.0,2.0,13.0,군산남초-군산중-군산상고-중앙대,0.0,65,0.0,11.0,1.0,7.0,1992년 08월 10일,이준영,0.0,0.0,0.0,177cm/82kg,17.0,2700만원,0.0,0.0,17.666666666666668,1.87,8000만원,15KIA,17.0,15 KIA 2차 4라운드 42순위,0.0,87.0,360.0,KIA,2.0,8.66,투수(좌투좌타),1.0,22.0,0.293,1.0,4.0,1.0,0.0
5.0,1.0,19.0,서림초-진흥중-진흥고-(전남과학대)-KIA-경찰,1.0,56,0.0,33.0,0.0,15.0,1991년 10월 08일,임기준,1.0,0.0,0.0,182cm/83kg,23.0,3300만원,0.0,0.0,31.333333333333332,2.23,10000만원,10KIA,21.0,10 KIA 2라운드 14순위,0.0,158.0,630.0,KIA,2.0,6.03,투수(좌투좌타),1.0,37.0,0.316,1.0,2.0,3.0,1.0
7.0,1.0,34.0,대성초-진흥중-진흥고-해태-삼성,3.0,12,1.0,10.0,6.0,38.0,1976년 06월 04일,임창용,15.0,0.5,3.0,180cm/75kg,18.0,30000만원,0.0,0.0,35.0,1.57,3000만원,95해태,17.0,95 해태 고졸신인,0.0,159.0,614.0,KIA,3.0,4.37,투수(우언우타),5.0,45.0,0.313,0.0,5.0,2.0,2.0
3.0,1.0,8.0,남도초-경복중-대구상원고,0.0,69,0.0,8.0,0.0,11.0,1996년 04월 18일,전상현,0.0,0.0,0.0,182cm/84kg,13.0,2700만원,0.0,0.0,13.333333333333334,2.03,7000만원,16KIA,12.0,16 KIA 2차 4라운드 38순위,0.0,67.0,272.0,KIA,2.0,8.1,투수(우투우타),0.0,19.0,0.345,1.0,3.0,3.0,1.0
7.0,0.0,9.0,백운초-덕수중-휘문고,1.0,59,0.0,6.0,0.0,4.0,1997년 03월 20일,정동현,0.0,0.333,1.0,185cm/99kg,13.0,2700만원,0.0,0.0,18.0,1.44,9000만원,16KIA,12.0,16 KIA 2차 3라운드 23순위,0.0,79.0,277.0,KIA,2.0,6.0,투수(좌투좌타),0.0,20.0,0.286,0.0,2.0,1.0,0.0
3.0,3.0,12.0,인헌초-선린중-충암고,1.0,47,1.0,20.0,0.0,12.0,1990년 07월 06일,정용운,0.0,0.0,0.0,185cm/83kg,21.0,2800만원,0.0,0.0,21.666666666666668,2.35,12000만원,09KIA,19.0,09 KIA 2차 2라운드 16순위,0.0,113.0,453.0,KIA,1.0,7.89,투수(좌투좌타),3.0,31.0,0.348,0.0,1.0,2.0,2.0
