2루타,3루타,경기,경력 ,고의4구,대타타율,도루,도루성공률,도루실패,득점,득점권타울,등번호 ,루타,멀티히트,병살타,볼넷,사구,삼진,생년월일 ,선수명 ,신장/체중 ,실책,안타,연봉 ,입단 계약금 ,입단년도 ,장타율,지명순위 ,출루율,출루율+장타율,타석,타수,타율,타점,팀명,포지션 ,홈런,희생번트,희생플라이
1.0,0.0,26.0,광주서석초-배재중-배재고,0.0,0.111,2.0,66.7,1.0,3.0,0.0,4,4.0,0.0,0.0,2.0,0.0,8.0,1995년 11월 21일,김민혁,181cm/71kg,0.0,3.0,4700만원,6000만원,14kt,0.138,14 kt 2차 6라운드 56순위,0.161,0.299,31.0,29.0,0.103,0.0,kt,외야수(우투좌타),0.0,0.0,0.0
1.0,0.0,20.0,석교초-세광중-세광고-한화,0.0,0.0,1.0,33.3,2.0,6.0,0.308,25,15.0,2.0,3.0,7.0,0.0,10.0,1988년 08월 09일,김사연,179cm/80kg,0.0,14.0,4500만원,,08한화,0.268,07 한화 육성선수,0.333,0.601,63.0,56.0,0.25,4.0,kt,외야수(우투우타),0.0,0.0,0.0
5.0,0.0,62.0,군산초-군산남중-군산상고-(대불대)-해태-KIA-LG-상무-LG-KIA-SK,0.0,0.0,0.0,0.0,1.0,29.0,0.233,19,88.0,10.0,10.0,20.0,2.0,48.0,1980년 11월 12일,김상현,190cm/95kg,9.0,50.0,20000만원,,01KIA,0.396,00 해태 2차 6라운드 42순위,0.293,0.689,246.0,222.0,0.225,32.0,kt,외야수(우투우타),11.0,0.0,2.0
0.0,0.0,32.0,율하초-경상중-대구고,0.0,0.25,3.0,75.0,1.0,7.0,0.25,66,11.0,1.0,3.0,10.0,1.0,14.0,1990년 11월 13일,김선민,174cm/75kg,1.0,11.0,3200만원,,15kt,0.22,10 삼성 육성선수,0.361,0.581,63.0,50.0,0.22,2.0,kt,내야수(우투우타),0.0,2.0,0.0
10.0,0.0,103.0,군산초-군산남중-군산상고-성균관대-KIA-SK,1.0,0.0,2.0,100.0,0.0,13.0,0.289,14,49.0,6.0,5.0,7.0,0.0,46.0,1984년 12월 23일,김연훈,180cm/80kg,8.0,36.0,4700만원,10000만원,07KIA,0.295,07 KIA 2차 2라운드 16순위,0.244,0.539,181.0,166.0,0.217,18.0,kt,내야수(우투우타),1.0,5.0,3.0
3.0,0.0,16.0,서화초-대헌중-제물포고,0.0,0.0,1.0,100.0,0.0,2.0,0.083,52,12.0,2.0,3.0,3.0,0.0,18.0,1991년 03월 13일,남태혁,187cm/107kg,4.0,9.0,2700만원,,09LA다저스,0.273,16 kt 2차 1라운드 1순위,0.25,0.523,48.0,44.0,0.205,2.0,kt,내야수(우투우타),0.0,0.0,1.0
7.0,0.0,48.0,중대초-잠신중-배명고-고려대,0.0,0.0,1.0,100.0,0.0,9.0,0.308,7,26.0,2.0,2.0,4.0,2.0,26.0,1991년 04월 06일,문상철,184cm/85kg,6.0,16.0,3600만원,13000만원,14kt,0.325,14 kt 2차 특별 11순위,0.253,0.578,87.0,80.0,0.2,7.0,kt,내야수(우투우타),1.0,0.0,1.0
22.0,1.0,121.0,미성초-성남중-성남고-(방송통신대)-LG,2.0,0.0,3.0,75.0,1.0,64.0,0.325,6,210.0,34.0,9.0,65.0,5.0,80.0,1984년 03월 31일,박경수,178cm/80kg,13.0,126.0,23000만원,43000만원,03LG,0.522,03 LG 1차,0.412,0.934,476.0,402.0,0.313,80.0,kt,내야수(우투우타),20.0,0.0,4.0
13.0,0.0,117.0,대구수창초-성광중-대구상고-롯데,0.0,0.125,0.0,0.0,2.0,36.0,0.247,16,103.0,20.0,8.0,27.0,1.0,53.0,1981년 06월 04일,박기혁,179cm/77kg,13.0,84.0,15000만원,8000만원,00롯데,0.334,00 롯데 2차 2라운드 15순위,0.331,0.665,348.0,308.0,0.273,34.0,kt,내야수(우투우타),2.0,10.0,2.0
4.0,1.0,31.0,영랑초-설악중-속초상고-영남대-LG-경찰-LG,0.0,0.0,0.0,0.0,1.0,5.0,0.15,9,26.0,3.0,1.0,11.0,0.0,14.0,1984년 01월 21일,박용근,172cm/76kg,1.0,17.0,4000만원,12000만원,07LG,0.351,07 LG 2차 1라운드 3순위,0.326,0.677,86.0,74.0,0.23,6.0,kt,내야수(우투우타),1.0,0.0,1.0
1.0,0.0,65.0,도신초-성남중-성남고-LG,0.0,0.5,2.0,66.7,1.0,10.0,0.167,65,14.0,2.0,0.0,4.0,0.0,18.0,1995년 11월 21일,배병옥,185cm/80kg,2.0,13.0,3500만원,15000만원,14LG,0.28,14 LG 2차 1라운드 3순위,0.315,0.595,55.0,50.0,0.26,3.0,kt,외야수(우투우타),0.0,1.0,0.0
9.0,1.0,122.0,송정동초-언북중-경기고,0.0,0.25,17.0,94.4,1.0,36.0,0.145,2,77.0,9.0,5.0,8.0,0.0,40.0,1995년 04월 28일,심우준,183cm/75kg,13.0,57.0,3500만원,13000만원,14kt,0.326,14 kt 2차 특별 14순위,0.264,0.59,251.0,236.0,0.242,17.0,kt,내야수(우투우타),3.0,5.0,2.0
11.0,2.0,96.0,삼성초-내동중-용마고-인하대-삼성-NC-경찰-NC,1.0,0.182,1.0,100.0,0.0,45.0,0.313,27,123.0,24.0,5.0,28.0,0.0,32.0,1986년 10월 13일,오정복,177cm/75kg,3.0,93.0,8000만원,4000만원,09삼성,0.402,09 삼성 2차 7라운드 53순위,0.358,0.76,344.0,306.0,0.304,36.0,kt,외야수(우투우타),5.0,6.0,4.0
12.0,1.0,95.0,미국 윌리캐넌초-잠실중-서울고-연세대-두산-경찰-두산,0.0,0.263,1.0,50.0,1.0,30.0,0.311,36,86.0,13.0,8.0,25.0,9.0,39.0,1989년 04월 13일,유민상,183cm/91kg,5.0,60.0,3200만원,5000만원,12두산,0.404,12 두산 7라운드 65순위,0.375,0.779,254.0,213.0,0.282,37.0,kt,내야수(우투좌타),4.0,3.0,4.0
22.0,0.0,110.0,부천신흥초-부천중-유신고-동국대-현대-우리-상무-넥센,1.0,0.0,4.0,80.0,1.0,70.0,0.319,61,201.0,43.0,10.0,47.0,2.0,40.0,1981년 07월 01일,유한준,186cm/97kg,1.0,137.0,60000만원,6000만원,04현대,0.493,00 현대 2차 3라운드 20순위,0.404,0.897,460.0,408.0,0.336,64.0,kt,외야수(우투우타),14.0,0.0,3.0
6.0,0.0,66.0,남산초-덕수중-충암고-단국대-SK-LG,1.0,0.179,1.0,50.0,1.0,14.0,0.205,20,54.0,7.0,7.0,20.0,3.0,24.0,1982년 03월 30일,윤요섭,180cm/96kg,3.0,30.0,6500만원,,08SK,0.429,08 SK 육성선수,0.356,0.785,149.0,126.0,0.238,16.0,kt,포수(우투우타),6.0,0.0,0.0
14.0,3.0,143.0,광주서림초-무등중-광주제일고-LG-KIA,0.0,0.0,37.0,64.9,20.0,89.0,0.315,53,215.0,56.0,6.0,44.0,2.0,90.0,1983년 07월 19일,이대형,184cm/78kg,2.0,192.0,30000만원,10000만원,03LG,0.358,03 LG 2차 2라운드 11순위,0.368,0.726,654.0,600.0,0.32,42.0,kt,외야수(좌투좌타),1.0,7.0,1.0
23.0,1.0,115.0,군산초-군산남중-군산상고-쌍방울-SK-LG,1.0,0.316,2.0,28.6,5.0,49.0,0.333,35,178.0,35.0,13.0,45.0,3.0,44.0,1980년 06월 15일,이진영,185cm/90kg,0.0,123.0,60000만원,10000만원,99쌍방울,0.48,99 쌍방울 1차,0.403,0.883,424.0,371.0,0.332,72.0,kt,외야수(좌투좌타),10.0,0.0,5.0
