2루타,3루타,경기,경력 ,고의4구,대타타율,도루,도루성공률,도루실패,득점,득점권타울,등번호 ,루타,멀티히트,병살타,볼넷,사구,삼진,생년월일 ,선수명 ,신장/체중 ,실책,안타,연봉 ,입단 계약금 ,입단년도 ,장타율,지명순위 ,출루율,출루율+장타율,타석,타수,타율,타점,팀명,포지션 ,홈런,희생번트,희생플라이
18.0,4.0,105.0,사당초-선린중-선린인터넷고-고려대-두산,0.0,0.25,19.0,73.1,7.0,62.0,0.29,8,127.0,32.0,6.0,35.0,0.0,64.0,1985년 08월 20일,김용의,187cm/74kg,0.0,98.0,6000만원,5000만원,08두산,0.412,08 두산 2차 4라운드 29순위,0.388,0.8,347.0,308.0,0.318,20.0,LG,외야수(우투좌타),1.0,4.0,0.0
3.0,2.0,52.0,서림초-동성중-동성고-LG-상무,0.0,0.333,5.0,100.0,0.0,28.0,0.226,49,60.0,9.0,1.0,10.0,0.0,29.0,1990년 05월 20일,문선재,184cm/80kg,0.0,32.0,6500만원,5000만원,09LG,0.541,09 LG 2차 7라운드 52순위,0.344,0.885,127.0,111.0,0.288,16.0,LG,외야수(우투우타),7.0,5.0,1.0
24.0,0.0,138.0,고명초-휘문중-휘문고-고려대,5.0,0.25,6.0,50.0,6.0,84.0,0.376,33,233.0,52.0,13.0,58.0,4.0,71.0,1979년 04월 21일,박용택,185cm/90kg,0.0,176.0,80000만원,30000만원,02LG,0.458,98 LG 2차우선,0.412,0.87,578.0,509.0,0.346,90.0,LG,외야수(우투좌타),11.0,0.0,7.0
2.0,0.0,10.0,고명초-덕수중-경기고-(영남사이버대)-LG-경찰,0.0,0.25,0.0,0.0,1.0,4.0,0.333,52,11.0,2.0,1.0,2.0,1.0,6.0,1988년 05월 09일,백창수,179cm/79kg,0.0,6.0,4000만원,,10LG,0.611,09 LG 육성선수,0.429,1.04,21.0,18.0,0.333,3.0,LG,내야수(우투우타),1.0,0.0,0.0
5.0,0.0,56.0,구리초(구리리틀)-구리인창중-유신고-건국대-LG-상무,1.0,0.16,1.0,100.0,0.0,18.0,0.2,69,45.0,7.0,1.0,25.0,1.0,37.0,1989년 09월 17일,서상우,187cm/90kg,0.0,28.0,6000만원,3000만원,12LG,0.405,12 LG 9라운드 80순위,0.394,0.799,137.0,111.0,0.252,12.0,LG,내야수(우투좌타),4.0,0.0,0.0
20.0,3.0,122.0,광주서석초-진흥중-진흥고-삼성-경찰-삼성,0.0,0.0,5.0,55.6,4.0,47.0,0.241,6,146.0,30.0,6.0,33.0,6.0,35.0,1983년 12월 01일,손주인,179cm/82kg,7.0,114.0,12000만원,8000만원,02삼성,0.412,02 삼성 2차 3라운드 24순위,0.385,0.797,409.0,354.0,0.322,39.0,LG,내야수(우투우타),2.0,12.0,4.0
0.0,1.0,68.0,대전신흥초-충남중-대전고,0.0,0.25,1.0,50.0,1.0,13.0,0.375,15,14.0,0.0,0.0,6.0,0.0,9.0,1996년 02월 12일,안익훈,176cm/70kg,2.0,12.0,4100만원,12000만원,15LG,0.311,15 LG 2차 1라운드 7순위,0.353,0.664,52.0,45.0,0.267,4.0,LG,외야수(좌투좌타),0.0,1.0,0.0
10.0,1.0,80.0,백운초-신일중-신일고-동국대,0.0,0.286,3.0,100.0,0.0,24.0,0.301,53,86.0,12.0,1.0,6.0,1.0,48.0,1991년 07월 15일,양석환,185cm/90kg,5.0,56.0,7000만원,9000만원,14LG,0.424,14 LG 2차 3라운드 28순위,0.297,0.721,215.0,203.0,0.276,37.0,LG,내야수(우투우타),6.0,3.0,2.0
14.0,5.0,121.0,군산초-자양중-경기고,0.0,0.25,17.0,65.4,9.0,73.0,0.266,2,194.0,29.0,7.0,65.0,7.0,97.0,1990년 03월 12일,오지환,186cm/80kg,17.0,110.0,25000만원,28000만원,09LG,0.494,09 LG 1차,0.387,0.881,472.0,393.0,0.28,78.0,LG,내야수(우투좌타),20.0,2.0,5.0
0.0,0.0,34.0,화정초-충장중-광주제일고-인하대,0.0,0.0,1.0,100.0,0.0,3.0,0.0,13,4.0,1.0,1.0,0.0,0.0,6.0,1986년 06월 23일,윤진호,178cm/78kg,2.0,4.0,3300만원,,09LG,0.19,09 LG 육성선수,0.19,0.38,23.0,21.0,0.19,0.0,LG,내야수(우투우타),0.0,2.0,0.0
12.0,2.0,103.0,율하초-경상중-경북고-한양대,1.0,0.059,8.0,61.5,5.0,43.0,0.214,7,116.0,18.0,4.0,47.0,10.0,81.0,1983년 10월 09일,이병규,178cm/90kg,3.0,79.0,15600만원,,06LG,0.4,06 LG 육성선수,0.389,0.789,350.0,290.0,0.272,37.0,LG,외야수(좌투좌타),7.0,0.0,3.0
10.0,1.0,103.0,군산남초-성일중-성남서고-고려대-LG-경찰,0.0,0.3,6.0,40.0,9.0,38.0,0.307,32,111.0,22.0,3.0,34.0,3.0,49.0,1988년 10월 20일,이천웅,182cm/83kg,2.0,81.0,2800만원,,12LG,0.402,11 LG 육성선수,0.376,0.778,320.0,276.0,0.293,41.0,LG,외야수(좌투좌타),6.0,6.0,1.0
4.0,2.0,61.0,화곡초-양천중-서울고,0.0,0.211,1.0,100.0,0.0,14.0,0.318,36,46.0,11.0,3.0,15.0,2.0,20.0,1989년 06월 07일,이형종,183cm/80kg,0.0,35.0,2700만원,43000만원,08LG,0.371,08 LG 1차,0.366,0.737,147.0,124.0,0.282,14.0,LG,외야수(우투우타),1.0,5.0,1.0
4.0,0.0,60.0,수유초-신일중-신일고-SK-롯데-SK,0.0,0.0,8.0,66.7,4.0,20.0,0.25,24,54.0,13.0,6.0,12.0,2.0,26.0,1985년 07월 17일,임훈,186cm/86kg,0.0,47.0,13000만원,6500만원,04SK,0.3,04 SK 2차 5라운드 35순위,0.314,0.614,198.0,180.0,0.261,14.0,LG,외야수(좌투좌타),1.0,4.0,0.0
5.0,0.0,77.0,석천초-동인천중-동산고-SK-상무-SK,0.0,0.0,0.0,0.0,1.0,12.0,0.136,42,32.0,4.0,2.0,17.0,4.0,39.0,1982년 12월 24일,정상호,187cm/100kg,3.0,24.0,50000만원,45000만원,01SK,0.242,01 SK 1차,0.29,0.532,159.0,132.0,0.182,10.0,LG,포수(우투우타),1.0,4.0,2.0
22.0,1.0,126.0,송정초-무등중-광주제일고-해태-KIA-현대-우리,1.0,0.25,8.0,66.7,4.0,58.0,0.321,16,161.0,31.0,9.0,33.0,5.0,59.0,1980년 06월 27일,정성훈,182cm/83kg,4.0,119.0,50000만원,15000만원,99해태,0.435,99 해태 1차,0.38,0.815,418.0,370.0,0.322,64.0,LG,내야수(우투우타),6.0,5.0,5.0
12.0,1.0,99.0,대현초-경상중-대구고-LG-상무,0.0,0.5,5.0,50.0,5.0,30.0,0.16,10,67.0,11.0,1.0,28.0,0.0,66.0,1990년 10월 13일,정주현,176cm/76kg,7.0,50.0,5000만원,6000만원,09LG,0.298,09 LG 2차 5라운드 36순위,0.306,0.604,257.0,225.0,0.222,22.0,LG,내야수(우투우타),1.0,2.0,2.0
20.0,3.0,128.0,순천북초-순천이수중-효천고,0.0,0.333,7.0,70.0,3.0,64.0,0.346,55,179.0,39.0,9.0,31.0,7.0,75.0,1990년 02월 06일,채은성,186cm/92kg,4.0,126.0,5500만원,,14LG,0.444,09 LG 육성선수,0.365,0.809,451.0,403.0,0.313,81.0,LG,외야수(우투우타),9.0,2.0,8.0
3.0,0.0,48.0,제주남초-제주제일중-일본 교토고쿠사이고-일본 아세아대,0.0,0.0,2.0,50.0,2.0,7.0,0.375,0,10.0,0.0,0.0,0.0,0.0,9.0,1985년 06월 21일,황목치승,173cm/68kg,0.0,7.0,4000만원,,14LG,0.256,13 LG 육성선수,0.179,0.435,39.0,39.0,0.179,4.0,LG,내야수(우투우타),0.0,0.0,0.0
36.0,0.0,135.0,도미니카 디아즈고,2.0,0.0,18.0,66.7,9.0,101.0,0.304,3,275.0,40.0,8.0,39.0,10.0,67.0,1988년 01월 18일,히메네스,185cm/92kg,17.0,161.0,500000달러,100000달러,15LG,0.526,15 LG 자유선발,0.363,0.889,579.0,523.0,0.308,102.0,LG,내야수(우투우타),26.0,1.0,6.0
