2루타,3루타,경기,경력 ,고의4구,대타타율,도루,도루성공률,도루실패,득점,득점권타울,등번호 ,루타,멀티히트,병살타,볼넷,사구,삼진,생년월일 ,선수명 ,신장/체중 ,실책,안타,연봉 ,입단 계약금 ,입단년도 ,장타율,지명순위 ,출루율,출루율+장타율,타석,타수,타율,타점,팀명,포지션 ,홈런,희생번트,희생플라이
26.0,0.0,116.0,제주신광초-포철중-포철공고-(국제디지털대),4.0,0.333,4.0,100.0,0.0,65.0,0.33,47,209.0,40.0,7.0,66.0,10.0,91.0,1985년 08월 18일,강민호,185cm/100kg,4.0,123.0,100000만원,9000만원,04롯데,0.549,04 롯데 2차 3라운드 17순위,0.433,0.982,460.0,381.0,0.323,72.0,롯데,포수(우투우타),20.0,0.0,3.0
6.0,0.0,78.0,내발산초-양천중-장충고-동국대-두산-상무-두산,0.0,0.0,5.0,83.3,1.0,9.0,0.273,67,33.0,4.0,1.0,6.0,0.0,19.0,1988년 06월 24일,김동한,175cm/73kg,2.0,27.0,3200만원,4000만원,11두산,0.308,11 두산 8라운드 59순위,0.292,0.6,116.0,107.0,0.252,14.0,롯데,내야수(우투우타),0.0,3.0,0.0
28.0,3.0,140.0,고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,1.0,0.429,12.0,44.4,15.0,77.0,0.305,24,226.0,49.0,15.0,62.0,6.0,70.0,1987년 06월 22일,김문호,184cm/90kg,5.0,171.0,7000만원,12000만원,06롯데,0.43,06 롯데 2차 3라운드 17순위,0.401,0.831,599.0,526.0,0.325,70.0,롯데,외야수(좌투좌타),7.0,3.0,2.0
1.0,0.0,46.0,승학초-부산대신중-경남고-중앙대-롯데-상무,0.0,0.333,4.0,100.0,0.0,8.0,0.0,12,13.0,0.0,2.0,1.0,1.0,19.0,1989년 02월 25일,김민하,181cm/88kg,1.0,9.0,4000만원,,11롯데,0.289,11 롯데 육성선수,0.234,0.523,49.0,45.0,0.2,1.0,롯데,외야수(우투우타),1.0,2.0,0.0
20.0,0.0,114.0,청구초-홍은중-장충고-고려대-롯데-상무,2.0,0.429,3.0,75.0,1.0,39.0,0.273,66,147.0,27.0,10.0,38.0,4.0,84.0,1989년 05월 10일,김상호,182cm/85kg,6.0,106.0,2800만원,3000만원,12롯데,0.402,12 롯데 7라운드 64순위,0.358,0.76,415.0,366.0,0.29,56.0,롯데,내야수(우투우타),7.0,2.0,5.0
0.0,0.0,21.0,장산초-경남중-부경고-동의대,0.0,0.0,2.0,40.0,3.0,8.0,0.167,9,4.0,1.0,1.0,1.0,1.0,7.0,1992년 08월 07일,김재유,181cm/77kg,0.0,4.0,2900만원,,15롯데,0.148,15 롯데 육성선수,0.207,0.355,30.0,27.0,0.148,1.0,롯데,외야수(우투좌타),0.0,1.0,0.0
4.0,0.0,21.0,신원초-양천중-덕수정보고-KIA,0.0,0.2,1.0,100.0,0.0,4.0,0.1,53,10.0,2.0,0.0,3.0,0.0,12.0,1988년 04월 16일,김주현,178cm/92kg,0.0,6.0,3300만원,,10롯데,0.345,07 KIA 2차 6라운드 47순위,0.281,0.626,33.0,29.0,0.207,1.0,롯데,외야수(우투우타),0.0,1.0,0.0
2.0,0.0,35.0,둔촌초-잠신중-덕수고,0.0,0.0,3.0,50.0,3.0,13.0,0.067,92,15.0,3.0,0.0,8.0,0.0,18.0,1991년 12월 12일,나경민,178cm/80kg,1.0,13.0,2700만원,,09시카고컵스,0.268,16 롯데 2차 3라운드 24순위,0.323,0.591,66.0,56.0,0.232,3.0,롯데,외야수(좌투좌타),0.0,1.0,1.0
3.0,1.0,23.0,미국 매릴랜드대,0.0,0.0,2.0,50.0,2.0,14.0,0.375,23,40.0,6.0,0.0,15.0,3.0,25.0,1983년 11월 06일,맥스웰,192cm/102kg,1.0,23.0,280000달러,,16롯데,0.5,16 롯데 자유선발,0.414,0.914,99.0,80.0,0.288,16.0,롯데,외야수(우투우타),4.0,0.0,1.0
10.0,0.0,120.0,군산초-군산남중-군산상고-롯데-상무,0.0,0.25,2.0,40.0,3.0,38.0,0.244,6,108.0,20.0,10.0,29.0,1.0,39.0,1983년 07월 05일,문규현,184cm/85kg,7.0,86.0,9000만원,3000만원,02롯데,0.342,02 롯데 2차 10라운드 78순위,0.333,0.675,368.0,316.0,0.272,40.0,롯데,내야수(우투우타),4.0,19.0,2.0
