2루타,3루타,경기,경력 ,고의4구,대타타율,도루,도루성공률,도루실패,득점,득점권타울,등번호 ,루타,멀티히트,병살타,볼넷,사구,삼진,생년월일 ,선수명 ,신장/체중 ,실책,안타,연봉 ,입단 계약금 ,입단년도 ,장타율,지명순위 ,출루율,출루율+장타율,타석,타수,타율,타점,팀명,포지션 ,홈런,희생번트,희생플라이
31.0,0.0,117.0,도미니카 알레한드로 바쓰고,2.0,0.0,16.0,66.7,8.0,74.0,0.297,5,223.0,39.0,11.0,25.0,5.0,87.0,1988년 03월 05일,고메즈,188cm/88kg,25.0,129.0,650000달러,100000달러,16SK,0.489,16 SK 자유선발,0.324,0.813,492.0,456.0,0.283,62.0,SK,내야수(우투우타),21.0,2.0,4.0
21.0,0.0,115.0,본리초-대구중-경북고,2.0,0.5,12.0,70.6,5.0,59.0,0.262,0,160.0,30.0,5.0,32.0,12.0,89.0,1982년 09월 13일,김강민,182cm/85kg,2.0,109.0,60000만원,11000만원,01SK,0.437,01 SK 2차 2라운드 18순위,0.371,0.808,422.0,366.0,0.298,47.0,SK,외야수(우투우타),10.0,10.0,2.0
8.0,0.0,57.0,남산초-천안북중-북일고,0.0,0.316,2.0,66.7,1.0,19.0,0.29,38,74.0,13.0,3.0,5.0,1.0,41.0,1990년 07월 24일,김동엽,186cm/101kg,0.0,48.0,2700만원,,09시카고컵스,0.517,16 SK 2차 9라운드 86순위,0.36,0.877,150.0,143.0,0.336,23.0,SK,외야수(우투우타),6.0,0.0,1.0
9.0,0.0,88.0,양덕초-마산중-마산고-원광대-SK-상무,0.0,0.167,1.0,50.0,1.0,17.0,0.308,24,52.0,7.0,2.0,21.0,2.0,38.0,1989년 06월 28일,김민식,180cm/80kg,7.0,37.0,3000만원,14000만원,12SK,0.361,12 SK 2라운드 11순위,0.359,0.72,170.0,144.0,0.257,14.0,SK,포수(우투좌타),2.0,3.0,0.0
28.0,0.0,138.0,송정동초-충장중-광주제일고-SK-상무,0.0,0.2,3.0,50.0,3.0,66.0,0.322,6,205.0,45.0,13.0,33.0,6.0,37.0,1987년 03월 09일,김성현,172cm/72kg,16.0,153.0,18000만원,7000만원,06SK,0.428,06 SK 2차 3라운드 20순위,0.366,0.794,530.0,479.0,0.319,65.0,SK,내야수(우투우타),8.0,5.0,7.0
5.0,5.0,100.0,방배초-서울경원중-원주고,0.0,0.5,13.0,65.0,7.0,27.0,0.302,8,72.0,13.0,1.0,11.0,5.0,41.0,1987년 11월 07일,김재현,175cm/72kg,1.0,54.0,4000만원,5000만원,06SK,0.429,06 SK 2차 5라운드 36순위,0.378,0.807,193.0,168.0,0.321,18.0,SK,외야수(우투양타),1.0,8.0,1.0
2.0,0.0,24.0,성동초(월드리틀)-휘문중-북일고-두산,0.0,0.333,0.0,0.0,4.0,13.0,0.417,3,39.0,5.0,4.0,2.0,3.0,6.0,1984년 06월 14일,나주환,180cm/84kg,2.0,22.0,20000만원,10000만원,03두산,0.684,03 두산 2차 2라운드 16순위,0.435,1.119,65.0,57.0,0.386,12.0,SK,내야수(우투우타),5.0,3.0,0.0
4.0,1.0,36.0,칠성초-경복중-대구상원고,0.0,0.0,2.0,66.7,1.0,19.0,0.3,97,39.0,5.0,0.0,9.0,2.0,28.0,1992년 12월 04일,박승욱,184cm/78kg,2.0,24.0,2700만원,8000만원,12SK,0.448,12 SK 3라운드 31순위,0.354,0.802,103.0,87.0,0.276,13.0,SK,내야수(우투좌타),3.0,4.0,1.0
14.0,1.0,94.0,성남동초-매송중-서울고-SK-상무,0.0,0.667,3.0,33.3,6.0,37.0,0.339,7,110.0,21.0,9.0,27.0,0.0,37.0,1982년 07월 20일,박재상,178cm/82kg,3.0,76.0,20000만원,3000만원,01SK,0.431,01 SK 2차 11라운드 67순위,0.363,0.794,288.0,255.0,0.298,35.0,SK,외야수(좌투좌타),6.0,4.0,2.0
17.0,3.0,125.0,효자초-전주동중-전주고-동국대-SK-상무,0.0,0.429,4.0,100.0,0.0,59.0,0.243,36,194.0,34.0,7.0,35.0,5.0,99.0,1981년 07월 21일,박정권,187cm/96kg,6.0,117.0,40000만원,5000만원,04SK,0.46,00 쌍방울 2차 9라운드 65순위,0.337,0.797,468.0,422.0,0.277,59.0,SK,내야수(좌투좌타),18.0,2.0,4.0
