2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
3.0,1.0,25.0,감천초-대동중-경남고-호원대,0.0,30,0.0,2.0,0.0,18.0,1993년 05월 14일,고봉재,0.0,1.0,3.0,185cm/86kg,17.0,2700만원,0.0,0.0,23.333333333333332,1.46,8000만원,16두산,16.0,16 두산 2차 3라운드 25순위,0.0,101.0,411.0,두산,0.0,6.17,투수(우언우타),0.0,32.0,0.34,0.0,1.0,0.0,2.0
3.0,0.0,14.0,신광초-천안북중-북일고-히어로즈-넥센-롯데-상무-롯데,0.0,38,0.0,11.0,0.0,21.0,1990년 06월 23일,고원준,0.0,0.5,1.0,181cm/86kg,15.0,6800만원,0.0,0.0,24.666666666666668,1.7,8000만원,09히어로즈,15.0,09 히어로즈 2차 2라운드 14순위,0.0,114.0,448.0,두산,1.0,5.47,투수(우투우타),0.0,31.0,0.32,1.0,2.0,0.0,1.0
5.0,2.0,25.0,문촌초(일산리틀)-장성중-경기고-두산-상무,0.0,18,0.0,17.0,0.0,21.0,1988년 08월 28일,김강률,0.0,0.0,0.0,187cm/95kg,18.0,6200만원,0.0,0.0,28.0,1.71,8000만원,07두산,16.0,07 두산 2차 4라운드 26순위,0.0,125.0,474.0,두산,2.0,5.14,투수(우투우타),7.0,31.0,0.301,4.0,2.0,1.0,2.0
8.0,1.0,39.0,장안초-배명중-배명고-건국대-두산-상무-두산-롯데,0.0,51,0.0,19.0,2.0,27.0,1981년 01월 12일,김성배,1.0,0.0,0.0,180cm/86kg,26.0,18000만원,0.0,0.0,37.333333333333336,2.09,15000만원,03두산,25.0,99 OB 2차 8라운드 61순위,0.0,184.0,715.0,두산,1.0,6.03,투수(우언우타),1.0,59.0,0.371,5.0,5.0,0.0,4.0
19.0,3.0,28.0,미국 웨스트 버지니아대,0.0,40,0.0,57.0,0.0,142.0,1981년 05월 06일,니퍼트,0.0,0.88,22.0,203cm/103kg,61.0,1200000달러,1.0,1.0,167.66666666666666,1.24,100000달러,11두산,55.0,11 두산 자유선발,19.0,701.0,2737.0,두산,3.0,2.95,투수(우투우타),8.0,151.0,0.243,0.0,15.0,7.0,6.0
24.0,2.0,30.0,미국 와반지 밸리고,0.0,26,2.0,54.0,0.0,160.0,1986년 09월 09일,보우덴,0.0,0.72,18.0,190cm/101kg,83.0,650000달러,1.0,1.0,180.0,1.18,,16두산,76.0,16 두산 자유선발,17.0,742.0,3068.0,두산,7.0,3.8,투수(우투우타),8.0,159.0,0.239,0.0,17.0,12.0,4.0
15.0,1.0,16.0,고명초-건대부중-휘문고-경희대-두산-상무,0.0,20,0.0,24.0,0.0,24.0,1988년 04월 12일,안규영,0.0,0.333,1.0,185cm/85kg,36.0,3000만원,0.0,0.0,47.666666666666664,2.03,8000만원,11두산,35.0,11 두산 4라운드 27순위,1.0,229.0,933.0,두산,2.0,6.61,투수(우투우타),2.0,73.0,0.372,0.0,6.0,2.0,3.0
6.0,0.0,20.0,서울이수초-이수중-장충고-원광대-두산-상무,0.0,1,0.0,3.0,0.0,17.0,1985년 07월 17일,오현택,0.0,1.0,1.0,180cm/73kg,14.0,11000만원,0.0,0.0,20.666666666666668,1.55,,09두산,14.0,08 두산 육성선수,0.0,91.0,321.0,두산,0.0,6.1,투수(우언우타),0.0,29.0,0.341,4.0,3.0,1.0,0.0
39.0,3.0,30.0,방배초-이수중-장충고-중앙대-두산-상무,0.0,29,0.0,58.0,0.0,102.0,1986년 06월 01일,유희관,0.0,0.714,15.0,180cm/88kg,95.0,40000만원,0.0,0.0,185.66666666666666,1.45,4000만원,09두산,91.0,09 두산 2차 6라운드 42순위,15.0,809.0,3052.0,두산,6.0,4.41,투수(좌투좌타),5.0,212.0,0.294,0.0,22.0,12.0,11.0
12.0,3.0,55.0,광주서석초-광주동성중-광주동성고-고려대,1.0,11,0.0,17.0,1.0,39.0,1989년 06월 18일,윤명준,2.0,1.0,4.0,178cm/78kg,25.0,11500만원,0.0,0.0,57.0,1.19,20000만원,12두산,25.0,12 두산 1라운드 6순위,0.0,239.0,888.0,두산,0.0,3.95,투수(우투우타),4.0,51.0,0.236,11.0,5.0,2.0,1.0
