2루타,3루타,경기,경력 ,고의4구,대타타율,도루,도루성공률,도루실패,득점,득점권타울,등번호 ,루타,멀티히트,병살타,볼넷,사구,삼진,생년월일 ,선수명 ,신장/체중 ,실책,안타,연봉 ,입단 계약금 ,입단년도 ,장타율,지명순위 ,출루율,출루율+장타율,타석,타수,타율,타점,팀명,포지션 ,홈런,희생번트,희생플라이
13.0,3.0,104.0,사당초-중앙중-안산공고-원광대,0.0,0.5,7.0,70.0,3.0,36.0,0.313,13,100.0,16.0,2.0,15.0,0.0,46.0,1991년 09월 12일,강한울,181cm/66kg,11.0,81.0,6000만원,14000만원,14KIA,0.336,14 KIA 2차 1라운드 5순위,0.307,0.643,322.0,298.0,0.272,27.0,KIA,내야수(우투좌타),0.0,9.0,0.0
3.0,0.0,63.0,대성초-동성중-동성고-성균관대,0.0,0.0,3.0,60.0,2.0,18.0,0.167,36,18.0,3.0,1.0,7.0,3.0,15.0,1990년 01월 08일,고영우,183cm/92kg,4.0,15.0,3900만원,6000만원,13KIA,0.257,13 KIA 5라운드 44순위,0.313,0.57,81.0,70.0,0.214,4.0,KIA,내야수(우투우타),0.0,1.0,0.0
1.0,0.0,19.0,관산초-중앙중-부천고-한양대-현대-우리-히어로즈-넥센,0.0,0.0,1.0,100.0,0.0,3.0,0.25,9,9.0,1.0,1.0,5.0,0.0,12.0,1979년 03월 21일,김민우,184cm/92kg,0.0,8.0,12000만원,34000만원,02현대,0.22,98 현대 2차 4라운드 27순위,0.283,0.503,47.0,41.0,0.195,4.0,KIA,내야수(우투우타),0.0,1.0,0.0
2.0,1.0,6.0,화순초-화순중-화순고-KIA-상무,0.0,0.0,1.0,50.0,1.0,3.0,0.0,3,13.0,3.0,1.0,1.0,0.0,3.0,1989년 12월 18일,김선빈,165cm/70kg,1.0,9.0,8000만원,3000만원,08KIA,0.52,08 KIA 2차 6라운드 43순위,0.385,0.905,27.0,25.0,0.36,0.0,KIA,내야수(우투우타),0.0,1.0,0.0
5.0,0.0,37.0,장안초-배명중-배명고-단국대-두산,0.0,0.385,1.0,100.0,0.0,10.0,0.3,51,21.0,3.0,2.0,15.0,0.0,16.0,1978년 12월 18일,김원섭,180cm/78kg,1.0,16.0,15000만원,10000만원,01두산,0.288,97 OB 2차 7라운드 42순위,0.348,0.636,90.0,73.0,0.219,12.0,KIA,외야수(우투좌타),0.0,1.0,1.0
37.0,3.0,130.0,충암초(장충리틀)-충암중-충암고-삼성-롯데,1.0,1.0,9.0,56.3,7.0,97.0,0.421,16,289.0,54.0,13.0,30.0,7.0,68.0,1981년 03월 25일,김주찬,183cm/93kg,3.0,177.0,50000만원,18000만원,00삼성,0.566,00 삼성 2차 1라운드 5순위,0.386,0.952,555.0,511.0,0.346,101.0,KIA,외야수(우투우타),23.0,1.0,6.0
16.0,1.0,135.0,학강초-동성중-동성고-KIA-상무,0.0,0.313,1.0,33.3,2.0,43.0,0.244,33,172.0,20.0,9.0,34.0,6.0,55.0,1985년 12월 15일,김주형,186cm/109kg,11.0,97.0,5500만원,30000만원,04KIA,0.499,04 KIA 1차,0.355,0.854,387.0,345.0,0.281,49.0,KIA,내야수(우투우타),19.0,1.0,1.0
18.0,3.0,124.0,안산관산초-안산중앙중-군산상고-동국대,0.0,0.5,19.0,65.5,10.0,72.0,0.221,53,169.0,32.0,7.0,36.0,10.0,104.0,1992년 04월 30일,김호령,178cm/81kg,3.0,121.0,6000만원,3000만원,15KIA,0.373,15 KIA 2차 10라운드 102순위,0.333,0.706,514.0,453.0,0.267,41.0,KIA,외야수(우투우타),8.0,13.0,2.0
21.0,2.0,118.0,수유초-신일중-신일고-단국대,1.0,0.5,6.0,66.7,3.0,84.0,0.304,29,217.0,32.0,8.0,85.0,17.0,90.0,1985년 05월 19일,나지완,182cm/105kg,1.0,117.0,20000만원,10000만원,08KIA,0.571,08 KIA 2차 1라운드 5순위,0.451,1.022,486.0,380.0,0.308,90.0,KIA,외야수(우투우타),25.0,0.0,4.0
4.0,2.0,77.0,대전유천초-청주중-청주고-건국대-한화,0.0,0.5,12.0,85.7,2.0,43.0,0.413,98,84.0,16.0,0.0,20.0,1.0,46.0,1990년 08월 06일,노수광,180cm/78kg,1.0,64.0,3000만원,,14한화,0.406,13 한화 육성선수,0.373,0.779,238.0,207.0,0.309,30.0,KIA,외야수(우투좌타),4.0,10.0,0.0
