2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
9.0,4.0,53.0,대성초-동성중-화순고-동국대,0.0,1,1.0,19.0,3.0,62.0,1991년 09월 16일,고영표,0.0,0.333,2.0,187cm/88kg,38.0,4400만원,0.0,0.0,56.333333333333336,1.49,13000만원,14kt,35.0,14 kt 2차 1라운드 10순위,0.0,260.0,1034.0,kt,4.0,5.59,투수(우언우타),0.0,65.0,0.285,5.0,6.0,2.0,1.0
6.0,1.0,25.0,감천초-대신중-경남상고-롯데,2.0,55,0.0,17.0,0.0,27.0,1980년 04월 17일,김사율,1.0,0.0,0.0,181cm/95kg,20.0,20000만원,0.0,0.0,30.333333333333332,1.52,23000만원,99롯데,18.0,99 롯데 2차 1라운드 1순위,0.0,143.0,571.0,kt,1.0,5.34,투수(우투우타),3.0,29.0,0.24,1.0,4.0,2.0,1.0
13.0,0.0,52.0,도곡초-휘문중-휘문고,0.0,62,0.0,15.0,3.0,73.0,1990년 09월 16일,김재윤,14.0,0.889,8.0,185cm/91kg,31.0,7200만원,0.0,0.0,54.333333333333336,1.4,,09애리조나,30.0,15 kt 2차 특별 13순위,0.0,235.0,983.0,kt,1.0,4.97,투수(우투우타),3.0,61.0,0.284,1.0,6.0,3.0,1.0
11.0,0.0,14.0,미국 머서대,0.0,49,1.0,39.0,0.0,68.0,1984년 12월 26일,로위,0.0,0.333,3.0,180cm/86kg,46.0,170000달러,0.0,0.0,60.0,1.88,50000달러,16kt,42.0,16 kt 자유선발,4.0,295.0,1260.0,kt,6.0,6.3,투수(우투우타),8.0,74.0,0.3,0.0,6.0,4.0,0.0
13.0,2.0,12.0,,0.0,49,0.0,29.0,0.0,45.0,1988년 09월 30일,마리몬,0.0,0.6,6.0,188cm/88kg,38.0,400000달러,0.0,0.0,62.0,1.44,200000달러,16kt,36.0,16 kt 자유선발,5.0,275.0,1134.0,kt,4.0,5.23,투수(우투우타),8.0,60.0,0.255,0.0,3.0,3.0,2.0
4.0,0.0,7.0,본리초-경운중-경북고,0.0,47,0.0,13.0,0.0,8.0,1997년 06월 27일,박세진,0.0,0.0,0.0,178cm/93kg,13.0,2700만원,0.0,0.0,21.0,1.76,23000만원,16kt,12.0,16 kt 1차,0.0,94.0,375.0,kt,2.0,5.14,투수(좌투좌타),2.0,24.0,0.308,0.0,5.0,1.0,2.0
13.0,1.0,36.0,신곡초-수원북중-야탑고-경희대-LG-상무,0.0,18,0.0,18.0,2.0,29.0,1986년 05월 19일,배우열,1.0,0.5,1.0,181cm/80kg,21.0,3600만원,0.0,0.0,40.333333333333336,1.61,,09LG,18.0,09 LG 육성선수,0.0,175.0,695.0,kt,1.0,4.02,투수(우투양타),5.0,47.0,0.309,4.0,2.0,4.0,1.0
27.0,4.0,28.0,미국 고다드고-미국 위치타대-SK,0.0,37,0.0,49.0,0.0,92.0,1986년 02월 14일,밴와트,0.0,0.316,6.0,191cm/100kg,103.0,400000달러,0.0,0.0,134.66666666666666,1.64,50000달러,14SK,89.0,14 SK 자유선발,8.0,614.0,2513.0,kt,13.0,5.95,투수(우투우타),6.0,172.0,0.31,0.0,21.0,5.0,2.0
12.0,2.0,59.0,장유초(김해엔젤스리틀)-개성중-개성고-(전남과학대),0.0,34,0.0,24.0,1.0,30.0,1994년 02월 18일,심재민,0.0,0.4,2.0,182cm/92kg,36.0,4700만원,0.0,0.0,54.333333333333336,1.82,25000만원,14kt,33.0,14 kt 우선지명,0.0,255.0,1000.0,kt,3.0,5.47,투수(좌투좌타),1.0,75.0,0.349,7.0,4.0,7.0,4.0
23.0,2.0,52.0,역삼초-언북중-덕수고,1.0,12,0.0,40.0,1.0,57.0,1996년 10월 04일,엄상백,1.0,0.167,1.0,187cm/72kg,61.0,6000만원,0.0,0.0,73.33333333333333,1.81,23000만원,15kt,55.0,15 kt 1차,0.0,345.0,1409.0,kt,5.0,6.75,투수(우언우타),5.0,93.0,0.314,8.0,8.0,4.0,1.0
