2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
10.0,1.0,51.0,이문초(노원리틀)-청량중-중앙고-영동대,3.0,48,0.0,18.0,1.0,56.0,1988년 02월 20일,김지용,0.0,0.429,3.0,177cm/81kg,25.0,4000만원,0.0,0.0,63.0,1.11,,10LG,25.0,10 LG 9라운드 65순위,0.0,258.0,1049.0,LG,4.0,3.57,투수(우투우타),4.0,52.0,0.225,17.0,9.0,2.0,2.0
25.0,0.0,29.0,용답초(동부리틀)-청량중-덕수정보고,0.0,11,0.0,70.0,0.0,138.0,1983년 05월 30일,류제국,0.0,0.542,13.0,190cm/105kg,83.0,18000만원,1.0,1.0,161.33333333333334,1.38,55000만원,01시카고컵스,77.0,07 해외진출선수 특별지명,14.0,701.0,2743.0,LG,11.0,4.3,투수(우투우타),13.0,152.0,0.255,0.0,14.0,5.0,8.0
9.0,0.0,19.0,수유초-신일중-신일고,0.0,51,0.0,22.0,2.0,20.0,1980년 07월 15일,봉중근,0.0,1.0,1.0,190cm/98kg,23.0,30000만원,0.0,0.0,36.333333333333336,1.73,100000만원,97애틀란타,20.0,07 LG 1차,0.0,175.0,665.0,LG,0.0,4.95,투수(좌투좌타),0.0,41.0,0.281,2.0,4.0,2.0,3.0
47.0,8.0,33.0,도미니카 어거스토베라고-KIA-넥센,2.0,50,0.0,38.0,0.0,107.0,1985년 07월 28일,소사,0.0,0.526,10.0,185cm/95kg,121.0,500000달러,0.0,0.0,199.0,1.49,50000달러,12KIA,114.0,12 KIA 자유선발,17.0,870.0,3166.0,LG,9.0,5.16,투수(우투우타),6.0,258.0,0.319,0.0,12.0,11.0,4.0
9.0,1.0,49.0,금평초-전주동중-전주고-(전남과학대)-SK-KIA,3.0,37,0.0,24.0,2.0,31.0,1983년 08월 13일,신승현,1.0,0.75,3.0,193cm/102kg,26.0,6000만원,0.0,0.0,45.333333333333336,1.43,,00SK,25.0,00 쌍방울 2차 11라운드 81순위,0.0,199.0,746.0,LG,1.0,4.96,투수(우언우타),3.0,41.0,0.252,9.0,3.0,4.0,4.0
30.0,0.0,28.0,성동초-휘문중-휘문고-LG-경찰,1.0,1,0.0,36.0,0.0,81.0,1985년 01월 21일,우규민,0.0,0.353,6.0,184cm/83kg,89.0,40000만원,1.0,1.0,132.0,1.53,12000만원,03LG,72.0,03 LG 2차 3라운드 19순위,11.0,599.0,2092.0,LG,11.0,4.91,투수(우언좌타),1.0,166.0,0.309,1.0,16.0,3.0,4.0
3.0,1.0,19.0,둔촌초-잠신중-북일고-(목원대)-한화,1.0,17,0.0,13.0,0.0,15.0,1986년 06월 17일,유원상,0.0,0.667,2.0,187cm/93kg,18.0,7500만원,0.0,0.0,24.0,1.83,55000만원,06한화,17.0,06 한화 1차 ,0.0,115.0,454.0,LG,1.0,6.38,투수(우투우타),2.0,31.0,0.326,1.0,3.0,2.0,3.0
1.0,2.0,7.0,갈산초-양천중-충암고,0.0,60,1.0,7.0,0.0,3.0,1997년 03월 03일,유재유,0.0,0.0,0.0,183cm/87kg,10.0,2700만원,0.0,0.0,6.666666666666667,2.55,15000만원,16LG,10.0,16 LG 2차 1라운드 7순위,0.0,36.0,139.0,LG,1.0,13.5,투수(우투우타),1.0,10.0,0.357,0.0,2.0,0.0,1.0
5.0,1.0,59.0,대연초-부산중-부산공고-동의대-넥센-LG-경찰,2.0,34,0.0,18.0,1.0,37.0,1988년 03월 11일,윤지웅,0.0,0.667,4.0,180cm/75kg,33.0,12500만원,0.0,0.0,44.0,1.5,20000만원,11넥센,32.0,11 넥센 1라운드 3순위,0.0,196.0,778.0,LG,2.0,6.55,투수(좌투좌타),1.0,48.0,0.284,11.0,4.0,2.0,3.0
13.0,0.0,46.0,영일초-영남중-경기고,3.0,18,0.0,14.0,2.0,38.0,1983년 01월 12일,이동현,2.0,0.571,4.0,192cm/98kg,26.0,60000만원,0.0,0.0,43.333333333333336,1.57,32000만원,01LG,26.0,01 LG 1차,0.0,195.0,757.0,LG,3.0,5.4,투수(우투우타),3.0,54.0,0.318,5.0,5.0,5.0,3.0
7.0,0.0,38.0,화순초-진흥중-화순고,1.0,40,0.0,23.0,1.0,29.0,1991년 11월 20일,이승현,0.0,0.75,3.0,181cm/92kg,28.0,3700만원,0.0,0.0,41.0,1.68,10000만원,10LG,25.0,10 LG 2라운드 16순위,0.0,191.0,734.0,LG,1.0,5.49,투수(우투우타),1.0,46.0,0.289,3.0,5.0,5.0,0.0
17.0,1.0,25.0,수주초-양천중-서울고-(대구사이버대)-kt,1.0,63,0.0,45.0,0.0,35.0,1993년 06월 03일,이준형,0.0,0.25,2.0,187cm/82kg,54.0,2800만원,0.0,0.0,71.33333333333333,1.81,,14kt,49.0,12 삼성 6라운드 53순위,0.0,335.0,1261.0,LG,6.0,6.18,투수(우투우타),11.0,84.0,0.303,0.0,4.0,7.0,2.0
10.0,2.0,67.0,도곡초-영동중-서울고-SK,4.0,20,0.0,36.0,5.0,87.0,1991년 04월 02일,임정우,28.0,0.273,3.0,183cm/77kg,31.0,12500만원,0.0,0.0,70.66666666666667,1.54,8000만원,11SK,30.0,11 SK 4라운드 26순위,0.0,317.0,1238.0,LG,8.0,3.82,투수(우투우타),6.0,73.0,0.271,0.0,5.0,2.0,3.0
11.0,1.0,15.0,가동초-청원중-휘문고-LG-경찰,0.0,28,0.0,32.0,0.0,38.0,1992년 11월 20일,임찬규,0.0,0.5,3.0,185cm/80kg,35.0,4800만원,0.0,0.0,47.0,1.66,30000만원,11LG,34.0,11 LG 1라운드 2순위,0.0,215.0,880.0,LG,3.0,6.51,투수(우투우타),6.0,46.0,0.266,1.0,6.0,0.0,4.0
3.0,0.0,17.0,장안초-건대부중-동대문상고-삼성,1.0,19,0.0,10.0,0.0,18.0,1978년 12월 02일,정현욱,1.0,1.0,1.0,187cm/102kg,19.0,40000만원,0.0,0.0,21.0,1.52,13000만원,96삼성,17.0,96 삼성 2차 3라운드 21순위,0.0,97.0,364.0,LG,0.0,7.29,투수(우투우타),2.0,22.0,0.265,3.0,4.0,0.0,0.0
10.0,1.0,75.0,동삼초-경남중-부경고-KIA-상무-KIA-SK,4.0,21,0.0,37.0,2.0,54.0,1986년 06월 26일,진해수,1.0,0.0,0.0,187cm/85kg,30.0,9500만원,0.0,0.0,54.0,1.74,4000만원,06KIA,28.0,05 KIA 2차 7라운드 50순위,0.0,254.0,1033.0,LG,4.0,4.67,투수(좌투좌타),1.0,57.0,0.273,17.0,5.0,4.0,2.0
5.0,0.0,26.0,인헌초-선린중-경동고,0.0,12,0.0,15.0,0.0,22.0,1989년 09월 19일,최동환,1.0,1.0,2.0,184cm/83kg,18.0,3500만원,0.0,0.0,34.666666666666664,1.3,12000만원,09LG,17.0,09 LG 2차 2라운드 13순위,0.0,151.0,587.0,LG,0.0,4.41,투수(우투우타),5.0,30.0,0.234,0.0,2.0,1.0,3.0
4.0,0.0,28.0,가동초-잠신중-경기고-경희대,1.0,56,0.0,11.0,0.0,8.0,1989년 10월 11일,최성훈,0.0,0.667,2.0,178cm/75kg,22.0,3500만원,0.0,0.0,22.666666666666668,2.03,11000만원,12LG,18.0,12 LG 2라운드 16순위,0.0,112.0,399.0,LG,1.0,7.15,투수(좌투좌타),0.0,35.0,0.35,4.0,1.0,1.0,0.0
