2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
2.0,0.0,24.0,칠성초-경복중-대구상원고-해태-삼성,0.0,14,0.0,9.0,1.0,11.0,1981년 06월 17일,강영식,0.0,0.0,0.0,189cm/100kg,8.0,30000만원,0.0,0.0,11.666666666666666,1.89,3000만원,00해태,7.0,00 해태 2차 2라운드 10순위,0.0,55.0,228.0,롯데,2.0,5.4,투수(좌투좌타),0.0,13.0,0.283,5.0,2.0,0.0,0.0
1.0,0.0,3.0,학강초-동성중-동성고,0.0,34,0.0,8.0,0.0,5.0,1993년 06월 14일,김원중,0.0,0.0,0.0,191cm/97kg,8.0,3600만원,0.0,0.0,7.666666666666667,1.96,15000만원,12롯데,8.0,12 롯데 1라운드 5순위,0.0,37.0,178.0,롯데,1.0,9.39,투수(우투좌타),1.0,7.0,0.25,0.0,2.0,0.0,1.0
9.0,1.0,46.0,양정초-개성중-경남고,1.0,55,0.0,30.0,1.0,31.0,1994년 05월 02일,김유영,1.0,0.0,0.0,180cm/80kg,32.0,2800만원,0.0,0.0,34.333333333333336,1.95,20000만원,14롯데,25.0,14 롯데 1차,0.0,171.0,691.0,롯데,1.0,6.55,투수(좌투좌타),8.0,37.0,0.272,3.0,3.0,3.0,2.0
25.0,5.0,22.0,화곡초-성남중-성남고-(대불대)-두산,0.0,38,0.0,48.0,1.0,52.0,1984년 03월 11일,노경은,0.0,0.2,3.0,186cm/85kg,79.0,20000만원,0.0,0.0,94.66666666666667,1.86,35000만원,03두산,72.0,03 두산 1차 ,6.0,454.0,1792.0,롯데,12.0,6.85,투수(우투우타),10.0,128.0,0.325,0.0,13.0,6.0,1.0
36.0,4.0,31.0,미국 유밸디고-미국 텍사스A&M대,1.0,46,2.0,51.0,0.0,147.0,1988년 06월 29일,레일리,0.0,0.444,8.0,190cm/84kg,105.0,630000달러,1.0,1.0,184.66666666666666,1.4,50000달러,15롯데,89.0,15 롯데 자유선발,16.0,808.0,3052.0,롯데,10.0,4.34,투수(좌투좌타),5.0,207.0,0.286,0.0,21.0,8.0,7.0
36.0,6.0,30.0,미국 해리슨고-미국 퍼듀대,0.0,43,0.0,77.0,0.0,148.0,1987년 06월 15일,린드블럼,0.0,0.435,10.0,195cm/105kg,109.0,1200000달러,0.0,1.0,177.33333333333334,1.55,50000달러,15롯데,104.0,15 롯데 자유선발,13.0,791.0,3106.0,롯데,13.0,5.28,투수(우투우타),7.0,197.0,0.283,0.0,28.0,6.0,4.0
31.0,3.0,27.0,대구경운초-경운중-경북고-kt,0.0,32,0.0,62.0,0.0,133.0,1995년 11월 30일,박세웅,0.0,0.368,7.0,183cm/79kg,97.0,5600만원,0.0,0.0,139.0,1.6,20000만원,14kt,89.0,14 kt 1차,10.0,627.0,2549.0,롯데,12.0,5.76,투수(우투우타),9.0,160.0,0.294,0.0,17.0,8.0,7.0
17.0,1.0,42.0,축현초-인천신흥중-제물포고-(영남사이버대),3.0,62,0.0,29.0,0.0,57.0,1989년 03월 10일,박시영,0.0,0.4,2.0,181cm/88kg,38.0,2700만원,0.0,0.0,61.666666666666664,1.51,,10롯데,37.0,08 롯데 2차 4라운드 31순위,0.0,277.0,1078.0,롯데,3.0,5.4,투수(우투우타),8.0,64.0,0.264,1.0,6.0,1.0,3.0
28.0,2.0,39.0,영랑초-경포중-강릉고,0.0,40,1.0,54.0,1.0,78.0,1994년 06월 10일,박진형,0.0,0.75,6.0,181cm/80kg,65.0,2800만원,0.0,0.0,93.0,1.67,10000만원,15롯데,60.0,13 롯데 2라운드 13순위,3.0,438.0,1829.0,롯데,2.0,5.81,투수(우투우타),6.0,101.0,0.278,3.0,9.0,5.0,3.0
6.0,1.0,48.0,내당초-경상중-대구고-영남대-현대-경찰-넥센,4.0,1,1.0,24.0,6.0,48.0,1982년 03월 04일,손승락,20.0,0.7,7.0,187cm/99kg,25.0,70000만원,0.0,0.0,50.666666666666664,1.68,35000만원,05현대,24.0,01 현대 2차 3라운드 25순위,0.0,232.0,894.0,롯데,3.0,4.26,투수(우투우타),5.0,61.0,0.314,0.0,5.0,8.0,3.0
