2루타,3루타,경기,경력 ,고의4구,대타타율,도루,도루성공률,도루실패,득점,득점권타울,등번호 ,루타,멀티히트,병살타,볼넷,사구,삼진,생년월일 ,선수명 ,신장/체중 ,실책,안타,연봉 ,입단 계약금 ,입단년도 ,장타율,지명순위 ,출루율,출루율+장타율,타석,타수,타율,타점,팀명,포지션 ,홈런,희생번트,희생플라이
0.0,0.0,14.0,동천초-경주중-경주고-경남대-NC-상무,0.0,0.0,0.0,0.0,1.0,4.0,0.235,53,14.0,2.0,0.0,5.0,1.0,9.0,1990년 12월 30일,권희동,177cm/85kg,0.0,11.0,6800만원,3000만원,13NC,0.341,13 NC 9라운드 84순위,0.362,0.703,47.0,41.0,0.268,9.0,NC,외야수(우투우타),1.0,0.0,0.0
15.0,1.0,130.0,서림초-충장중-진흥고,0.0,0.125,5.0,71.4,2.0,60.0,0.318,38,143.0,22.0,15.0,30.0,3.0,64.0,1993년 05월 01일,김성욱,181cm/83kg,1.0,81.0,5500만원,7000만원,12NC,0.467,12 NC 3라운드 32순위,0.334,0.801,348.0,306.0,0.265,51.0,NC,외야수(우투우타),15.0,7.0,2.0
2.0,0.0,93.0,성수초-청량중-배재고-건국대-삼성-상무-삼성,0.0,0.167,13.0,68.4,6.0,26.0,0.286,9,38.0,13.0,3.0,14.0,0.0,30.0,1984년 05월 31일,김종호,183cm/82kg,1.0,36.0,17500만원,8000만원,07삼성,0.311,07 삼성 2차 4라운드 25순위,0.368,0.679,137.0,122.0,0.295,7.0,NC,외야수(좌투좌타),0.0,1.0,0.0
7.0,1.0,122.0,길동초-건대부중-장충고-고려대,0.0,0.0,2.0,28.6,5.0,60.0,0.179,1,78.0,17.0,4.0,66.0,2.0,62.0,1991년 01월 20일,김준완,174cm/73kg,1.0,66.0,3000만원,,13NC,0.308,13 NC 육성선수,0.416,0.724,325.0,253.0,0.261,12.0,NC,외야수(우투좌타),1.0,2.0,1.0
37.0,2.0,144.0,대성초-진흥중-진흥고-연세대,2.0,0.0,7.0,63.6,4.0,116.0,0.32,47,284.0,56.0,4.0,67.0,9.0,136.0,1989년 10월 03일,나성범,183cm/100kg,8.0,177.0,30000만원,30000만원,12NC,0.497,12 NC 2라운드 10순위,0.388,0.885,653.0,572.0,0.309,113.0,NC,외야수(좌투좌타),22.0,1.0,4.0
8.0,0.0,63.0,화정초-충장중-광주제일고-성균관대-SK-상무-SK,0.0,0.3,3.0,60.0,2.0,16.0,0.289,3,67.0,10.0,7.0,9.0,1.0,24.0,1985년 05월 08일,모창민,188cm/89kg,3.0,44.0,12500만원,12000만원,08SK,0.504,08 SK 2차 1라운드 3순위,0.37,0.874,147.0,133.0,0.331,20.0,NC,내야수(우투우타),5.0,1.0,3.0
16.0,6.0,121.0,마포초(용산리틀)-선린중-휘문고,1.0,0.0,20.0,76.9,6.0,84.0,0.434,2,186.0,42.0,9.0,55.0,8.0,70.0,1993년 02월 06일,박민우,185cm/80kg,14.0,149.0,19000만원,16000만원,12NC,0.428,12 NC 1라운드 9순위,0.42,0.848,515.0,435.0,0.343,55.0,NC,내야수(우투좌타),3.0,10.0,7.0
20.0,0.0,126.0,율하초-경복중-대구고-(대구사이버대)-삼성-상무-삼성,2.0,0.0,2.0,100.0,0.0,77.0,0.354,18,247.0,39.0,18.0,56.0,16.0,95.0,1985년 06월 22일,박석민,178cm/88kg,15.0,131.0,75000만원,18000만원,04삼성,0.578,04 삼성 1차,0.404,0.982,506.0,427.0,0.307,104.0,NC,내야수(우투우타),32.0,2.0,4.0
21.0,2.0,110.0,화곡초-선린중-선린정보고-동의대-두산-상무-두산,0.0,0.0,1.0,100.0,0.0,36.0,0.311,13,144.0,30.0,13.0,38.0,13.0,48.0,1980년 10월 19일,손시헌,172cm/73kg,13.0,104.0,40000만원,,03두산,0.422,03 두산 육성선수,0.394,0.816,403.0,341.0,0.305,39.0,NC,내야수(우투우타),5.0,10.0,1.0
2.0,0.0,15.0,옥산초-경운중-대구상원고-영동대-NC-상무,0.0,0.0,3.0,100.0,0.0,1.0,0.143,5,9.0,1.0,3.0,0.0,2.0,4.0,1989년 02월 05일,이상호,180cm/82kg,1.0,7.0,4800만원,,13NC,0.36,10 롯데 육성선수,0.333,0.693,27.0,25.0,0.28,1.0,NC,내야수(우투우타),0.0,0.0,0.0
0.0,0.0,32.0,본리초-포철중-포철공고-영남대,0.0,0.0,8.0,88.9,1.0,9.0,0.0,68,2.0,0.0,0.0,0.0,0.0,3.0,1993년 05월 02일,이재율,185cm/75kg,1.0,2.0,2700만원,7000만원,16NC,0.154,16 NC 2차 4라운드 33순위,0.154,0.308,13.0,13.0,0.154,0.0,NC,외야수(좌투좌타),0.0,0.0,0.0
24.0,4.0,134.0,면목초-홍은중-선린정보고-영남대-현대-상무-두산,0.0,0.5,15.0,83.3,3.0,73.0,0.315,39,185.0,40.0,11.0,54.0,1.0,73.0,1980년 06월 18일,이종욱,176cm/78kg,2.0,138.0,50000만원,9000만원,03현대,0.408,99 현대 2차 2라운드 16순위,0.376,0.784,517.0,453.0,0.305,57.0,NC,외야수(좌투좌타),5.0,4.0,5.0
20.0,0.0,119.0,광주중앙초-충장중-광주제일고-(호남대)-해태-SK,6.0,0.8,3.0,60.0,2.0,46.0,0.342,27,202.0,33.0,11.0,65.0,2.0,78.0,1976년 02월 08일,이호준,187cm/95kg,0.0,119.0,75000만원,5000만원,94해태,0.506,94 해태 고졸신인,0.396,0.902,472.0,399.0,0.298,87.0,NC,내야수(우투우타),21.0,2.0,4.0
14.0,0.0,109.0,영랑초-설악중-속초상고-건국대-삼성-경찰-삼성-KIA,1.0,0.333,3.0,50.0,3.0,29.0,0.339,24,89.0,15.0,2.0,21.0,3.0,43.0,1982년 11월 12일,조영훈,185cm/90kg,5.0,60.0,11000만원,18000만원,05삼성,0.497,01 삼성 2차 2라운드 11순위,0.408,0.905,207.0,179.0,0.335,35.0,NC,내야수(좌투좌타),5.0,1.0,3.0
14.0,0.0,141.0,가동초-휘문중-휘문고-현대-우리-상무-넥센,0.0,0.071,0.0,0.0,2.0,34.0,0.232,10,118.0,13.0,9.0,22.0,9.0,91.0,1984년 03월 17일,지석훈,181cm/74kg,9.0,77.0,14000만원,25000만원,03현대,0.336,03 현대 2차 1라운드 6순위,0.278,0.614,394.0,351.0,0.219,54.0,NC,내야수(우투우타),9.0,6.0,6.0
30.0,3.0,123.0,미국 페퍼다인대,6.0,1.0,13.0,76.5,4.0,118.0,0.304,14,296.0,45.0,2.0,74.0,12.0,103.0,1986년 11월 10일,테임즈,183cm/95kg,4.0,140.0,1250000달러,50000달러,14NC,0.679,14 NC 자유선발,0.427,1.106,529.0,436.0,0.321,121.0,NC,내야수(우투좌타),40.0,0.0,7.0
0.0,0.0,33.0,수주초-신월중-장충고-NC-경찰,0.0,0.0,1.0,100.0,0.0,7.0,0.143,6,1.0,0.0,0.0,0.0,0.0,5.0,1993년 09월 22일,황윤호,177cm/78kg,0.0,1.0,2700만원,3000만원,12NC,0.083,12 NC 10라운드 87순위,0.083,0.166,12.0,12.0,0.083,2.0,NC,내야수(우투우타),0.0,0.0,0.0
