2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
1.0,0.0,3.0,강남초-선린중-선린인터넷고-동국대,0.0,99,0.0,3.0,0.0,1.0,1990년 02월 16일,강장산,0.0,0.0,0.0,194cm/104kg,3.0,3000만원,0.0,0.0,2.3333333333333335,2.57,,15NC,3.0,14 NC 육성선수,0.0,12.0,43.0,NC,1.0,11.57,투수(우투우타),0.0,3.0,0.375,0.0,2.0,1.0,0.0
11.0,0.0,39.0,천안남산초-덕수중-울산공고,0.0,59,2.0,37.0,0.0,67.0,1997년 02월 17일,구창모,0.0,0.8,4.0,183cm/76kg,32.0,2700만원,0.0,0.0,68.66666666666667,1.43,15000만원,15NC,32.0,15 NC 2차 1라운드 3순위,1.0,296.0,1305.0,NC,1.0,4.19,투수(좌투좌타),9.0,61.0,0.239,1.0,9.0,2.0,0.0
3.0,0.0,17.0,순천북초-이수중-효천고-SK-LG,0.0,61,0.0,8.0,0.0,6.0,1986년 04월 20일,김선규,0.0,1.0,1.0,185cm/94kg,6.0,6000만원,0.0,0.0,15.333333333333334,1.83,6000만원,05SK,5.0,05 SK 2차 4라운드 31순위,0.0,70.0,268.0,NC,0.0,2.93,투수(우언우타),1.0,20.0,0.328,0.0,1.0,0.0,0.0
11.0,3.0,69.0,인헌초-성남중-성남서고-SK,0.0,55,1.0,16.0,5.0,100.0,1985년 03월 07일,김진성,1.0,0.429,6.0,186cm/92kg,44.0,15000만원,0.0,0.0,84.33333333333333,1.13,,05SK,42.0,04 SK 2차 6라운드 42순위,0.0,347.0,1419.0,NC,8.0,4.48,투수(우투우타),8.0,79.0,0.244,14.0,15.0,4.0,1.0
9.0,0.0,25.0,도신초-영남중-중앙고-(방송통신대)-우리-히어로즈,0.0,57,0.0,15.0,0.0,18.0,1989년 09월 12일,민성기,0.0,1.0,2.0,181cm/73kg,20.0,3300만원,0.0,0.0,28.333333333333332,1.69,7000만원,08우리,19.0,08 현대 2차 3라운드 22순위,0.0,131.0,521.0,NC,0.0,6.04,투수(좌투좌타),0.0,33.0,0.3,1.0,2.0,1.0,1.0
7.0,2.0,32.0,서울도곡초(남양주리틀)-잠신중-경기고,0.0,28,0.0,18.0,1.0,33.0,1997년 08월 05일,박준영,0.0,0.25,1.0,181cm/75kg,31.0,2700만원,0.0,0.0,33.666666666666664,1.63,20000만원,16NC,26.0,16 NC 1차,0.0,158.0,615.0,NC,3.0,6.95,투수(우투우타),2.0,37.0,0.274,5.0,4.0,2.0,0.0
4.0,0.0,11.0,가동초-잠신중-서울고,0.0,41,0.0,9.0,0.0,15.0,1995년 02월 24일,배재환,0.0,0.5,1.0,186cm/95kg,11.0,2700만원,0.0,0.0,22.0,1.18,15000만원,14NC,10.0,14 NC 2차 1라운드 1순위,0.0,90.0,363.0,NC,1.0,4.09,투수(우투우타),2.0,17.0,0.215,0.0,1.0,0.0,2.0
20.0,0.0,27.0,미국 텍사스테크대,1.0,31,0.0,55.0,0.0,118.0,1986년 09월 28일,스튜어트,0.0,0.6,12.0,188cm/93kg,79.0,500000달러,0.0,0.0,150.0,1.43,25000달러,15NC,76.0,15 NC 자유선발,12.0,653.0,2489.0,NC,8.0,4.56,투수(우투우타),4.0,160.0,0.277,0.0,11.0,7.0,5.0
8.0,0.0,54.0,군산중앙초-군산중-군산상고-LG-경찰,0.0,46,0.0,18.0,2.0,75.0,1987년 07월 31일,원종현,3.0,0.5,3.0,182cm/83kg,26.0,8000만원,0.0,0.0,70.66666666666667,0.98,11000만원,06LG,25.0,06 LG 2차 2라운드 11순위,0.0,283.0,1059.0,NC,3.0,3.18,투수(우언우타),4.0,51.0,0.197,17.0,4.0,1.0,2.0
29.0,3.0,45.0,수영초-부산중-부산고,0.0,29,0.0,55.0,0.0,102.0,1993년 08월 11일,이민호,2.0,0.5,9.0,185cm/90kg,90.0,13500만원,0.0,0.0,130.66666666666666,1.64,30000만원,12NC,80.0,12 NC 우선지명,3.0,603.0,2311.0,NC,9.0,5.51,투수(우투우타),10.0,159.0,0.299,3.0,18.0,6.0,5.0
