2루타,3루타,경기,경력 ,고의4구,대타타율,도루,도루성공률,도루실패,득점,득점권타울,등번호 ,루타,멀티히트,병살타,볼넷,사구,삼진,생년월일 ,선수명 ,신장/체중 ,실책,안타,연봉 ,입단 계약금 ,입단년도 ,장타율,지명순위 ,출루율,출루율+장타율,타석,타수,타율,타점,팀명,포지션 ,홈런,희생번트,희생플라이
2.0,0.0,40.0,진북초-상인천중-인천고-LG,0.0,0.0,1.0,25.0,3.0,10.0,0.15,66,18.0,2.0,1.0,11.0,1.0,24.0,1990년 10월 23일,강지광,181cm/100kg,1.0,13.0,2700만원,10000만원,09LG,0.273,09 LG 2차 3라운드 20순위,0.316,0.589,80.0,66.0,0.197,7.0,넥센,외야수(우투우타),1.0,1.0,1.0
22.0,9.0,133.0,역삼초-대치중-경기고-한양대-넥센-상무,1.0,0.545,28.0,66.7,14.0,92.0,0.409,53,240.0,52.0,10.0,28.0,5.0,103.0,1989년 01월 11일,고종욱,184cm/83kg,1.0,176.0,7700만원,8000만원,11넥센,0.455,11 넥센 3라운드 19순위,0.37,0.825,566.0,527.0,0.334,72.0,넥센,외야수(우투좌타),8.0,1.0,5.0
39.0,5.0,141.0,고명초-잠신중-덕수정보고-(영남사이버대)-롯데,3.0,0.0,6.0,66.7,3.0,76.0,0.298,3,256.0,47.0,15.0,53.0,3.0,89.0,1988년 12월 17일,김민성,181cm/94kg,7.0,156.0,22000만원,10000만원,07롯데,0.502,07 롯데 2차 2라운드 13순위,0.367,0.869,579.0,510.0,0.306,90.0,넥센,내야수(우투우타),17.0,1.0,12.0
0.0,0.0,20.0,군산남초-온양중-북일고,0.0,0.0,0.0,0.0,1.0,4.0,0.0,39,1.0,0.0,0.0,1.0,0.0,5.0,1994년 02월 12일,김민준,174cm/73kg,0.0,1.0,2700만원,10000만원,13넥센,0.083,13 넥센 3라운드 22순위,0.154,0.237,13.0,12.0,0.083,0.0,넥센,외야수(우투우타),0.0,0.0,0.0
5.0,0.0,81.0,서일초(서초리틀)-서울경원중-중앙고-동국대-히어로즈-넥센-경찰,0.0,0.2,2.0,50.0,2.0,16.0,0.16,5,40.0,4.0,3.0,10.0,0.0,16.0,1986년 08월 23일,김지수,180cm/81kg,0.0,26.0,5500만원,4000만원,09히어로즈,0.44,09 히어로즈 2차 5라운드 35순위,0.353,0.793,106.0,91.0,0.286,9.0,넥센,내야수(우투우타),3.0,4.0,1.0
29.0,7.0,144.0,부천북초-부천중-야탑고,2.0,0.0,28.0,65.1,15.0,92.0,0.315,7,251.0,36.0,7.0,60.0,6.0,80.0,1995년 10월 17일,김하성,175cm/76kg,21.0,148.0,16000만원,10000만원,14넥센,0.477,14 넥센 2차 3라운드 29순위,0.358,0.835,599.0,526.0,0.281,84.0,넥센,내야수(우투우타),20.0,2.0,5.0
33.0,1.0,129.0,미국 다이아몬드 바고-미국 캘리포니아 주립 플러튼대,4.0,0.111,1.0,100.0,0.0,65.0,0.297,6,206.0,34.0,8.0,70.0,5.0,72.0,1984년 07월 20일,대니돈,188cm/90kg,4.0,123.0,600000달러,130000달러,16넥센,0.494,16 넥센 자유선발,0.399,0.893,497.0,417.0,0.295,70.0,넥센,외야수(좌투좌타),16.0,1.0,4.0
25.0,1.0,127.0,양정초-개성중-개성고-히어로즈-넥센-상무,0.0,0.0,3.0,75.0,1.0,44.0,0.25,27,171.0,26.0,18.0,27.0,7.0,93.0,1990년 04월 07일,박동원,179cm/92kg,7.0,102.0,14000만원,6000만원,09히어로즈,0.416,09 히어로즈 2차 3라운드 19순위,0.304,0.72,454.0,411.0,0.248,70.0,넥센,포수(우투우타),14.0,6.0,3.0
5.0,3.0,98.0,금평초-전라중-전주고-성균관대-넥센-상무,0.0,0.25,16.0,64.0,9.0,45.0,0.365,9,92.0,19.0,5.0,30.0,3.0,52.0,1989년 04월 15일,박정음,175cm/77kg,3.0,69.0,2700만원,6000만원,12넥센,0.413,12 넥센 4라운드 40순위,0.395,0.808,263.0,223.0,0.309,26.0,넥센,외야수(좌투좌타),4.0,5.0,2.0
30.0,7.0,140.0,송정동초-충장중-광주제일고-LG,2.0,0.0,26.0,66.7,13.0,111.0,0.305,14,247.0,61.0,6.0,69.0,10.0,58.0,1989년 08월 22일,서건창,176cm/84kg,15.0,182.0,26000만원,,08LG,0.441,08 LG 육성선수,0.406,0.847,646.0,560.0,0.325,63.0,넥센,내야수(우투좌타),7.0,3.0,4.0
