2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
4.0,1.0,14.0,부천북초-부천중-동산고-(한국디지털대)-두산,0.0,58,0.0,9.0,0.0,16.0,1986년 11월 07일,금민철,0.0,0.5,1.0,181cm/87kg,16.0,7900만원,0.0,0.0,26.333333333333332,1.71,4500만원,05두산,15.0,05 두산 2차 4라운드 26순위,0.0,125.0,477.0,넥센,1.0,5.13,투수(좌투좌타),2.0,36.0,0.33,0.0,2.0,3.0,3.0
14.0,4.0,67.0,신자초(자이언츠리틀)-자양중-신일고-(방송통신대)-삼성-넥센-상무,2.0,24,0.0,34.0,6.0,76.0,1988년 01월 02일,김상수,0.0,0.545,6.0,180cm/88kg,40.0,6000만원,0.0,0.0,74.0,1.5,13000만원,06삼성,38.0,06 삼성 2차 2라운드 15순위,0.0,331.0,1276.0,넥센,5.0,4.62,투수(우투우타),2.0,77.0,0.267,21.0,6.0,3.0,5.0
7.0,2.0,62.0,도신초-우신중-덕수정보고-현대-우리-히어로즈,0.0,50,0.0,7.0,8.0,50.0,1987년 08월 07일,김세현,36.0,1.0,2.0,188cm/98kg,19.0,16000만원,0.0,0.0,62.333333333333336,1.17,10000만원,06현대,18.0,06 현대 2차 2라운드 16순위,0.0,254.0,894.0,넥센,0.0,2.6,투수(우투우타),4.0,66.0,0.274,0.0,2.0,3.0,3.0
7.0,2.0,34.0,수창초-무등중-진흥고-넥센-상무,0.0,55,0.0,29.0,0.0,28.0,1991년 10월 02일,김정훈,0.0,0.167,1.0,185cm/85kg,44.0,3400만원,0.0,0.0,63.333333333333336,1.58,18000만원,10넥센,37.0,10 넥센 1라운드 2순위,1.0,288.0,1109.0,넥센,5.0,5.26,투수(우투우타),5.0,71.0,0.291,0.0,9.0,6.0,3.0
5.0,0.0,32.0,창영초-재능중-동산고,0.0,43,0.0,11.0,1.0,35.0,1996년 10월 10일,김택형,0.0,0.5,2.0,183cm/83kg,26.0,4400만원,0.0,0.0,28.333333333333332,1.84,10000만원,15넥센,24.0,15 넥센 2차 2라운드 18순위,0.0,135.0,538.0,넥센,2.0,7.62,투수(좌투좌타),1.0,41.0,0.339,7.0,6.0,3.0,0.0
16.0,2.0,61.0,내덕초-청주중-청주기공고-단국대-한화,0.0,21,0.0,34.0,0.0,52.0,1979년 03월 13일,마정길,0.0,0.857,6.0,177cm/95kg,33.0,20000만원,0.0,0.0,63.666666666666664,1.49,20000만원,02한화,29.0,98 한화 2차 10라운드 74순위,0.0,282.0,1114.0,넥센,1.0,4.1,투수(우언우타),1.0,61.0,0.26,12.0,10.0,2.0,7.0
17.0,0.0,14.0,미국 라코타 이스트고-미국 멤피스대,0.0,23,1.0,20.0,0.0,61.0,1986년 12월 19일,맥그레거,0.0,0.667,6.0,193cm/90kg,56.0,120000달러,0.0,0.0,90.0,1.42,30000달러,16넥센,52.0,16 넥센 자유선발,6.0,385.0,1425.0,넥센,3.0,5.2,투수(우투우타),3.0,108.0,0.299,0.0,13.0,1.0,1.0
28.0,1.0,30.0,강남초-덕수중-장충고,0.0,48,1.0,37.0,0.0,71.0,1996년 06월 19일,박주현,0.0,0.583,7.0,184cm/110kg,89.0,2700만원,0.0,0.0,119.0,1.6,9000만원,15넥센,84.0,15 넥센 2차 3라운드 29순위,5.0,538.0,2027.0,넥센,5.0,6.35,투수(우투우타),5.0,153.0,0.318,0.0,19.0,7.0,5.0
14.0,0.0,12.0,미국 홀랜드고,0.0,22,0.0,19.0,0.0,81.0,1979년 07월 31일,밴헤켄,0.0,0.7,7.0,193cm/90kg,29.0,,0.0,0.0,72.0,1.03,30000달러,12넥센,27.0,12 넥센 자유선발,7.0,287.0,1183.0,넥센,3.0,3.38,투수(좌투우타),1.0,55.0,0.216,0.0,10.0,3.0,5.0
35.0,6.0,30.0,대전유천초-한밭중-대전고-단국대-NC-넥센-경찰,0.0,37,1.0,21.0,0.0,99.0,1989년 11월 18일,신재영,0.0,0.682,15.0,185cm/91kg,76.0,2700만원,0.0,0.0,168.66666666666666,1.26,4000만원,12NC,73.0,12 NC 8라운드 69순위,11.0,718.0,2655.0,넥센,7.0,3.9,투수(우언우타),2.0,192.0,0.286,0.0,19.0,7.0,8.0
21.0,1.0,20.0,영랑초-설악중-속초상고-(영남사이버대)-한화-경찰-한화,0.0,1,0.0,27.0,0.0,24.0,1986년 05월 29일,양훈,0.0,0.143,1.0,192cm/103kg,71.0,15000만원,0.0,0.0,70.66666666666667,2.07,12000만원,05한화,65.0,05 한화 2차 1라운드 4순위,2.0,348.0,1238.0,넥센,6.0,8.28,투수(우투우타),1.0,119.0,0.379,0.0,10.0,4.0,2.0
