2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
21.0,2.0,27.0,덕성초(안산리틀)-안산중앙중-안산공고,2.0,29,0.0,41.0,0.0,116.0,1988년 07월 22일,김광현,0.0,0.579,11.0,188cm/88kg,68.0,85000만원,0.0,1.0,137.0,1.31,50000만원,07SK,59.0,07 SK 1차,15.0,583.0,2180.0,SK,8.0,3.88,투수(좌투좌타),3.0,139.0,0.263,1.0,17.0,6.0,1.0
4.0,1.0,23.0,역삼초-배명중-배명고-탐라대-두산-롯데,1.0,13,0.0,9.0,1.0,19.0,1981년 02월 11일,김승회,0.0,0.5,1.0,177cm/85kg,16.0,22000만원,0.0,0.0,24.333333333333332,1.56,5000만원,03두산,16.0,03 두산 2차 5라운드 40순위,0.0,105.0,425.0,SK,1.0,5.92,투수(우투우타),2.0,29.0,0.312,4.0,4.0,1.0,2.0
11.0,1.0,39.0,경주동천초-경주중-성남고-고려대,0.0,59,1.0,14.0,0.0,50.0,1993년 02월 03일,김주한,1.0,0.75,3.0,184cm/93kg,28.0,2700만원,0.0,0.0,59.333333333333336,1.28,10000만원,16SK,28.0,16 SK 2차 2라운드 15순위,0.0,254.0,993.0,SK,1.0,4.25,투수(우언우타),3.0,62.0,0.267,2.0,6.0,2.0,2.0
2.0,0.0,15.0,동구초(구리시립리틀)-구리인창중-구리인창고-SK-상무,2.0,60,0.0,12.0,0.0,9.0,1990년 05월 19일,김태훈,0.0,0.0,0.0,176cm/88kg,7.0,2800만원,0.0,0.0,14.666666666666666,1.84,10000만원,09SK,7.0,09 SK 1차,0.0,72.0,253.0,SK,1.0,4.3,투수(좌투좌타),4.0,15.0,0.263,0.0,1.0,1.0,1.0
7.0,0.0,17.0,도미니카 리세오 호세 누네즈 데 카케레스고,0.0,25,1.0,30.0,0.0,40.0,1988년 12월 20일,라라,0.0,0.25,2.0,186cm/82kg,46.0,180000달러,0.0,0.0,48.333333333333336,1.99,,16SK,36.0,16 SK 자유선발,2.0,232.0,956.0,SK,6.0,6.7,투수(좌투우타),3.0,66.0,0.332,1.0,5.0,1.0,1.0
5.0,1.0,17.0,서림초-진흥중-진흥고-동의대,0.0,41,2.0,7.0,1.0,13.0,1987년 11월 09일,문광은,0.0,0.5,1.0,180cm/85kg,18.0,6000만원,0.0,0.0,17.0,2.18,15000만원,10SK,18.0,10 SK 1차 1라운드 8순위,0.0,85.0,333.0,SK,1.0,9.53,투수(우투우타),0.0,30.0,0.385,1.0,6.0,0.0,0.0
19.0,1.0,20.0,가동초-배명중-배명고-고려대-SK-상무,0.0,42,0.0,33.0,0.0,49.0,1989년 11월 28일,문승원,0.0,0.5,4.0,183cm/85kg,52.0,2900만원,0.0,0.0,63.666666666666664,1.87,18000만원,12SK,47.0,12 SK 1라운드 8순위,0.0,306.0,1215.0,SK,4.0,6.64,투수(우투우타),2.0,86.0,0.33,0.0,12.0,3.0,5.0
5.0,1.0,32.0,인천동막초-동인천중-인천고-인하대,1.0,93,0.0,9.0,0.0,18.0,1992년 02월 25일,박민호,0.0,0.0,0.0,185cm/95kg,20.0,4000만원,0.0,0.0,36.666666666666664,1.34,10000만원,14SK,20.0,14 SK 2차 3라운드 33순위,0.0,159.0,625.0,SK,1.0,4.91,투수(우언우타),0.0,40.0,0.284,3.0,4.0,2.0,3.0
17.0,1.0,49.0,중동초-공주중-공주고-한양대-두산,1.0,32,0.0,17.0,2.0,26.0,1982년 04월 01일,박정배,2.0,0.4,2.0,180cm/85kg,34.0,8000만원,0.0,0.0,51.666666666666664,1.39,,05두산,31.0,05 두산 2차 6라운드 41순위,0.0,223.0,777.0,SK,3.0,5.4,투수(우투우타),7.0,55.0,0.284,11.0,6.0,5.0,4.0
24.0,3.0,28.0,군산중앙초-군산중-군산상고-SK-상무,0.0,50,0.0,91.0,0.0,104.0,1991년 08월 13일,박종훈,0.0,0.381,8.0,186cm/85kg,102.0,7000만원,0.0,0.0,140.0,1.66,10000만원,10SK,88.0,10 SK 2라운드 9순위,9.0,650.0,2553.0,SK,13.0,5.66,투수(우언우타),4.0,141.0,0.27,0.0,17.0,7.0,6.0
6.0,0.0,51.0,대전유천초-한밭중-대전고-동국대-SK-상무,3.0,47,0.0,26.0,4.0,37.0,1983년 07월 13일,박희수,26.0,0.444,4.0,184cm/88kg,23.0,14000만원,0.0,0.0,54.666666666666664,1.26,5000만원,06SK,20.0,02 SK 2차 6라운드 43순위,0.0,237.0,912.0,SK,5.0,3.29,투수(좌투좌타),2.0,43.0,0.214,0.0,3.0,2.0,3.0
