2루타,3루타,경기,경력 ,고의4구,대타타율,도루,도루성공률,도루실패,득점,득점권타울,등번호 ,루타,멀티히트,병살타,볼넷,사구,삼진,생년월일 ,선수명 ,신장/체중 ,실책,안타,연봉 ,입단 계약금 ,입단년도 ,장타율,지명순위 ,출루율,출루율+장타율,타석,타수,타율,타점,팀명,포지션 ,홈런,희생번트,희생플라이
19.0,13.0,108.0,본리초-경복중-대구고-삼성-상무,1.0,0.5,10.0,66.7,5.0,105.0,0.352,65,234.0,47.0,4.0,55.0,5.0,68.0,1993년 02월 12일,구자욱,189cm/75kg,7.0,147.0,8000만원,13000만원,12삼성,0.547,12 삼성 2라운드 12순위,0.42,0.967,495.0,428.0,0.343,77.0,삼성,내야수(우투좌타),14.0,2.0,5.0
13.0,0.0,105.0,옥산초-경복중-경북고-(대구사이버대),0.0,0.0,6.0,60.0,4.0,56.0,0.236,7,119.0,25.0,9.0,23.0,8.0,39.0,1990년 03월 23일,김상수,175cm/68kg,15.0,97.0,31000만원,28000만원,09삼성,0.332,09 삼성 1차,0.326,0.658,401.0,358.0,0.271,38.0,삼성,내야수(우투우타),3.0,8.0,4.0
7.0,0.0,122.0,홍파초(도봉리틀)-건대부중-배명고-한양대,0.0,1.0,1.0,50.0,1.0,25.0,0.17,0,48.0,4.0,10.0,8.0,7.0,42.0,1991년 08월 30일,김재현,176cm/73kg,9.0,41.0,4500만원,6000만원,14삼성,0.255,14 삼성 2차 5라운드 54순위,0.275,0.53,215.0,188.0,0.218,14.0,삼성,내야수(우투우타),0.0,11.0,1.0
1.0,1.0,46.0,포항초-포철중-포항제철고-동국대-상무,0.0,0.0,1.0,50.0,1.0,13.0,0.154,16,34.0,6.0,3.0,9.0,1.0,25.0,1985년 08월 03일,김정혁,182cm/82kg,2.0,25.0,3300만원,,09상무,0.321,11 삼성 육성선수,0.299,0.62,118.0,106.0,0.236,11.0,삼성,내야수(우투우타),2.0,1.0,1.0
21.0,0.0,110.0,초량초-부산중-부산고-동국대,2.0,0.318,1.0,100.0,0.0,57.0,0.333,33,168.0,31.0,5.0,40.0,2.0,72.0,1979년 01월 28일,박한이,182cm/91kg,0.0,105.0,45000만원,30000만원,01삼성,0.481,97 삼성 2차 6라운드 44순위,0.372,0.853,401.0,349.0,0.301,69.0,삼성,외야수(좌투좌타),14.0,6.0,4.0
26.0,12.0,141.0,영중초-양천중-신일고-한양대,2.0,0.0,52.0,77.6,15.0,109.0,0.299,58,231.0,51.0,6.0,49.0,3.0,87.0,1990년 02월 24일,박해민,180cm/75kg,2.0,169.0,15000만원,,12삼성,0.41,12 삼성 육성선수,0.357,0.767,641.0,564.0,0.3,61.0,삼성,외야수(우투좌타),4.0,22.0,3.0
17.0,0.0,93.0,신곡초-수원북중-유신고-동국대-삼성-경찰,0.0,0.071,5.0,38.5,8.0,53.0,0.189,25,115.0,24.0,10.0,51.0,5.0,42.0,1986년 06월 27일,배영섭,178cm/78kg,0.0,86.0,16000만원,8000만원,09삼성,0.356,09 삼성 2차 4라운드 28순위,0.374,0.73,381.0,323.0,0.266,22.0,삼성,외야수(우투우타),4.0,1.0,1.0
19.0,3.0,132.0,남도초-경상중-경북고-단국대-삼성-상무,0.0,0.333,8.0,72.7,3.0,60.0,0.311,3,162.0,33.0,15.0,51.0,4.0,69.0,1988년 01월 02일,백상원,177cm/76kg,8.0,128.0,4500만원,9000만원,10삼성,0.364,10 삼성 4라운드 28순위,0.361,0.725,517.0,445.0,0.288,49.0,삼성,내야수(우투좌타),3.0,10.0,7.0
32.0,2.0,142.0,대구중앙초-경상중-경북고,1.0,0.5,5.0,71.4,2.0,91.0,0.33,36,281.0,47.0,7.0,65.0,8.0,89.0,1976년 08월 18일,이승엽,183cm/87kg,0.0,164.0,100000만원,13200만원,95삼성,0.518,95 삼성 고졸신인,0.38,0.898,623.0,542.0,0.303,118.0,삼성,내야수(좌투좌타),27.0,0.0,8.0
1.0,0.0,104.0,삼광초-덕수중-중앙고-동국대-삼성-상무,0.0,0.1,6.0,66.7,3.0,16.0,0.143,24,12.0,0.0,1.0,2.0,1.0,21.0,1985년 10월 11일,이영욱,180cm/85kg,1.0,8.0,5500만원,5000만원,08삼성,0.245,08 삼성 2차 6라운드 41순위,0.212,0.457,52.0,49.0,0.163,4.0,삼성,외야수(좌투좌타),1.0,0.0,0.0
12.0,0.0,129.0,서화초-신흥중-제물포고-경성대-삼성-상무,0.0,0.176,3.0,60.0,2.0,36.0,0.341,56,149.0,34.0,13.0,12.0,7.0,32.0,1986년 02월 27일,이지영,178cm/83kg,10.0,116.0,21000만원,,09삼성,0.382,08 삼성 육성선수,0.328,0.71,419.0,390.0,0.297,50.0,삼성,포수(우투우타),7.0,8.0,2.0
11.0,1.0,90.0,중동초-공주중-공주고-(대불대),0.0,0.2,0.0,0.0,1.0,32.0,0.222,5,111.0,17.0,7.0,26.0,3.0,64.0,1983년 07월 27일,조동찬,180cm/80kg,11.0,68.0,40000만원,12000만원,02삼성,0.449,02 삼성 2차 1라운드 8순위,0.348,0.797,282.0,247.0,0.275,36.0,삼성,내야수(우투우타),10.0,3.0,3.0
1.0,0.0,60.0,사근초(동부리틀)-건대부중-장충고-동의대,0.0,0.0,1.0,33.3,2.0,11.0,0.222,54,4.0,0.0,0.0,1.0,0.0,11.0,1991년 12월 12일,최선호,179cm/70kg,0.0,3.0,3500만원,5000만원,15삼성,0.154,14 삼성 2차 7라운드 74순위,0.148,0.302,27.0,26.0,0.115,3.0,삼성,외야수(좌투좌타),0.0,0.0,0.0
3.0,0.0,28.0,무학초-마산중-마산고-연세대-NC,0.0,0.333,3.0,75.0,1.0,20.0,0.391,31,42.0,6.0,2.0,17.0,3.0,17.0,1990년 07월 30일,최재원,183cm/81kg,1.0,27.0,5000만원,4000만원,13NC,0.519,13 NC 8라운드 67순위,0.456,0.975,105.0,81.0,0.333,16.0,삼성,외야수(우투우타),4.0,2.0,2.0
46.0,2.0,138.0,진북초-전주동중-전주고-삼성-경찰,8.0,0.0,2.0,50.0,2.0,99.0,0.38,34,338.0,58.0,12.0,83.0,9.0,83.0,1983년 12월 16일,최형우,179cm/106kg,3.0,195.0,70000만원,5000만원,02삼성,0.651,02 삼성 2차 6라운드 48순위,0.464,1.115,618.0,519.0,0.376,144.0,삼성,외야수(우투좌타),31.0,0.0,7.0
