2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
5.0,2.0,41.0,화곡초-선린중-선린정보고,0.0,45,0.0,11.0,1.0,35.0,1980년 03월 09일,권오준,0.0,0.25,1.0,182cm/80kg,20.0,7000만원,0.0,0.0,46.333333333333336,1.27,24000만원,99삼성,20.0,99 삼성 2차 1라운드 6순위,0.0,194.0,741.0,삼성,3.0,3.88,투수(우언우타),1.0,48.0,0.277,7.0,9.0,6.0,1.0
3.0,0.0,3.0,포항초-포철중-포철공고-SK-KIA-상무-KIA,0.0,49,0.0,3.0,0.0,7.0,1981년 03월 26일,김건한,0.0,1.0,1.0,182cm/82kg,5.0,6000만원,0.0,0.0,9.666666666666666,1.24,22000만원,01SK,4.0,01 SK 2차 1라운드 1순위,0.0,44.0,172.0,삼성,0.0,3.72,투수(우투우타),0.0,9.0,0.225,0.0,1.0,0.0,0.0
18.0,1.0,17.0,영랑초-설악중-동산고-삼성-상무,0.0,30,0.0,22.0,0.0,34.0,1987년 05월 11일,김기태,0.0,0.5,4.0,183cm/96kg,61.0,4000만원,0.0,0.0,75.0,1.55,10000만원,06삼성,59.0,06 삼성 2차 3라운드 23순위,2.0,343.0,1357.0,삼성,4.0,7.08,투수(우투우타),2.0,94.0,0.306,0.0,20.0,2.0,2.0
17.0,0.0,67.0,역삼초-대치중-서울고-홍익대-넥센-상무-넥센,1.0,17,0.0,19.0,1.0,37.0,1988년 11월 21일,김대우,0.0,1.0,6.0,183cm/85kg,39.0,11000만원,0.0,0.0,66.0,1.53,2000만원,11넥센,37.0,11 넥센 9라운드 67순위,0.0,295.0,1093.0,삼성,0.0,5.05,투수(우언우타),2.0,82.0,0.306,11.0,8.0,0.0,2.0
7.0,0.0,33.0,수창초-성광중-대구고-영남대,0.0,41,0.0,14.0,0.0,21.0,1985년 09월 10일,김동호,0.0,0.0,0.0,185cm/91kg,28.0,2700만원,0.0,0.0,33.0,1.82,,15삼성,28.0,09 한화 육성선수,0.0,154.0,562.0,삼성,1.0,7.64,투수(우투우타),4.0,46.0,0.338,2.0,5.0,0.0,1.0
3.0,0.0,17.0,가동초-대치중-강릉고-한민대-삼성-상무,0.0,35,0.0,4.0,0.0,19.0,1988년 01월 21일,김현우,0.0,1.0,1.0,185cm/111kg,9.0,4500만원,0.0,0.0,20.666666666666668,1.45,13000만원,10삼성,8.0,10 삼성 2라운드 12순위,0.0,91.0,343.0,삼성,0.0,3.48,투수(우투우타),1.0,26.0,0.31,0.0,3.0,0.0,1.0
5.0,0.0,2.0,멕시코 살바도르 알렌데고,0.0,46,0.0,1.0,0.0,7.0,1988년 09월 06일,레온,0.0,0.0,0.0,183cm/90kg,10.0,450000달러,0.0,0.0,8.0,2.13,50000달러,16삼성,10.0,16 삼성 자유선발,0.0,40.0,152.0,삼성,1.0,11.25,투수(우투우타),0.0,16.0,0.457,0.0,2.0,2.0,1.0
5.0,0.0,60.0,양정초-부산동성중-부산고-KIA,1.0,61,0.0,27.0,2.0,40.0,1985년 08월 22일,박근홍,0.0,0.0,0.0,180cm/90kg,34.0,11000만원,0.0,0.0,41.0,1.68,9000만원,04KIA,34.0,04 KIA 2차 2라운드 14순위,0.0,192.0,839.0,삼성,2.0,7.46,투수(좌투좌타),3.0,42.0,0.269,9.0,5.0,4.0,1.0
12.0,2.0,70.0,옥산초-대구중-대구상원고,0.0,29,0.0,30.0,0.0,77.0,1987년 07월 13일,백정현,0.0,0.667,6.0,184cm/80kg,44.0,5500만원,0.0,0.0,68.66666666666667,1.5,15000만원,07삼성,44.0,07 삼성 2차 1라운드 8순위,0.0,306.0,1303.0,삼성,3.0,5.77,투수(좌투좌타),4.0,73.0,0.269,9.0,9.0,3.0,0.0
4.0,0.0,3.0,미국 헌팅턴비치고,0.0,40,0.0,12.0,0.0,5.0,1986년 06월 06일,벨레스터,0.0,0.0,0.0,196cm/88kg,14.0,400000달러,0.0,0.0,12.333333333333334,2.59,100000달러,16삼성,11.0,16 삼성 자유선발,0.0,66.0,256.0,삼성,3.0,8.03,투수(우투우타),2.0,20.0,0.392,0.0,1.0,0.0,3.0
11.0,0.0,62.0,동삼초-경남중-경남고-(대구사이버대),3.0,18,1.0,26.0,6.0,76.0,1993년 02월 01일,심창민,25.0,0.25,2.0,185cm/86kg,29.0,14000만원,0.0,0.0,72.66666666666667,1.17,20000만원,11삼성,24.0,11 삼성 1라운드 4순위,0.0,303.0,1255.0,삼성,6.0,2.97,투수(우언우타),1.0,59.0,0.217,4.0,6.0,1.0,0.0
9.0,1.0,31.0,칠성초-경운중-대구상고,0.0,28,0.0,15.0,3.0,41.0,1983년 10월 01일,안지만,5.0,0.286,2.0,180cm/83kg,26.0,75000만원,0.0,0.0,37.333333333333336,1.58,5000만원,02삼성,24.0,02 삼성 2차 5라운드 40순위,0.0,173.0,656.0,삼성,5.0,5.79,투수(우투우타),1.0,44.0,0.291,5.0,9.0,2.0,1.0
16.0,2.0,12.0,미국 맥마이클고,0.0,2,1.0,47.0,0.0,59.0,1990년 02월 10일,웹스터,0.0,0.5,4.0,188cm/86kg,48.0,750000달러,0.0,0.0,71.0,1.68,100000달러,16삼성,45.0,16 삼성 자유선발,7.0,325.0,1161.0,삼성,4.0,5.7,투수(우투우타),4.0,72.0,0.267,0.0,10.0,3.0,2.0
35.0,3.0,28.0,감천초-대신중-부산상고-동의대,0.0,1,1.0,41.0,0.0,85.0,1981년 10월 08일,윤성환,0.0,0.524,11.0,183cm/88kg,95.0,80000만원,0.0,1.0,180.0,1.35,16000만원,04삼성,87.0,04 삼성 2차 1라운드 8순위,16.0,767.0,2786.0,삼성,10.0,4.35,투수(우투우타),6.0,202.0,0.29,0.0,25.0,11.0,6.0
3.0,0.0,26.0,고명초-건대부중-청원고-송원대,0.0,93,0.0,14.0,0.0,13.0,1993년 08월 13일,임대한,0.0,0.0,0.0,178cm/85kg,18.0,2700만원,0.0,0.0,28.0,1.68,9000만원,16삼성,16.0,16 삼성 2차 3라운드 30순위,0.0,126.0,477.0,삼성,1.0,5.14,투수(우투좌타),1.0,33.0,0.308,0.0,2.0,2.0,1.0
