2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
3,1,25,감천초-대동중-경남고-호원대,0,30,0,2,0,18,1993년 05월 14일,고봉재,0,1,3,185cm/86kg,17,27000000,0,0,23.33333333,1.46,80000000,16두산,16,16 두산 2차 3라운드 25순위,0,101,411,두산,0,6.17,투수(우언우타),0,32,0.34,0,1,0,2
3,0,14,신광초-천안북중-북일고-히어로즈-넥센-롯데-상무-롯데,0,38,0,11,0,21,1990년 06월 23일,고원준,0,0.5,1,181cm/86kg,15,68000000,0,0,24.66666667,1.7,80000000,09히어로즈,15,09 히어로즈 2차 2라운드 14순위,0,114,448,두산,1,5.47,투수(우투우타),0,31,0.32,1,2,0,1
5,2,25,문촌초(일산리틀)-장성중-경기고-두산-상무,0,18,0,17,0,21,1988년 08월 28일,김강률,0,0,0,187cm/95kg,18,62000000,0,0,28,1.71,80000000,07두산,16,07 두산 2차 4라운드 26순위,0,125,474,두산,2,5.14,투수(우투우타),7,31,0.301,4,2,1,2
8,1,39,장안초-배명중-배명고-건국대-두산-상무-두산-롯데,0,51,0,19,2,27,1981년 01월 12일,김성배,1,0,0,180cm/86kg,26,180000000,0,0,37.33333333,2.09,150000000,03두산,25,99 OB 2차 8라운드 61순위,0,184,715,두산,1,6.03,투수(우언우타),1,59,0.371,5,5,0,4
19,3,28,미국 웨스트 버지니아대,0,40,0,57,0,142,1981년 05월 06일,니퍼트,0,0.88,22,203cm/103kg,61,1200000000,1,1,167.6666667,1.24,100000000,11두산,55,11 두산 자유선발,19,701,2737,두산,3,2.95,투수(우투우타),8,151,0.243,0,15,7,6
24,2,30,미국 와반지 밸리고,0,26,2,54,0,160,1986년 09월 09일,보우덴,0,0.72,18,190cm/101kg,83,650000000,1,1,180,1.18,,16두산,76,16 두산 자유선발,17,742,3068,두산,7,3.8,투수(우투우타),8,159,0.239,0,17,12,4
15,1,16,고명초-건대부중-휘문고-경희대-두산-상무,0,20,0,24,0,24,1988년 04월 12일,안규영,0,0.333,1,185cm/85kg,36,30000000,0,0,47.66666667,2.03,80000000,11두산,35,11 두산 4라운드 27순위,1,229,933,두산,2,6.61,투수(우투우타),2,73,0.372,0,6,2,3
6,0,20,서울이수초-이수중-장충고-원광대-두산-상무,0,1,0,3,0,17,1985년 07월 17일,오현택,0,1,1,180cm/73kg,14,110000000,0,0,20.66666667,1.55,,09두산,14,08 두산 육성선수,0,91,321,두산,0,6.1,투수(우언우타),0,29,0.341,4,3,1,0
39,3,30,방배초-이수중-장충고-중앙대-두산-상무,0,29,0,58,0,102,1986년 06월 01일,유희관,0,0.714,15,180cm/88kg,95,400000000,0,0,185.6666667,1.45,40000000,09두산,91,09 두산 2차 6라운드 42순위,15,809,3052,두산,6,4.41,투수(좌투좌타),5,212,0.294,0,22,12,11
12,3,55,광주서석초-광주동성중-광주동성고-고려대,1,11,0,17,1,39,1989년 06월 18일,윤명준,2,1,4,178cm/78kg,25,115000000,0,0,57,1.19,200000000,12두산,25,12 두산 1라운드 6순위,0,239,888,두산,0,3.95,투수(우투우타),4,51,0.236,11,5,2,1
2,0,5,신원초-양천중-장충고-두산-상무,0,45,1,0,0,5,1989년 01월 02일,이용찬,0,1,1,185cm/85kg,2,145000000,0,0,6.666666667,1.05,450000000,07두산,2,07 두산 1차,0,26,93,두산,0,2.7,투수(우투우타),0,7,0.269,2,0,0,0
10,2,56,서화초-대헌중-동산고-인하대-현대-히어로즈-두산-상무,3,48,1,17,7,41,1983년 10월 11일,이현승,25,0.2,1,179cm/87kg,36,400000000,0,0,57.66666667,1.42,180000000,08히어로즈,31,02 현대 2차 3라운드 26순위,0,260,995,두산,4,4.84,투수(좌투좌타),2,65,0.283,1,8,3,3
17,1,41,숭의초-동인천중-제물포고-두산-상무,1,57,0,20,0,32,1992년 07월 14일,이현호,0,0,0,185cm/80kg,37,68000000,0,0,47,1.77,130000000,11두산,37,11 두산 2라운드 11순위,0,223,865,두산,2,7.09,투수(좌투좌타),7,63,0.325,0,5,2,2
23,6,27,수영초-대동중-부산고-(영남사이버대)-롯데-경찰-롯데,0,28,0,76,0,137,1985년 07월 31일,장원준,0,0.714,15,184cm/85kg,66,1000000000,0,0,168,1.41,350000000,04롯데,62,04 롯데 1차,19,727,2914,두산,6,3.32,투수(좌투좌타),8,161,0.255,0,14,7,4
10,1,46,역삼초-휘문중-휘문고-성균관대-두산-롯데,1,41,0,17,5,56,1980년 01월 01일,정재훈,2,0.167,1,178cm/83kg,21,150000000,0,0,52.33333333,1.15,130000000,03두산,19,99 OB 2차 5라운드 37순위,0,219,833,두산,5,3.27,투수(우투우타),2,43,0.222,23,3,1,2
14,1,55,서호초-영남중-성남고-(방송통신대)-두산-경찰,0,35,0,40,0,56,1989년 04월 11일,진야곱,1,0.714,5,183cm/81kg,38,60000000,0,0,62,1.74,200000000,08두산,34,08 두산 1차,0,294,1184,두산,2,4.94,투수(좌투좌타),4,68,0.275,4,8,4,1
25,2,28,백마초-홍은중-휘문고-(영남사이버대)-롯데-SK,0,56,0,39,0,56,1990년 09월 30일,허준혁,0,0.364,4,183cm/82kg,61,75000000,0,0,89.33333333,1.62,80000000,09롯데,56,09 롯데 2차 3라운드 18순위,4,410,1562,두산,7,5.64,투수(좌투좌타),2,106,0.294,0,17,2,2
1,0,11,영일초-충암중-충암고-두산-경찰,0,27,0,9,0,17,1990년 02월 13일,홍상삼,5,0,0,188cm/85kg,7,220000000,0,0,12,1.75,80000000,08두산,7,08 두산 2차 3라운드 20순위,0,54,240,두산,1,5.25,투수(우투좌타),0,12,0.273,1,0,0,1
1,0,6,갈산초-신월중-배명고-동국대,0,95,0,6,0,6,1991년 01월 07일,홍영현,0,1,1,189cm/87kg,6,27000000,0,0,6.333333333,2.37,,16두산,5,14 두산 육성선수,0,33,140,두산,0,7.11,투수(우투우타),2,9,0.333,0,1,0,0
