2루타,3루타,경기,경력 ,고의4구,대타타율,도루,도루성공률,도루실패,득점,득점권타울,등번호 ,루타,멀티히트,병살타,볼넷,사구,삼진,생년월일 ,선수명 ,신장/체중 ,실책,안타,연봉 ,입단 계약금 ,입단년도 ,장타율,지명순위 ,출루율,출루율+장타율,타석,타수,타율,타점,팀명,포지션 ,홈런,희생번트,희생플라이
6,1,66,부산중앙초-개성중-경남상고-KIA,0,0.25,3,100,0,23,0.216,51,71,14,7,28,2,46,1982년 12월 07일,김경언,188cm/84kg,1,48,200000000,100000000,01KIA,0.39,01 해태 2차 2라운드 15순위,0.363,0.753,217,182,0.264,25,한화,외야수(좌투좌타),5,2,3
39,0,144,천안남산초-천안북중-북일고-(대전대),10,0,1,100,0,94,0.417,52,301,60,11,108,9,97,1982년 05월 29일,김태균,185cm/110kg,4,193,1600000000,160000000,01한화,0.569,01 한화 1차 ,0.475,1.044,652,529,0.365,136,한화,내야수(우투우타),23,0,6
31,2,127,도미니카 엘리아스 로드리게스고,3,0.333,1,25,3,78,0.348,40,292,46,16,33,4,90,1989년 02월 23일,로사리오,180cm/100kg,6,158,1000000000,300000000,16한화,0.593,16 한화 자유선발,0.367,0.96,532,492,0.321,120,한화,내야수(우투우타),33,1,2
27,2,116,대전신흥초-충남중-공주고-동국대,0,0.5,3,100,0,80,0.328,7,228,43,16,28,4,86,1983년 06월 24일,송광민,184cm/90kg,14,146,100000000,100000000,06한화,0.508,02 한화 2차 10라운드 76순위,0.366,0.874,494,449,0.325,83,한화,내야수(우투우타),17,7,6
0,0,33,효제초-중앙중-중앙고-(방송통신대)-삼성,0,0,0,0,2,3,0,9,5,0,1,3,0,12,1988년 07월 11일,송주호,181cm/75kg,0,5,40000000,,10삼성,0.106,07 삼성 육성선수,0.16,0.266,52,47,0.106,1,한화,외야수(우투좌타),0,2,0
8,0,89,가동초-덕수중-교토고쿠사이고-히로시마-고양,0,0.294,0,0,4,30,0.191,68,76,10,3,15,5,54,1990년 10월 19일,신성현,183cm/85kg,7,44,37000000,,15한화,0.481,15 한화 육성선수,0.36,0.841,184,158,0.278,24,한화,내야수(우투우타),8,6,0
12,4,108,하안북초-선린중-충암고-동국대-한화-경찰,0,0.667,5,71.4,2,52,0.318,28,136,27,6,39,9,67,1989년 05월 02일,양성우,174cm/84kg,3,104,28000000,70000000,12한화,0.354,12 한화 4라운드 41순위,0.347,0.701,446,384,0.271,53,한화,외야수(우투좌타),4,8,6
20,4,113,성동초-잠신중-덕수정보고-LG-KIA,1,0,21,65.6,11,98,0.374,15,196,54,7,63,7,29,1985년 08월 26일,이용규,175cm/70kg,3,159,700000000,,04LG,0.434,04 LG 2차 2라운드 15순위,0.438,0.872,530,452,0.352,41,한화,외야수(좌투좌타),3,7,1
7,3,98,감천초-대동중-경남고-현대-우리-히어로즈-넥센-두산,0,0.25,3,50,3,38,0.22,62,63,9,3,16,0,44,1982년 05월 09일,장민석,180cm/73kg,3,47,100000000,100000000,01현대,0.307,01 현대 2차 1라운드 9순위,0.285,0.592,227,205,0.229,16,한화,외야수(좌투좌타),1,6,0
31,2,138,성북초(부산동래마린스리틀)-부산동성중-부산고-고려대-SK,2,0,22,78.6,6,121,0.388,8,267,54,14,60,9,58,1982년 10월 02일,정근우,172cm/80kg,16,178,700000000,140000000,05SK,0.464,05 SK 2차 1라운드 7순위,0.381,0.845,650,575,0.31,88,한화,내야수(우투우타),18,1,5
21,1,115,서울강남초-덕수중-신일고-한화-상무,1,0.833,5,41.7,7,58,0.291,16,166,25,3,18,9,115,1994년 02월 25일,하주석,184cm/84kg,19,113,32000000,300000000,12한화,0.41,12 한화 1라운드 1순위,0.323,0.733,441,405,0.279,57,한화,내야수(우투좌타),10,8,1
