2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
17,2,66,수창초-성광중-포철공고-삼성,5,47,1,42,3,77,1983년 11월 06일,권혁,3,0.75,6,192cm/100kg,45,450000000,0,0,95.33333333,1.42,150000000,02삼성,41,02 삼성 1차,0,418,1654,한화,2,3.87,투수(좌투좌타),2,93,0.263,13,5,10,5
2,0,5,사파초-마산중-용마고,0,64,0,8,0,7,1995년 07월 25일,김민우,0,0,0,189cm/105kg,18,38000000,0,0,9.666666667,3,200000000,15한화,17,15 한화 2차 1라운드 1순위,0,56,237,한화,3,15.83,투수(우투우타),1,21,0.447,0,2,1,0
2,0,5,온천초-온양중-북일고,0,69,0,6,0,5,1995년 10월 03일,김범수,0,1,1,182cm/81kg,6,32000000,0,0,5.666666667,2.12,200000000,15한화,6,15 한화 1차,0,30,117,한화,0,9.53,투수(좌투좌타),2,6,0.261,0,1,0,0
2,0,17,온양온천초-온양중-북일고-한화-상무,0,56,0,15,0,12,1991년 10월 23일,김용주,0,0,0,175cm/73kg,18,30000000,0,0,15.66666667,2.17,180000000,10한화,17,10 한화 1라운드 4순위,0,79,312,한화,2,9.77,투수(좌투좌타),1,19,0.311,0,2,1,2
8,0,6,도미니카 리체오 호세 호아킨고,0,42,3,12,0,24,1985년 08월 14일,로저스,0,0.4,2,192cm/90kg,22,1700000000,0,1,37.66666667,1.43,,15한화,18,15 한화 자유선발,3,160,601,한화,3,4.3,투수(우투우타),0,42,0.296,0,3,2,2
1,2,9,,0,48,0,34,0,23,1985년 07월 01일,마에스트리,0,0.5,2,183cm/80kg,37,20000000엔,0,0,28.66666667,2.48,,16한화,30,16 한화 자유선발,2,157,670,한화,2,9.42,투수(우투우타),6,37,0.316,0,4,3,2
14,1,77,청주중앙초-청주중-세광고-연세대,2,17,0,33,1,85,1976년 05월 27일,박정진,0,0.5,4,183cm/88kg,58,300000000,0,0,84,1.54,,99한화,52,99 한화 1차 ,0,374,1560,한화,4,5.57,투수(좌투좌타),9,96,0.292,6,11,7,3
9,0,17,미국 노스캐롤라이나 주립대,0,42,0,17,1,36,1987년 07월 16일,서캠프,1,0.286,2,198cm/100kg,32,450000000,0,0,41.33333333,1.72,,16한화,29,16 한화 자유선발,1,194,744,한화,5,6.31,투수(좌투좌타),2,54,0.32,0,5,2,1
5,0,11,재동초-중앙중-중앙고-고려대-현대-우리-히어로즈-넥센-LG-한화-NC-넥센,0,19,0,2,0,7,1977년 03월 01일,송신영,0,0,0,180cm/88kg,8,190000000,0,0,14.33333333,1.81,,99현대,8,99 현대 2차 11라운드 88순위,0,65,226,한화,1,5.02,투수(우투우타),0,24,0.4,0,1,0,2
21,1,30,서흥초-동산중-동산고-SK-KIA,1,46,0,49,0,85,1984년 03월 17일,송은범,0,0.154,2,182cm/93kg,95,450000000,0,0,122,1.7,400000000,03SK,87,03 SK 1차,4,562,2176,한화,11,6.42,투수(우투우타),11,159,0.321,1,13,5,7
