2루타,3루타,경기,경력 ,고의4구,대타타율,도루,도루성공률,도루실패,득점,득점권타울,등번호 ,루타,멀티히트,병살타,볼넷,사구,삼진,생년월일 ,선수명 ,신장/체중 ,실책,안타,연봉 ,입단 계약금 ,입단년도 ,장타율,지명순위 ,출루율,출루율+장타율,타석,타수,타율,타점,팀명,포지션 ,홈런,희생번트,희생플라이
13,3,104,사당초-중앙중-안산공고-원광대,0,0.5,7,70,3,36,0.313,13,100,16,2,15,0,46,1991년 09월 12일,강한울,181cm/66kg,11,81,60000000,140000000,14KIA,0.336,14 KIA 2차 1라운드 5순위,0.307,0.643,322,298,0.272,27,KIA,내야수(우투좌타),0,9,0
3,0,63,대성초-동성중-동성고-성균관대,0,0,3,60,2,18,0.167,36,18,3,1,7,3,15,1990년 01월 08일,고영우,183cm/92kg,4,15,39000000,60000000,13KIA,0.257,13 KIA 5라운드 44순위,0.313,0.57,81,70,0.214,4,KIA,내야수(우투우타),0,1,0
1,0,19,관산초-중앙중-부천고-한양대-현대-우리-히어로즈-넥센,0,0,1,100,0,3,0.25,9,9,1,1,5,0,12,1979년 03월 21일,김민우,184cm/92kg,0,8,120000000,340000000,02현대,0.22,98 현대 2차 4라운드 27순위,0.283,0.503,47,41,0.195,4,KIA,내야수(우투우타),0,1,0
2,1,6,화순초-화순중-화순고-KIA-상무,0,0,1,50,1,3,0,3,13,3,1,1,0,3,1989년 12월 18일,김선빈,165cm/70kg,1,9,80000000,30000000,08KIA,0.52,08 KIA 2차 6라운드 43순위,0.385,0.905,27,25,0.36,0,KIA,내야수(우투우타),0,1,0
5,0,37,장안초-배명중-배명고-단국대-두산,0,0.385,1,100,0,10,0.3,51,21,3,2,15,0,16,1978년 12월 18일,김원섭,180cm/78kg,1,16,150000000,100000000,01두산,0.288,97 OB 2차 7라운드 42순위,0.348,0.636,90,73,0.219,12,KIA,외야수(우투좌타),0,1,1
37,3,130,충암초(장충리틀)-충암중-충암고-삼성-롯데,1,1,9,56.3,7,97,0.421,16,289,54,13,30,7,68,1981년 03월 25일,김주찬,183cm/93kg,3,177,500000000,180000000,00삼성,0.566,00 삼성 2차 1라운드 5순위,0.386,0.952,555,511,0.346,101,KIA,외야수(우투우타),23,1,6
16,1,135,학강초-동성중-동성고-KIA-상무,0,0.313,1,33.3,2,43,0.244,33,172,20,9,34,6,55,1985년 12월 15일,김주형,186cm/109kg,11,97,55000000,300000000,04KIA,0.499,04 KIA 1차,0.355,0.854,387,345,0.281,49,KIA,내야수(우투우타),19,1,1
18,3,124,안산관산초-안산중앙중-군산상고-동국대,0,0.5,19,65.5,10,72,0.221,53,169,32,7,36,10,104,1992년 04월 30일,김호령,178cm/81kg,3,121,60000000,30000000,15KIA,0.373,15 KIA 2차 10라운드 102순위,0.333,0.706,514,453,0.267,41,KIA,외야수(우투우타),8,13,2
21,2,118,수유초-신일중-신일고-단국대,1,0.5,6,66.7,3,84,0.304,29,217,32,8,85,17,90,1985년 05월 19일,나지완,182cm/105kg,1,117,200000000,100000000,08KIA,0.571,08 KIA 2차 1라운드 5순위,0.451,1.022,486,380,0.308,90,KIA,외야수(우투우타),25,0,4
4,2,77,대전유천초-청주중-청주고-건국대-한화,0,0.5,12,85.7,2,43,0.413,98,84,16,0,20,1,46,1990년 08월 06일,노수광,180cm/78kg,1,64,30000000,,14한화,0.406,13 한화 육성선수,0.373,0.779,238,207,0.309,30,KIA,외야수(우투좌타),4,10,0
