2루타,3루타,경기,경력 ,고의4구,대타타율,도루,도루성공률,도루실패,득점,득점권타울,등번호 ,루타,멀티히트,병살타,볼넷,사구,삼진,생년월일 ,선수명 ,신장/체중 ,실책,안타,연봉 ,입단 계약금 ,입단년도 ,장타율,지명순위 ,출루율,출루율+장타율,타석,타수,타율,타점,팀명,포지션 ,홈런,희생번트,희생플라이
1,0,26,광주서석초-배재중-배재고,0,0.111,2,66.7,1,3,0,4,4,0,0,2,0,8,1995년 11월 21일,김민혁,181cm/71kg,0,3,47000000,60000000,14kt,0.138,14 kt 2차 6라운드 56순위,0.161,0.299,31,29,0.103,0,kt,외야수(우투좌타),0,0,0
1,0,20,석교초-세광중-세광고-한화,0,0,1,33.3,2,6,0.308,25,15,2,3,7,0,10,1988년 08월 09일,김사연,179cm/80kg,0,14,45000000,,08한화,0.268,07 한화 육성선수,0.333,0.601,63,56,0.25,4,kt,외야수(우투우타),0,0,0
5,0,62,군산초-군산남중-군산상고-(대불대)-해태-KIA-LG-상무-LG-KIA-SK,0,0,0,0,1,29,0.233,19,88,10,10,20,2,48,1980년 11월 12일,김상현,190cm/95kg,9,50,200000000,,01KIA,0.396,00 해태 2차 6라운드 42순위,0.293,0.689,246,222,0.225,32,kt,외야수(우투우타),11,0,2
0,0,32,율하초-경상중-대구고,0,0.25,3,75,1,7,0.25,66,11,1,3,10,1,14,1990년 11월 13일,김선민,174cm/75kg,1,11,32000000,,15kt,0.22,10 삼성 육성선수,0.361,0.581,63,50,0.22,2,kt,내야수(우투우타),0,2,0
10,0,103,군산초-군산남중-군산상고-성균관대-KIA-SK,1,0,2,100,0,13,0.289,14,49,6,5,7,0,46,1984년 12월 23일,김연훈,180cm/80kg,8,36,47000000,100000000,07KIA,0.295,07 KIA 2차 2라운드 16순위,0.244,0.539,181,166,0.217,18,kt,내야수(우투우타),1,5,3
3,0,16,서화초-대헌중-제물포고,0,0,1,100,0,2,0.083,52,12,2,3,3,0,18,1991년 03월 13일,남태혁,187cm/107kg,4,9,27000000,,09LA다저스,0.273,16 kt 2차 1라운드 1순위,0.25,0.523,48,44,0.205,2,kt,내야수(우투우타),0,0,1
7,0,48,중대초-잠신중-배명고-고려대,0,0,1,100,0,9,0.308,7,26,2,2,4,2,26,1991년 04월 06일,문상철,184cm/85kg,6,16,36000000,130000000,14kt,0.325,14 kt 2차 특별 11순위,0.253,0.578,87,80,0.2,7,kt,내야수(우투우타),1,0,1
22,1,121,미성초-성남중-성남고-(방송통신대)-LG,2,0,3,75,1,64,0.325,6,210,34,9,65,5,80,1984년 03월 31일,박경수,178cm/80kg,13,126,230000000,430000000,03LG,0.522,03 LG 1차,0.412,0.934,476,402,0.313,80,kt,내야수(우투우타),20,0,4
13,0,117,대구수창초-성광중-대구상고-롯데,0,0.125,0,0,2,36,0.247,16,103,20,8,27,1,53,1981년 06월 04일,박기혁,179cm/77kg,13,84,150000000,80000000,00롯데,0.334,00 롯데 2차 2라운드 15순위,0.331,0.665,348,308,0.273,34,kt,내야수(우투우타),2,10,2
4,1,31,영랑초-설악중-속초상고-영남대-LG-경찰-LG,0,0,0,0,1,5,0.15,9,26,3,1,11,0,14,1984년 01월 21일,박용근,172cm/76kg,1,17,40000000,120000000,07LG,0.351,07 LG 2차 1라운드 3순위,0.326,0.677,86,74,0.23,6,kt,내야수(우투우타),1,0,1
1,0,65,도신초-성남중-성남고-LG,0,0.5,2,66.7,1,10,0.167,65,14,2,0,4,0,18,1995년 11월 21일,배병옥,185cm/80kg,2,13,35000000,150000000,14LG,0.28,14 LG 2차 1라운드 3순위,0.315,0.595,55,50,0.26,3,kt,외야수(우투우타),0,1,0
9,1,122,송정동초-언북중-경기고,0,0.25,17,94.4,1,36,0.145,2,77,9,5,8,0,40,1995년 04월 28일,심우준,183cm/75kg,13,57,35000000,130000000,14kt,0.326,14 kt 2차 특별 14순위,0.264,0.59,251,236,0.242,17,kt,내야수(우투우타),3,5,2
11,2,96,삼성초-내동중-용마고-인하대-삼성-NC-경찰-NC,1,0.182,1,100,0,45,0.313,27,123,24,5,28,0,32,1986년 10월 13일,오정복,177cm/75kg,3,93,80000000,40000000,09삼성,0.402,09 삼성 2차 7라운드 53순위,0.358,0.76,344,306,0.304,36,kt,외야수(우투우타),5,6,4
12,1,95,미국 윌리캐넌초-잠실중-서울고-연세대-두산-경찰-두산,0,0.263,1,50,1,30,0.311,36,86,13,8,25,9,39,1989년 04월 13일,유민상,183cm/91kg,5,60,32000000,50000000,12두산,0.404,12 두산 7라운드 65순위,0.375,0.779,254,213,0.282,37,kt,내야수(우투좌타),4,3,4
22,0,110,부천신흥초-부천중-유신고-동국대-현대-우리-상무-넥센,1,0,4,80,1,70,0.319,61,201,43,10,47,2,40,1981년 07월 01일,유한준,186cm/97kg,1,137,600000000,60000000,04현대,0.493,00 현대 2차 3라운드 20순위,0.404,0.897,460,408,0.336,64,kt,외야수(우투우타),14,0,3
