2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
9,4,53,대성초-동성중-화순고-동국대,0,1,1,19,3,62,1991년 09월 16일,고영표,0,0.333,2,187cm/88kg,38,44000000,0,0,56.33333333,1.49,130000000,14kt,35,14 kt 2차 1라운드 10순위,0,260,1034,kt,4,5.59,투수(우언우타),0,65,0.285,5,6,2,1
6,1,25,감천초-대신중-경남상고-롯데,2,55,0,17,0,27,1980년 04월 17일,김사율,1,0,0,181cm/95kg,20,200000000,0,0,30.33333333,1.52,230000000,99롯데,18,99 롯데 2차 1라운드 1순위,0,143,571,kt,1,5.34,투수(우투우타),3,29,0.24,1,4,2,1
13,0,52,도곡초-휘문중-휘문고,0,62,0,15,3,73,1990년 09월 16일,김재윤,14,0.889,8,185cm/91kg,31,72000000,0,0,54.33333333,1.4,,09애리조나,30,15 kt 2차 특별 13순위,0,235,983,kt,1,4.97,투수(우투우타),3,61,0.284,1,6,3,1
11,0,14,미국 머서대,0,49,1,39,0,68,1984년 12월 26일,로위,0,0.333,3,180cm/86kg,46,170000000,0,0,60,1.88,50000000,16kt,42,16 kt 자유선발,4,295,1260,kt,6,6.3,투수(우투우타),8,74,0.3,0,6,4,0
13,2,12,,0,49,0,29,0,45,1988년 09월 30일,마리몬,0,0.6,6,188cm/88kg,38,400000000,0,0,62,1.44,200000000,16kt,36,16 kt 자유선발,5,275,1134,kt,4,5.23,투수(우투우타),8,60,0.255,0,3,3,2
4,0,7,본리초-경운중-경북고,0,47,0,13,0,8,1997년 06월 27일,박세진,0,0,0,178cm/93kg,13,27000000,0,0,21,1.76,230000000,16kt,12,16 kt 1차,0,94,375,kt,2,5.14,투수(좌투좌타),2,24,0.308,0,5,1,2
13,1,36,신곡초-수원북중-야탑고-경희대-LG-상무,0,18,0,18,2,29,1986년 05월 19일,배우열,1,0.5,1,181cm/80kg,21,36000000,0,0,40.33333333,1.61,,09LG,18,09 LG 육성선수,0,175,695,kt,1,4.02,투수(우투양타),5,47,0.309,4,2,4,1
27,4,28,미국 고다드고-미국 위치타대-SK,0,37,0,49,0,92,1986년 02월 14일,밴와트,0,0.316,6,191cm/100kg,103,400000000,0,0,134.6666667,1.64,50000000,14SK,89,14 SK 자유선발,8,614,2513,kt,13,5.95,투수(우투우타),6,172,0.31,0,21,5,2
12,2,59,장유초(김해엔젤스리틀)-개성중-개성고-(전남과학대),0,34,0,24,1,30,1994년 02월 18일,심재민,0,0.4,2,182cm/92kg,36,47000000,0,0,54.33333333,1.82,250000000,14kt,33,14 kt 우선지명,0,255,1000,kt,3,5.47,투수(좌투좌타),1,75,0.349,7,4,7,4
23,2,52,역삼초-언북중-덕수고,1,12,0,40,1,57,1996년 10월 04일,엄상백,1,0.167,1,187cm/72kg,61,60000000,0,0,73.33333333,1.81,230000000,15kt,55,15 kt 1차,0,345,1409,kt,5,6.75,투수(우언우타),5,93,0.314,8,8,4,1
6,3,47,축현초-신흥중-제물포고-단국대,0,57,0,15,0,38,1992년 12월 29일,이창재,1,0.75,3,178cm/71kg,24,44000000,0,0,40.33333333,1.56,120000000,15kt,23,15 kt 2차 1라운드 10순위,0,182,715,kt,1,5.13,투수(좌투좌타),3,48,0.293,2,6,0,1
24,2,40,태안초-태안중-북일고-현대-우리-히어로즈-상무-넥센,5,28,0,43,4,67,1987년 11월 01일,장시환,6,0.2,3,184cm/82kg,62,89000000,0,0,75.33333333,1.81,180000000,07현대,53,07 현대 2차 1라운드 2순위,1,365,1410,kt,12,6.33,투수(우투우타),11,93,0.307,3,7,5,5
23,4,22,서림초-청원중-성남고-두산,0,15,1,44,0,57,1991년 07월 19일,정대현,0,0.286,4,186cm/97kg,82,63000000,0,0,91.33333333,1.74,80000000,10두산,74,10 두산 3라운드 23순위,6,428,1673,kt,10,7.29,투수(좌투좌타),2,115,0.312,0,13,5,5
16,1,28,역삼초-휘문중-구리인창고,1,58,2,33,0,46,1996년 07월 10일,정성곤,0,0,0,176cm/74kg,52,39000000,0,0,66.33333333,1.58,100000000,15kt,43,15 kt 2차 2라운드 14순위,1,304,1170,kt,7,5.83,투수(좌투좌타),3,72,0.283,0,4,10,1
13,2,38,남도초-경상중-대구상원고-성균관대,0,67,0,27,0,31,1991년 09월 26일,조무근,0,1,2,198cm/116kg,37,85000000,0,0,38.66666667,2.22,50000000,15kt,37,15 kt 2차 6라운드 54순위,0,196,728,kt,0,8.61,투수(우투우타),6,59,0.371,4,5,5,2
36,3,28,우암초-청주중-청주고,0,60,1,44,0,63,1995년 05월 31일,주권,0,0.429,6,181cm/82kg,80,36000000,1,1,134,1.54,300000000,15kt,76,15 kt 우선지명,6,594,2212,kt,8,5.1,투수(우투우타),2,162,0.302,0,14,5,4
11,1,12,베네수엘라 라몬 바스티다스고,0,32,0,15,0,23,1983년 12월 26일,피노,0,0.4,2,188cm/86kg,36,300000000,0,0,39,1.97,200000000,16kt,31,16 kt 자유선발,1,191,753,kt,3,7.15,투수(우투우타),3,62,0.369,1,4,2,2
39,1,31,미국 미드뷰고-넥센,0,32,3,48,0,144,1985년 08월 22일,피어밴드,0,0.35,7,190cm/102kg,97,450000000,0,0,182,1.53,30000000,15넥센,90,15 넥센 자유선발,16,803,3109,kt,13,4.45,투수(좌투좌타),6,231,0.319,0,23,13,8
7,3,67,온양온천초-온양중-북일고-LG-경찰-LG-NC,0,51,0,19,1,33,1986년 11월 18일,홍성용,2,0.5,2,180cm/85kg,32,70000000,0,0,46.33333333,1.83,50000000,05LG,31,05 LG 2차 5라운드 35순위,0,221,870,kt,2,6.02,투수(좌투좌타),0,66,0.34,12,8,2,2
