2루타,3루타,경기,경력 ,고의4구,대타타율,도루,도루성공률,도루실패,득점,득점권타울,등번호 ,루타,멀티히트,병살타,볼넷,사구,삼진,생년월일 ,선수명 ,신장/체중 ,실책,안타,연봉 ,입단 계약금 ,입단년도 ,장타율,지명순위 ,출루율,출루율+장타율,타석,타수,타율,타점,팀명,포지션 ,홈런,희생번트,희생플라이
18,4,105,사당초-선린중-선린인터넷고-고려대-두산,0,0.25,19,73.1,7,62,0.29,8,127,32,6,35,0,64,1985년 08월 20일,김용의,187cm/74kg,0,98,60000000,50000000,08두산,0.412,08 두산 2차 4라운드 29순위,0.388,0.8,347,308,0.318,20,LG,외야수(우투좌타),1,4,0
3,2,52,서림초-동성중-동성고-LG-상무,0,0.333,5,100,0,28,0.226,49,60,9,1,10,0,29,1990년 05월 20일,문선재,184cm/80kg,0,32,65000000,50000000,09LG,0.541,09 LG 2차 7라운드 52순위,0.344,0.885,127,111,0.288,16,LG,외야수(우투우타),7,5,1
24,0,138,고명초-휘문중-휘문고-고려대,5,0.25,6,50,6,84,0.376,33,233,52,13,58,4,71,1979년 04월 21일,박용택,185cm/90kg,0,176,800000000,300000000,02LG,0.458,98 LG 2차우선,0.412,0.87,578,509,0.346,90,LG,외야수(우투좌타),11,0,7
2,0,10,고명초-덕수중-경기고-(영남사이버대)-LG-경찰,0,0.25,0,0,1,4,0.333,52,11,2,1,2,1,6,1988년 05월 09일,백창수,179cm/79kg,0,6,40000000,,10LG,0.611,09 LG 육성선수,0.429,1.04,21,18,0.333,3,LG,내야수(우투우타),1,0,0
5,0,56,구리초(구리리틀)-구리인창중-유신고-건국대-LG-상무,1,0.16,1,100,0,18,0.2,69,45,7,1,25,1,37,1989년 09월 17일,서상우,187cm/90kg,0,28,60000000,30000000,12LG,0.405,12 LG 9라운드 80순위,0.394,0.799,137,111,0.252,12,LG,내야수(우투좌타),4,0,0
20,3,122,광주서석초-진흥중-진흥고-삼성-경찰-삼성,0,0,5,55.6,4,47,0.241,6,146,30,6,33,6,35,1983년 12월 01일,손주인,179cm/82kg,7,114,120000000,80000000,02삼성,0.412,02 삼성 2차 3라운드 24순위,0.385,0.797,409,354,0.322,39,LG,내야수(우투우타),2,12,4
0,1,68,대전신흥초-충남중-대전고,0,0.25,1,50,1,13,0.375,15,14,0,0,6,0,9,1996년 02월 12일,안익훈,176cm/70kg,2,12,41000000,120000000,15LG,0.311,15 LG 2차 1라운드 7순위,0.353,0.664,52,45,0.267,4,LG,외야수(좌투좌타),0,1,0
10,1,80,백운초-신일중-신일고-동국대,0,0.286,3,100,0,24,0.301,53,86,12,1,6,1,48,1991년 07월 15일,양석환,185cm/90kg,5,56,70000000,90000000,14LG,0.424,14 LG 2차 3라운드 28순위,0.297,0.721,215,203,0.276,37,LG,내야수(우투우타),6,3,2
14,5,121,군산초-자양중-경기고,0,0.25,17,65.4,9,73,0.266,2,194,29,7,65,7,97,1990년 03월 12일,오지환,186cm/80kg,17,110,250000000,280000000,09LG,0.494,09 LG 1차,0.387,0.881,472,393,0.28,78,LG,내야수(우투좌타),20,2,5
0,0,34,화정초-충장중-광주제일고-인하대,0,0,1,100,0,3,0,13,4,1,1,0,0,6,1986년 06월 23일,윤진호,178cm/78kg,2,4,33000000,,09LG,0.19,09 LG 육성선수,0.19,0.38,23,21,0.19,0,LG,내야수(우투우타),0,2,0
12,2,103,율하초-경상중-경북고-한양대,1,0.059,8,61.5,5,43,0.214,7,116,18,4,47,10,81,1983년 10월 09일,이병규,178cm/90kg,3,79,156000000,,06LG,0.4,06 LG 육성선수,0.389,0.789,350,290,0.272,37,LG,외야수(좌투좌타),7,0,3
10,1,103,군산남초-성일중-성남서고-고려대-LG-경찰,0,0.3,6,40,9,38,0.307,32,111,22,3,34,3,49,1988년 10월 20일,이천웅,182cm/83kg,2,81,28000000,,12LG,0.402,11 LG 육성선수,0.376,0.778,320,276,0.293,41,LG,외야수(좌투좌타),6,6,1
4,2,61,화곡초-양천중-서울고,0,0.211,1,100,0,14,0.318,36,46,11,3,15,2,20,1989년 06월 07일,이형종,183cm/80kg,0,35,27000000,430000000,08LG,0.371,08 LG 1차,0.366,0.737,147,124,0.282,14,LG,외야수(우투우타),1,5,1
4,0,60,수유초-신일중-신일고-SK-롯데-SK,0,0,8,66.7,4,20,0.25,24,54,13,6,12,2,26,1985년 07월 17일,임훈,186cm/86kg,0,47,130000000,65000000,04SK,0.3,04 SK 2차 5라운드 35순위,0.314,0.614,198,180,0.261,14,LG,외야수(좌투좌타),1,4,0
5,0,77,석천초-동인천중-동산고-SK-상무-SK,0,0,0,0,1,12,0.136,42,32,4,2,17,4,39,1982년 12월 24일,정상호,187cm/100kg,3,24,500000000,450000000,01SK,0.242,01 SK 1차,0.29,0.532,159,132,0.182,10,LG,포수(우투우타),1,4,2
22,1,126,송정초-무등중-광주제일고-해태-KIA-현대-우리,1,0.25,8,66.7,4,58,0.321,16,161,31,9,33,5,59,1980년 06월 27일,정성훈,182cm/83kg,4,119,500000000,150000000,99해태,0.435,99 해태 1차,0.38,0.815,418,370,0.322,64,LG,내야수(우투우타),6,5,5
12,1,99,대현초-경상중-대구고-LG-상무,0,0.5,5,50,5,30,0.16,10,67,11,1,28,0,66,1990년 10월 13일,정주현,176cm/76kg,7,50,50000000,60000000,09LG,0.298,09 LG 2차 5라운드 36순위,0.306,0.604,257,225,0.222,22,LG,내야수(우투우타),1,2,2
