2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
10,1,51,이문초(노원리틀)-청량중-중앙고-영동대,3,48,0,18,1,56,1988년 02월 20일,김지용,0,0.429,3,177cm/81kg,25,40000000,0,0,63,1.11,,10LG,25,10 LG 9라운드 65순위,0,258,1049,LG,4,3.57,투수(우투우타),4,52,0.225,17,9,2,2
25,0,29,용답초(동부리틀)-청량중-덕수정보고,0,11,0,70,0,138,1983년 05월 30일,류제국,0,0.542,13,190cm/105kg,83,180000000,1,1,161.3333333,1.38,550000000,01시카고컵스,77,07 해외진출선수 특별지명,14,701,2743,LG,11,4.3,투수(우투우타),13,152,0.255,0,14,5,8
9,0,19,수유초-신일중-신일고,0,51,0,22,2,20,1980년 07월 15일,봉중근,0,1,1,190cm/98kg,23,300000000,0,0,36.33333333,1.73,1000000000,97애틀란타,20,07 LG 1차,0,175,665,LG,0,4.95,투수(좌투좌타),0,41,0.281,2,4,2,3
47,8,33,도미니카 어거스토베라고-KIA-넥센,2,50,0,38,0,107,1985년 07월 28일,소사,0,0.526,10,185cm/95kg,121,500000000,0,0,199,1.49,50000000,12KIA,114,12 KIA 자유선발,17,870,3166,LG,9,5.16,투수(우투우타),6,258,0.319,0,12,11,4
9,1,49,금평초-전주동중-전주고-(전남과학대)-SK-KIA,3,37,0,24,2,31,1983년 08월 13일,신승현,1,0.75,3,193cm/102kg,26,60000000,0,0,45.33333333,1.43,,00SK,25,00 쌍방울 2차 11라운드 81순위,0,199,746,LG,1,4.96,투수(우언우타),3,41,0.252,9,3,4,4
30,0,28,성동초-휘문중-휘문고-LG-경찰,1,1,0,36,0,81,1985년 01월 21일,우규민,0,0.353,6,184cm/83kg,89,400000000,1,1,132,1.53,120000000,03LG,72,03 LG 2차 3라운드 19순위,11,599,2092,LG,11,4.91,투수(우언좌타),1,166,0.309,1,16,3,4
3,1,19,둔촌초-잠신중-북일고-(목원대)-한화,1,17,0,13,0,15,1986년 06월 17일,유원상,0,0.667,2,187cm/93kg,18,75000000,0,0,24,1.83,550000000,06한화,17,06 한화 1차 ,0,115,454,LG,1,6.38,투수(우투우타),2,31,0.326,1,3,2,3
1,2,7,갈산초-양천중-충암고,0,60,1,7,0,3,1997년 03월 03일,유재유,0,0,0,183cm/87kg,10,27000000,0,0,6.666666667,2.55,150000000,16LG,10,16 LG 2차 1라운드 7순위,0,36,139,LG,1,13.5,투수(우투우타),1,10,0.357,0,2,0,1
5,1,59,대연초-부산중-부산공고-동의대-넥센-LG-경찰,2,34,0,18,1,37,1988년 03월 11일,윤지웅,0,0.667,4,180cm/75kg,33,125000000,0,0,44,1.5,200000000,11넥센,32,11 넥센 1라운드 3순위,0,196,778,LG,2,6.55,투수(좌투좌타),1,48,0.284,11,4,2,3
13,0,46,영일초-영남중-경기고,3,18,0,14,2,38,1983년 01월 12일,이동현,2,0.571,4,192cm/98kg,26,600000000,0,0,43.33333333,1.57,320000000,01LG,26,01 LG 1차,0,195,757,LG,3,5.4,투수(우투우타),3,54,0.318,5,5,5,3
