2루타,3루타,경기,경력 ,고의4구,대타타율,도루,도루성공률,도루실패,득점,득점권타울,등번호 ,루타,멀티히트,병살타,볼넷,사구,삼진,생년월일 ,선수명 ,신장/체중 ,실책,안타,연봉 ,입단 계약금 ,입단년도 ,장타율,지명순위 ,출루율,출루율+장타율,타석,타수,타율,타점,팀명,포지션 ,홈런,희생번트,희생플라이
26,0,116,제주신광초-포철중-포철공고-(국제디지털대),4,0.333,4,100,0,65,0.33,47,209,40,7,66,10,91,1985년 08월 18일,강민호,185cm/100kg,4,123,1000000000,90000000,04롯데,0.549,04 롯데 2차 3라운드 17순위,0.433,0.982,460,381,0.323,72,롯데,포수(우투우타),20,0,3
6,0,78,내발산초-양천중-장충고-동국대-두산-상무-두산,0,0,5,83.3,1,9,0.273,67,33,4,1,6,0,19,1988년 06월 24일,김동한,175cm/73kg,2,27,32000000,40000000,11두산,0.308,11 두산 8라운드 59순위,0.292,0.6,116,107,0.252,14,롯데,내야수(우투우타),0,3,0
28,3,140,고명초-덕수중-덕수정보고-(영남사이버대)-롯데-상무,1,0.429,12,44.4,15,77,0.305,24,226,49,15,62,6,70,1987년 06월 22일,김문호,184cm/90kg,5,171,70000000,120000000,06롯데,0.43,06 롯데 2차 3라운드 17순위,0.401,0.831,599,526,0.325,70,롯데,외야수(좌투좌타),7,3,2
1,0,46,승학초-부산대신중-경남고-중앙대-롯데-상무,0,0.333,4,100,0,8,0,12,13,0,2,1,1,19,1989년 02월 25일,김민하,181cm/88kg,1,9,40000000,,11롯데,0.289,11 롯데 육성선수,0.234,0.523,49,45,0.2,1,롯데,외야수(우투우타),1,2,0
20,0,114,청구초-홍은중-장충고-고려대-롯데-상무,2,0.429,3,75,1,39,0.273,66,147,27,10,38,4,84,1989년 05월 10일,김상호,182cm/85kg,6,106,28000000,30000000,12롯데,0.402,12 롯데 7라운드 64순위,0.358,0.76,415,366,0.29,56,롯데,내야수(우투우타),7,2,5
0,0,21,장산초-경남중-부경고-동의대,0,0,2,40,3,8,0.167,9,4,1,1,1,1,7,1992년 08월 07일,김재유,181cm/77kg,0,4,29000000,,15롯데,0.148,15 롯데 육성선수,0.207,0.355,30,27,0.148,1,롯데,외야수(우투좌타),0,1,0
4,0,21,신원초-양천중-덕수정보고-KIA,0,0.2,1,100,0,4,0.1,53,10,2,0,3,0,12,1988년 04월 16일,김주현,178cm/92kg,0,6,33000000,,10롯데,0.345,07 KIA 2차 6라운드 47순위,0.281,0.626,33,29,0.207,1,롯데,외야수(우투우타),0,1,0
2,0,35,둔촌초-잠신중-덕수고,0,0,3,50,3,13,0.067,92,15,3,0,8,0,18,1991년 12월 12일,나경민,178cm/80kg,1,13,27000000,,09시카고컵스,0.268,16 롯데 2차 3라운드 24순위,0.323,0.591,66,56,0.232,3,롯데,외야수(좌투좌타),0,1,1
3,1,23,미국 매릴랜드대,0,0,2,50,2,14,0.375,23,40,6,0,15,3,25,1983년 11월 06일,맥스웰,192cm/102kg,1,23,280000000,,16롯데,0.5,16 롯데 자유선발,0.414,0.914,99,80,0.288,16,롯데,외야수(우투우타),4,0,1
10,0,120,군산초-군산남중-군산상고-롯데-상무,0,0.25,2,40,3,38,0.244,6,108,20,10,29,1,39,1983년 07월 05일,문규현,184cm/85kg,7,86,90000000,30000000,02롯데,0.342,02 롯데 2차 10라운드 78순위,0.333,0.675,368,316,0.272,40,롯데,내야수(우투우타),4,19,2
5,1,73,구영초-제일중-포철공고-롯데-상무,1,0.211,3,60,2,24,0.245,36,65,12,4,10,2,25,1982년 04월 11일,박종윤,188cm/90kg,3,55,160000000,50000000,01롯데,0.333,01 롯데 2차 4라운드 33순위,0.322,0.655,211,195,0.282,17,롯데,내야수(좌투좌타),1,3,1
7,0,37,사파초-창원신월중-용마고-경성대-히어로즈-상무-넥센,0,0.235,1,100,0,9,0.261,27,34,4,1,10,3,25,1987년 01월 01일,박헌도,180cm/95kg,0,18,80000000,50000000,09히어로즈,0.493,09 히어로즈 2차 4라운드 30순위,0.378,0.871,82,69,0.261,11,롯데,외야수(우투우타),3,0,0
33,1,144,양정초-개성중-부산고,1,0,42,91.3,4,118,0.331,31,269,54,4,92,3,104,1988년 03월 18일,손아섭,174cm/84kg,3,186,600000000,80000000,07롯데,0.468,07 롯데 2차 4라운드 29순위,0.418,0.886,672,575,0.323,81,롯데,외야수(우투좌타),16,0,2
4,0,25,감천초-경남중-경남고-동아대-롯데-경찰,0,0,0,0,1,13,0.308,56,32,6,3,13,8,12,1989년 03월 21일,신본기,178cm/82kg,2,25,55000000,120000000,12롯데,0.395,12 롯데 2라운드 14순위,0.451,0.846,104,81,0.309,10,롯데,내야수(우투우타),1,2,0
18,3,64,미국 에버그린파크고,1,0.286,15,88.2,2,46,0.257,23,117,19,5,18,1,59,1985년 05월 15일,아두치,188cm/95kg,2,72,780000000,50000000,15롯데,0.474,15 롯데 자유선발,0.336,0.81,272,247,0.291,41,롯데,외야수(좌투좌타),7,1,5
6,0,42,쌍문초-신월중-청원고-롯데-경찰,0,0.333,6,75,2,17,0.167,3,47,8,5,12,0,37,1991년 11월 18일,오승택,186cm/88kg,2,32,70000000,90000000,10롯데,0.382,10 롯데 3라운드 22순위,0.326,0.708,135,123,0.26,7,롯데,내야수(우투우타),3,0,0
0,0,19,언북초-성남중-성남고-고려대-SK-두산-경찰-두산,0,0.4,2,100,0,4,0.333,5,3,0,0,2,0,5,1985년 09월 12일,오현근,183cm/85kg,1,3,30000000,40000000,08SK,0.2,08 SK 2차 6라운드 45순위,0.294,0.494,17,15,0.2,2,롯데,외야수(좌투좌타),0,0,0
3,1,61,감천초-대동중-부산공고-동국대-삼성-한화,0,0,2,50,2,10,0.308,7,23,4,0,7,0,25,1984년 02월 01일,이여상,183cm/85kg,5,18,36000000,,07삼성,0.319,06 삼성 육성선수,0.313,0.632,83,72,0.25,7,롯데,내야수(우투우타),0,3,1
5,0,52,수영초-부산중-부산상고-롯데-상무,0,0.2,2,50,2,19,0.103,17,24,3,3,7,4,16,1982년 05월 04일,이우민,182cm/90kg,0,16,70000000,100000000,01롯데,0.289,01 롯데 2차 2라운드 17순위,0.287,0.576,98,83,0.193,8,롯데,외야수(우투좌타),1,4,0
7,0,25,흥무초-경주중-경주고-건국대-롯데-경찰,0,0,3,50,3,16,0.259,8,38,7,4,7,6,25,1986년 02월 25일,전준우,184cm/91kg,0,25,205000000,100000000,08롯데,0.384,08 롯데 2차 2라운드 15순위,0.339,0.723,113,99,0.253,10,롯데,외야수(우투우타),2,1,0
18,2,121,양덕초-마산동중-용마고,0,0.333,7,50,7,48,0.356,33,125,24,12,43,16,75,1987년 07월 18일,정훈,180cm/85kg,11,97,210000000,,10롯데,0.338,06 현대 육성선수,0.362,0.7,439,370,0.262,46,롯데,내야수(우투우타),2,8,2
26,5,127,사당초-이수중-경기고-현대-우리-히어로즈-넥센,5,0.25,25,71.4,10,97,0.411,10,284,46,10,49,4,66,1987년 07월 28일,황재균,183cm/96kg,15,167,500000000,60000000,06현대,0.57,06 현대 2차 3라운드 24순위,0.394,0.964,559,498,0.335,113,롯데,내야수(우투우타),27,0,8
0,0,11,석천초-대헌중-공주고,0,0,0,0,1,2,0,15,0,0,0,0,0,5,1989년 02월 15일,황진수,180cm/81kg,0,0,28000000,40000000,08롯데,0,07 롯데 2차 6라운드 45순위,0,0,10,10,0,0,롯데,내야수(우투양타),0,0,0
