2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
2,0,24,칠성초-경복중-대구상원고-해태-삼성,0,14,0,9,1,11,1981년 06월 17일,강영식,0,0,0,189cm/100kg,8,300000000,0,0,11.66666667,1.89,30000000,00해태,7,00 해태 2차 2라운드 10순위,0,55,228,롯데,2,5.4,투수(좌투좌타),0,13,0.283,5,2,0,0
1,0,3,학강초-동성중-동성고,0,34,0,8,0,5,1993년 06월 14일,김원중,0,0,0,191cm/97kg,8,36000000,0,0,7.666666667,1.96,150000000,12롯데,8,12 롯데 1라운드 5순위,0,37,178,롯데,1,9.39,투수(우투좌타),1,7,0.25,0,2,0,1
9,1,46,양정초-개성중-경남고,1,55,0,30,1,31,1994년 05월 02일,김유영,1,0,0,180cm/80kg,32,28000000,0,0,34.33333333,1.95,200000000,14롯데,25,14 롯데 1차,0,171,691,롯데,1,6.55,투수(좌투좌타),8,37,0.272,3,3,3,2
25,5,22,화곡초-성남중-성남고-(대불대)-두산,0,38,0,48,1,52,1984년 03월 11일,노경은,0,0.2,3,186cm/85kg,79,200000000,0,0,94.66666667,1.86,350000000,03두산,72,03 두산 1차 ,6,454,1792,롯데,12,6.85,투수(우투우타),10,128,0.325,0,13,6,1
36,4,31,미국 유밸디고-미국 텍사스A&M대,1,46,2,51,0,147,1988년 06월 29일,레일리,0,0.444,8,190cm/84kg,105,630000000,1,1,184.6666667,1.4,50000000,15롯데,89,15 롯데 자유선발,16,808,3052,롯데,10,4.34,투수(좌투좌타),5,207,0.286,0,21,8,7
36,6,30,미국 해리슨고-미국 퍼듀대,0,43,0,77,0,148,1987년 06월 15일,린드블럼,0,0.435,10,195cm/105kg,109,1200000000,0,1,177.3333333,1.55,50000000,15롯데,104,15 롯데 자유선발,13,791,3106,롯데,13,5.28,투수(우투우타),7,197,0.283,0,28,6,4
31,3,27,대구경운초-경운중-경북고-kt,0,32,0,62,0,133,1995년 11월 30일,박세웅,0,0.368,7,183cm/79kg,97,56000000,0,0,139,1.6,200000000,14kt,89,14 kt 1차,10,627,2549,롯데,12,5.76,투수(우투우타),9,160,0.294,0,17,8,7
17,1,42,축현초-인천신흥중-제물포고-(영남사이버대),3,62,0,29,0,57,1989년 03월 10일,박시영,0,0.4,2,181cm/88kg,38,27000000,0,0,61.66666667,1.51,,10롯데,37,08 롯데 2차 4라운드 31순위,0,277,1078,롯데,3,5.4,투수(우투우타),8,64,0.264,1,6,1,3
28,2,39,영랑초-경포중-강릉고,0,40,1,54,1,78,1994년 06월 10일,박진형,0,0.75,6,181cm/80kg,65,28000000,0,0,93,1.67,100000000,15롯데,60,13 롯데 2라운드 13순위,3,438,1829,롯데,2,5.81,투수(우투우타),6,101,0.278,3,9,5,3
6,1,48,내당초-경상중-대구고-영남대-현대-경찰-넥센,4,1,1,24,6,48,1982년 03월 04일,손승락,20,0.7,7,187cm/99kg,25,700000000,0,0,50.66666667,1.68,350000000,05현대,24,01 현대 2차 3라운드 25순위,0,232,894,롯데,3,4.26,투수(우투우타),5,61,0.314,0,5,8,3
9,1,10,하단초-경남중-경남고-(미국 퍼시픽대),0,21,0,21,0,35,1980년 06월 29일,송승준,0,0.333,1,184cm/105kg,43,400000000,0,0,41.33333333,2.01,200000000,99보스턴,40,07 해외진출선수 특별지명,1,201,822,롯데,2,8.71,투수(우투우타),4,62,0.354,0,6,1,2
17,3,62,본리초-대구중-대구고-SK-상무-SK,2,51,1,22,8,50,1983년 09월 23일,윤길현,2,0.5,7,183cm/85kg,42,500000000,0,0,60,1.62,280000000,02SK,40,02 SK 2차 2라운드 2순위,0,275,1111,롯데,7,6,투수(우투우타),3,75,0.304,16,8,2,2
10,1,45,연동초-개성중-부산공고,4,35,0,18,0,25,1982년 06월 03일,이명우,0,0.4,2,185cm/98kg,37,150000000,0,0,33,1.79,100000000,02롯데,34,02 롯데 2차 2라운드 14순위,0,157,608,롯데,3,9.27,투수(좌투좌타),1,41,0.306,6,5,3,1
6,3,36,남도초-대구중-경북고-영남대-NC-kt,5,26,0,42,0,47,1990년 03월 30일,이성민,0,0.545,6,185cm/92kg,59,95000000,0,0,68.66666667,1.91,300000000,13NC,54,13 NC 우선지명,1,327,1173,롯데,5,7.08,투수(우투우타),1,89,0.325,1,11,3,4
13,1,67,동삼초-경남중-경남고-동아대-롯데-상무,1,45,0,21,0,60,1979년 03월 02일,이정민,2,0.714,5,182cm/90kg,29,65000000,0,0,77,1.35,180000000,02롯데,27,02 롯데 1차 ,0,326,1239,롯데,2,3.16,투수(우투우타),5,83,0.283,9,6,5,2
4,0,24,군산중앙초-군산중-군산상고-경희대-SK,2,28,0,13,0,7,1978년 11월 10일,정대현,0,1,1,185cm/101kg,10,320000000,0,0,17.33333333,2.13,350000000,01SK,10,97 쌍방울 2차우선,0,85,337,롯데,0,5.19,투수(우언우타),0,24,0.348,8,3,1,2
13,0,52,노암초-경포중-강릉고-한양대-KIA,3,19,0,16,0,30,1989년 07월 15일,홍성민,2,0.5,1,191cm/82kg,24,120000000,0,0,42.33333333,1.44,50000000,12KIA,21,12 KIA 6라운드 56순위,0,185,739,롯데,1,4.46,투수(우언양타),3,45,0.28,5,5,1,6
