2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
1,0,3,강남초-선린중-선린인터넷고-동국대,0,99,0,3,0,1,1990년 02월 16일,강장산,0,0,0,194cm/104kg,3,30000000,0,0,2.333333333,2.57,,15NC,3,14 NC 육성선수,0,12,43,NC,1,11.57,투수(우투우타),0,3,0.375,0,2,1,0
11,0,39,천안남산초-덕수중-울산공고,0,59,2,37,0,67,1997년 02월 17일,구창모,0,0.8,4,183cm/76kg,32,27000000,0,0,68.66666667,1.43,150000000,15NC,32,15 NC 2차 1라운드 3순위,1,296,1305,NC,1,4.19,투수(좌투좌타),9,61,0.239,1,9,2,0
3,0,17,순천북초-이수중-효천고-SK-LG,0,61,0,8,0,6,1986년 04월 20일,김선규,0,1,1,185cm/94kg,6,60000000,0,0,15.33333333,1.83,60000000,05SK,5,05 SK 2차 4라운드 31순위,0,70,268,NC,0,2.93,투수(우언우타),1,20,0.328,0,1,0,0
11,3,69,인헌초-성남중-성남서고-SK,0,55,1,16,5,100,1985년 03월 07일,김진성,1,0.429,6,186cm/92kg,44,150000000,0,0,84.33333333,1.13,,05SK,42,04 SK 2차 6라운드 42순위,0,347,1419,NC,8,4.48,투수(우투우타),8,79,0.244,14,15,4,1
9,0,25,도신초-영남중-중앙고-(방송통신대)-우리-히어로즈,0,57,0,15,0,18,1989년 09월 12일,민성기,0,1,2,181cm/73kg,20,33000000,0,0,28.33333333,1.69,70000000,08우리,19,08 현대 2차 3라운드 22순위,0,131,521,NC,0,6.04,투수(좌투좌타),0,33,0.3,1,2,1,1
7,2,32,서울도곡초(남양주리틀)-잠신중-경기고,0,28,0,18,1,33,1997년 08월 05일,박준영,0,0.25,1,181cm/75kg,31,27000000,0,0,33.66666667,1.63,200000000,16NC,26,16 NC 1차,0,158,615,NC,3,6.95,투수(우투우타),2,37,0.274,5,4,2,0
4,0,11,가동초-잠신중-서울고,0,41,0,9,0,15,1995년 02월 24일,배재환,0,0.5,1,186cm/95kg,11,27000000,0,0,22,1.18,150000000,14NC,10,14 NC 2차 1라운드 1순위,0,90,363,NC,1,4.09,투수(우투우타),2,17,0.215,0,1,0,2
20,0,27,미국 텍사스테크대,1,31,0,55,0,118,1986년 09월 28일,스튜어트,0,0.6,12,188cm/93kg,79,500000000,0,0,150,1.43,25000000,15NC,76,15 NC 자유선발,12,653,2489,NC,8,4.56,투수(우투우타),4,160,0.277,0,11,7,5
8,0,54,군산중앙초-군산중-군산상고-LG-경찰,0,46,0,18,2,75,1987년 07월 31일,원종현,3,0.5,3,182cm/83kg,26,80000000,0,0,70.66666667,0.98,110000000,06LG,25,06 LG 2차 2라운드 11순위,0,283,1059,NC,3,3.18,투수(우언우타),4,51,0.197,17,4,1,2
29,3,45,수영초-부산중-부산고,0,29,0,55,0,102,1993년 08월 11일,이민호,2,0.5,9,185cm/90kg,90,135000000,0,0,130.6666667,1.64,300000000,12NC,80,12 NC 우선지명,3,603,2311,NC,9,5.51,투수(우투우타),10,159,0.299,3,18,6,5
