2루타,3루타,경기,경력 ,고의4구,대타타율,도루,도루성공률,도루실패,득점,득점권타울,등번호 ,루타,멀티히트,병살타,볼넷,사구,삼진,생년월일 ,선수명 ,신장/체중 ,실책,안타,연봉 ,입단 계약금 ,입단년도 ,장타율,지명순위 ,출루율,출루율+장타율,타석,타수,타율,타점,팀명,포지션 ,홈런,희생번트,희생플라이
2,0,40,진북초-상인천중-인천고-LG,0,0,1,25,3,10,0.15,66,18,2,1,11,1,24,1990년 10월 23일,강지광,181cm/100kg,1,13,27000000,100000000,09LG,0.273,09 LG 2차 3라운드 20순위,0.316,0.589,80,66,0.197,7,넥센,외야수(우투우타),1,1,1
22,9,133,역삼초-대치중-경기고-한양대-넥센-상무,1,0.545,28,66.7,14,92,0.409,53,240,52,10,28,5,103,1989년 01월 11일,고종욱,184cm/83kg,1,176,77000000,80000000,11넥센,0.455,11 넥센 3라운드 19순위,0.37,0.825,566,527,0.334,72,넥센,외야수(우투좌타),8,1,5
39,5,141,고명초-잠신중-덕수정보고-(영남사이버대)-롯데,3,0,6,66.7,3,76,0.298,3,256,47,15,53,3,89,1988년 12월 17일,김민성,181cm/94kg,7,156,220000000,100000000,07롯데,0.502,07 롯데 2차 2라운드 13순위,0.367,0.869,579,510,0.306,90,넥센,내야수(우투우타),17,1,12
0,0,20,군산남초-온양중-북일고,0,0,0,0,1,4,0,39,1,0,0,1,0,5,1994년 02월 12일,김민준,174cm/73kg,0,1,27000000,100000000,13넥센,0.083,13 넥센 3라운드 22순위,0.154,0.237,13,12,0.083,0,넥센,외야수(우투우타),0,0,0
5,0,81,서일초(서초리틀)-서울경원중-중앙고-동국대-히어로즈-넥센-경찰,0,0.2,2,50,2,16,0.16,5,40,4,3,10,0,16,1986년 08월 23일,김지수,180cm/81kg,0,26,55000000,40000000,09히어로즈,0.44,09 히어로즈 2차 5라운드 35순위,0.353,0.793,106,91,0.286,9,넥센,내야수(우투우타),3,4,1
29,7,144,부천북초-부천중-야탑고,2,0,28,65.1,15,92,0.315,7,251,36,7,60,6,80,1995년 10월 17일,김하성,175cm/76kg,21,148,160000000,100000000,14넥센,0.477,14 넥센 2차 3라운드 29순위,0.358,0.835,599,526,0.281,84,넥센,내야수(우투우타),20,2,5
33,1,129,미국 다이아몬드 바고-미국 캘리포니아 주립 플러튼대,4,0.111,1,100,0,65,0.297,6,206,34,8,70,5,72,1984년 07월 20일,대니돈,188cm/90kg,4,123,600000000,130000000,16넥센,0.494,16 넥센 자유선발,0.399,0.893,497,417,0.295,70,넥센,외야수(좌투좌타),16,1,4
25,1,127,양정초-개성중-개성고-히어로즈-넥센-상무,0,0,3,75,1,44,0.25,27,171,26,18,27,7,93,1990년 04월 07일,박동원,179cm/92kg,7,102,140000000,60000000,09히어로즈,0.416,09 히어로즈 2차 3라운드 19순위,0.304,0.72,454,411,0.248,70,넥센,포수(우투우타),14,6,3
5,3,98,금평초-전라중-전주고-성균관대-넥센-상무,0,0.25,16,64,9,45,0.365,9,92,19,5,30,3,52,1989년 04월 15일,박정음,175cm/77kg,3,69,27000000,60000000,12넥센,0.413,12 넥센 4라운드 40순위,0.395,0.808,263,223,0.309,26,넥센,외야수(좌투좌타),4,5,2
30,7,140,송정동초-충장중-광주제일고-LG,2,0,26,66.7,13,111,0.305,14,247,61,6,69,10,58,1989년 08월 22일,서건창,176cm/84kg,15,182,260000000,,08LG,0.441,08 LG 육성선수,0.406,0.847,646,560,0.325,63,넥센,내야수(우투좌타),7,3,4
0,0,93,사직초(부산동래마린스리틀)-사직중-북일고-현대-우리-히어로즈-경찰,0,0,16,69.6,7,20,0.35,33,16,1,0,10,0,12,1987년 11월 21일,유재신,179cm/70kg,2,16,60000000,30000000,06현대,0.258,06 현대 2차 7라운드 56순위,0.361,0.619,74,62,0.258,6,넥센,외야수(우투우타),0,2,0
15,0,92,구리초(구리리틀)-구리인창중-구리인창고-두산,3,0,2,40,3,72,0.289,13,186,34,16,46,9,50,1985년 09월 04일,윤석민,180cm/88kg,6,114,160000000,90000000,04두산,0.545,04 두산 2차 3라운드 20순위,0.42,0.965,402,341,0.334,80,넥센,내야수(우투우타),19,0,6
19,1,127,배정초-대천중-경남상고-고려대-현대-우리-히어로즈-LG,1,0.25,7,63.6,4,64,0.345,29,168,32,11,53,3,56,1980년 07월 10일,이택근,183cm/89kg,1,123,500000000,250000000,03현대,0.422,99 현대 2차 3라운드 24순위,0.389,0.811,460,398,0.309,65,넥센,외야수(우투우타),8,0,6
11,1,104,신곡초-배명중-덕수고,0,0,17,73.9,6,43,0.197,46,95,13,2,25,1,82,1995년 09월 30일,임병욱,185cm/84kg,3,58,40000000,200000000,14넥센,0.408,14 넥센 1차,0.324,0.732,265,233,0.249,24,넥센,내야수(우투좌타),8,6,0
2,0,23,신도초-성남중-부천고-(방송통신대)-히어로즈-넥센-경찰,0,0,0,0,1,6,0.182,35,7,1,1,7,0,10,1990년 05월 14일,장영석,186cm/95kg,3,5,33000000,130000000,09히어로즈,0.269,09 히어로즈 2차 1라운드 3순위,0.364,0.633,33,26,0.192,3,넥센,내야수(우투우타),0,0,0
14,3,124,대신초-대동중-부산상고-삼성,1,0.409,0,0,1,29,0.35,17,147,23,13,36,2,92,1982년 10월 11일,채태인,187cm/94kg,3,106,300000000,100000000,03보스턴,0.397,07 해외진출선수 특별지명,0.345,0.742,417,370,0.286,72,넥센,내야수(좌투좌타),7,0,9
0,1,44,서원초-천안북중-북일고,0,0.217,1,100,0,4,0.235,25,16,0,2,1,5,18,1992년 08월 02일,홍성갑,181cm/80kg,0,14,32000000,,14넥센,0.258,11 넥센 6라운드 46순위,0.294,0.552,68,62,0.226,7,넥센,외야수(우투우타),0,0,0
