2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
4,1,14,부천북초-부천중-동산고-(한국디지털대)-두산,0,58,0,9,0,16,1986년 11월 07일,금민철,0,0.5,1,181cm/87kg,16,79000000,0,0,26.33333333,1.71,45000000,05두산,15,05 두산 2차 4라운드 26순위,0,125,477,넥센,1,5.13,투수(좌투좌타),2,36,0.33,0,2,3,3
14,4,67,신자초(자이언츠리틀)-자양중-신일고-(방송통신대)-삼성-넥센-상무,2,24,0,34,6,76,1988년 01월 02일,김상수,0,0.545,6,180cm/88kg,40,60000000,0,0,74,1.5,130000000,06삼성,38,06 삼성 2차 2라운드 15순위,0,331,1276,넥센,5,4.62,투수(우투우타),2,77,0.267,21,6,3,5
7,2,62,도신초-우신중-덕수정보고-현대-우리-히어로즈,0,50,0,7,8,50,1987년 08월 07일,김세현,36,1,2,188cm/98kg,19,160000000,0,0,62.33333333,1.17,100000000,06현대,18,06 현대 2차 2라운드 16순위,0,254,894,넥센,0,2.6,투수(우투우타),4,66,0.274,0,2,3,3
7,2,34,수창초-무등중-진흥고-넥센-상무,0,55,0,29,0,28,1991년 10월 02일,김정훈,0,0.167,1,185cm/85kg,44,34000000,0,0,63.33333333,1.58,180000000,10넥센,37,10 넥센 1라운드 2순위,1,288,1109,넥센,5,5.26,투수(우투우타),5,71,0.291,0,9,6,3
5,0,32,창영초-재능중-동산고,0,43,0,11,1,35,1996년 10월 10일,김택형,0,0.5,2,183cm/83kg,26,44000000,0,0,28.33333333,1.84,100000000,15넥센,24,15 넥센 2차 2라운드 18순위,0,135,538,넥센,2,7.62,투수(좌투좌타),1,41,0.339,7,6,3,0
16,2,61,내덕초-청주중-청주기공고-단국대-한화,0,21,0,34,0,52,1979년 03월 13일,마정길,0,0.857,6,177cm/95kg,33,200000000,0,0,63.66666667,1.49,200000000,02한화,29,98 한화 2차 10라운드 74순위,0,282,1114,넥센,1,4.1,투수(우언우타),1,61,0.26,12,10,2,7
17,0,14,미국 라코타 이스트고-미국 멤피스대,0,23,1,20,0,61,1986년 12월 19일,맥그레거,0,0.667,6,193cm/90kg,56,120000000,0,0,90,1.42,30000000,16넥센,52,16 넥센 자유선발,6,385,1425,넥센,3,5.2,투수(우투우타),3,108,0.299,0,13,1,1
28,1,30,강남초-덕수중-장충고,0,48,1,37,0,71,1996년 06월 19일,박주현,0,0.583,7,184cm/110kg,89,27000000,0,0,119,1.6,90000000,15넥센,84,15 넥센 2차 3라운드 29순위,5,538,2027,넥센,5,6.35,투수(우투우타),5,153,0.318,0,19,7,5
14,0,12,미국 홀랜드고,0,22,0,19,0,81,1979년 07월 31일,밴헤켄,0,0.7,7,193cm/90kg,29,,0,0,72,1.03,30000000,12넥센,27,12 넥센 자유선발,7,287,1183,넥센,3,3.38,투수(좌투우타),1,55,0.216,0,10,3,5
35,6,30,대전유천초-한밭중-대전고-단국대-NC-넥센-경찰,0,37,1,21,0,99,1989년 11월 18일,신재영,0,0.682,15,185cm/91kg,76,27000000,0,0,168.6666667,1.26,40000000,12NC,73,12 NC 8라운드 69순위,11,718,2655,넥센,7,3.9,투수(우언우타),2,192,0.286,0,19,7,8
