2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
21,2,27,덕성초(안산리틀)-안산중앙중-안산공고,2,29,0,41,0,116,1988년 07월 22일,김광현,0,0.579,11,188cm/88kg,68,850000000,0,1,137,1.31,500000000,07SK,59,07 SK 1차,15,583,2180,SK,8,3.88,투수(좌투좌타),3,139,0.263,1,17,6,1
4,1,23,역삼초-배명중-배명고-탐라대-두산-롯데,1,13,0,9,1,19,1981년 02월 11일,김승회,0,0.5,1,177cm/85kg,16,220000000,0,0,24.33333333,1.56,50000000,03두산,16,03 두산 2차 5라운드 40순위,0,105,425,SK,1,5.92,투수(우투우타),2,29,0.312,4,4,1,2
11,1,39,경주동천초-경주중-성남고-고려대,0,59,1,14,0,50,1993년 02월 03일,김주한,1,0.75,3,184cm/93kg,28,27000000,0,0,59.33333333,1.28,100000000,16SK,28,16 SK 2차 2라운드 15순위,0,254,993,SK,1,4.25,투수(우언우타),3,62,0.267,2,6,2,2
2,0,15,동구초(구리시립리틀)-구리인창중-구리인창고-SK-상무,2,60,0,12,0,9,1990년 05월 19일,김태훈,0,0,0,176cm/88kg,7,28000000,0,0,14.66666667,1.84,100000000,09SK,7,09 SK 1차,0,72,253,SK,1,4.3,투수(좌투좌타),4,15,0.263,0,1,1,1
7,0,17,도미니카 리세오 호세 누네즈 데 카케레스고,0,25,1,30,0,40,1988년 12월 20일,라라,0,0.25,2,186cm/82kg,46,180000000,0,0,48.33333333,1.99,,16SK,36,16 SK 자유선발,2,232,956,SK,6,6.7,투수(좌투우타),3,66,0.332,1,5,1,1
5,1,17,서림초-진흥중-진흥고-동의대,0,41,2,7,1,13,1987년 11월 09일,문광은,0,0.5,1,180cm/85kg,18,60000000,0,0,17,2.18,150000000,10SK,18,10 SK 1차 1라운드 8순위,0,85,333,SK,1,9.53,투수(우투우타),0,30,0.385,1,6,0,0
19,1,20,가동초-배명중-배명고-고려대-SK-상무,0,42,0,33,0,49,1989년 11월 28일,문승원,0,0.5,4,183cm/85kg,52,29000000,0,0,63.66666667,1.87,180000000,12SK,47,12 SK 1라운드 8순위,0,306,1215,SK,4,6.64,투수(우투우타),2,86,0.33,0,12,3,5
5,1,32,인천동막초-동인천중-인천고-인하대,1,93,0,9,0,18,1992년 02월 25일,박민호,0,0,0,185cm/95kg,20,40000000,0,0,36.66666667,1.34,100000000,14SK,20,14 SK 2차 3라운드 33순위,0,159,625,SK,1,4.91,투수(우언우타),0,40,0.284,3,4,2,3
17,1,49,중동초-공주중-공주고-한양대-두산,1,32,0,17,2,26,1982년 04월 01일,박정배,2,0.4,2,180cm/85kg,34,80000000,0,0,51.66666667,1.39,,05두산,31,05 두산 2차 6라운드 41순위,0,223,777,SK,3,5.4,투수(우투우타),7,55,0.284,11,6,5,4
24,3,28,군산중앙초-군산중-군산상고-SK-상무,0,50,0,91,0,104,1991년 08월 13일,박종훈,0,0.381,8,186cm/85kg,102,70000000,0,0,140,1.66,100000000,10SK,88,10 SK 2라운드 9순위,9,650,2553,SK,13,5.66,투수(우언우타),4,141,0.27,0,17,7,6
6,0,51,대전유천초-한밭중-대전고-동국대-SK-상무,3,47,0,26,4,37,1983년 07월 13일,박희수,26,0.444,4,184cm/88kg,23,140000000,0,0,54.66666667,1.26,50000000,06SK,20,02 SK 2차 6라운드 43순위,0,237,912,SK,5,3.29,투수(좌투좌타),2,43,0.214,0,3,2,3
