2루타,3루타,경기,경력 ,고의4구,등번호 ,보크,볼넷,블론세이브,삼진,생년월일 ,선수명 ,세이브,승률,승리,신장/체중 ,실점,연봉 ,완봉,완투,이닝,이닝당 출루허용률,입단 계약금 ,입단년도 ,자책점,지명순위 ,퀄리티스타트,타자수,투구수,팀명,패배,평균자책점,포지션 ,폭투,피안타,피안타율,홀드,홈런,희생번트,희생플라이
5,2,41,화곡초-선린중-선린정보고,0,45,0,11,1,35,1980년 03월 09일,권오준,0,0.25,1,182cm/80kg,20,70000000,0,0,46.33333333,1.27,240000000,99삼성,20,99 삼성 2차 1라운드 6순위,0,194,741,삼성,3,3.88,투수(우언우타),1,48,0.277,7,9,6,1
3,0,3,포항초-포철중-포철공고-SK-KIA-상무-KIA,0,49,0,3,0,7,1981년 03월 26일,김건한,0,1,1,182cm/82kg,5,60000000,0,0,9.666666667,1.24,220000000,01SK,4,01 SK 2차 1라운드 1순위,0,44,172,삼성,0,3.72,투수(우투우타),0,9,0.225,0,1,0,0
18,1,17,영랑초-설악중-동산고-삼성-상무,0,30,0,22,0,34,1987년 05월 11일,김기태,0,0.5,4,183cm/96kg,61,40000000,0,0,75,1.55,100000000,06삼성,59,06 삼성 2차 3라운드 23순위,2,343,1357,삼성,4,7.08,투수(우투우타),2,94,0.306,0,20,2,2
17,0,67,역삼초-대치중-서울고-홍익대-넥센-상무-넥센,1,17,0,19,1,37,1988년 11월 21일,김대우,0,1,6,183cm/85kg,39,110000000,0,0,66,1.53,20000000,11넥센,37,11 넥센 9라운드 67순위,0,295,1093,삼성,0,5.05,투수(우언우타),2,82,0.306,11,8,0,2
7,0,33,수창초-성광중-대구고-영남대,0,41,0,14,0,21,1985년 09월 10일,김동호,0,0,0,185cm/91kg,28,27000000,0,0,33,1.82,,15삼성,28,09 한화 육성선수,0,154,562,삼성,1,7.64,투수(우투우타),4,46,0.338,2,5,0,1
3,0,17,가동초-대치중-강릉고-한민대-삼성-상무,0,35,0,4,0,19,1988년 01월 21일,김현우,0,1,1,185cm/111kg,9,45000000,0,0,20.66666667,1.45,130000000,10삼성,8,10 삼성 2라운드 12순위,0,91,343,삼성,0,3.48,투수(우투우타),1,26,0.31,0,3,0,1
5,0,2,멕시코 살바도르 알렌데고,0,46,0,1,0,7,1988년 09월 06일,레온,0,0,0,183cm/90kg,10,450000000,0,0,8,2.13,50000000,16삼성,10,16 삼성 자유선발,0,40,152,삼성,1,11.25,투수(우투우타),0,16,0.457,0,2,2,1
5,0,60,양정초-부산동성중-부산고-KIA,1,61,0,27,2,40,1985년 08월 22일,박근홍,0,0,0,180cm/90kg,34,110000000,0,0,41,1.68,90000000,04KIA,34,04 KIA 2차 2라운드 14순위,0,192,839,삼성,2,7.46,투수(좌투좌타),3,42,0.269,9,5,4,1
12,2,70,옥산초-대구중-대구상원고,0,29,0,30,0,77,1987년 07월 13일,백정현,0,0.667,6,184cm/80kg,44,55000000,0,0,68.66666667,1.5,150000000,07삼성,44,07 삼성 2차 1라운드 8순위,0,306,1303,삼성,3,5.77,투수(좌투좌타),4,73,0.269,9,9,3,0
4,0,3,미국 헌팅턴비치고,0,40,0,12,0,5,1986년 06월 06일,벨레스터,0,0,0,196cm/88kg,14,400000000,0,0,12.33333333,2.59,100000000,16삼성,11,16 삼성 자유선발,0,66,256,삼성,3,8.03,투수(우투우타),2,20,0.392,0,1,0,3
11,0,62,동삼초-경남중-경남고-(대구사이버대),3,18,1,26,6,76,1993년 02월 01일,심창민,25,0.25,2,185cm/86kg,29,140000000,0,0,72.66666667,1.17,200000000,11삼성,24,11 삼성 1라운드 4순위,0,303,1255,삼성,6,2.97,투수(우언우타),1,59,0.217,4,6,1,0
9,1,31,칠성초-경운중-대구상고,0,28,0,15,3,41,1983년 10월 01일,안지만,5,0.286,2,180cm/83kg,26,750000000,0,0,37.33333333,1.58,50000000,02삼성,24,02 삼성 2차 5라운드 40순위,0,173,656,삼성,5,5.79,투수(우투우타),1,44,0.291,5,9,2,1
16,2,12,미국 맥마이클고,0,2,1,47,0,59,1990년 02월 10일,웹스터,0,0.5,4,188cm/86kg,48,750000000,0,0,71,1.68,100000000,16삼성,45,16 삼성 자유선발,7,325,1161,삼성,4,5.7,투수(우투우타),4,72,0.267,0,10,3,2
35,3,28,감천초-대신중-부산상고-동의대,0,1,1,41,0,85,1981년 10월 08일,윤성환,0,0.524,11,183cm/88kg,95,800000000,0,1,180,1.35,160000000,04삼성,87,04 삼성 2차 1라운드 8순위,16,767,2786,삼성,10,4.35,투수(우투우타),6,202,0.29,0,25,11,6
3,0,26,고명초-건대부중-청원고-송원대,0,93,0,14,0,13,1993년 08월 13일,임대한,0,0,0,178cm/85kg,18,27000000,0,0,28,1.68,90000000,16삼성,16,16 삼성 2차 3라운드 30순위,0,126,477,삼성,1,5.14,투수(우투좌타),1,33,0.308,0,2,2,1
12,4,26,사파초-창원신월중-용마고-경성대-현대-우리-히어로즈,1,13,0,23,1,53,1983년 06월 09일,장원삼,0,0.385,5,181cm/81kg,69,750000000,0,0,78.33333333,1.75,250000000,06현대,61,02 현대 2차 11라운드 89순위,4,366,1385,삼성,8,7.01,투수(좌투좌타),2,114,0.343,2,16,7,2
8,2,56,온양온천초-온양중-북일고-상무,0,26,0,26,3,57,1988년 04월 08일,장필준,4,0.4,4,190cm/90kg,42,28000000,0,0,72,1.5,,07상무,41,15 삼성 2차 1라운드 9순위,0,317,1309,삼성,6,5.13,투수(우투우타),4,82,0.292,9,9,3,2
25,1,27,본리초-경운중-대구고-(대구사이버대)-삼성-상무,0,20,0,62,0,70,1990년 12월 18일,정인욱,0,0.364,4,186cm/85kg,92,60000000,0,0,111,1.8,100000000,09삼성,84,09 삼성 2차 3라운드 21순위,2,533,2131,삼성,7,6.81,투수(우투우타),7,138,0.301,0,19,0,5
30,2,24,군산초-군산남중-군산상고-(대구사이버대),0,23,0,65,0,120,1987년 05월 31일,차우찬,0,0.667,12,185cm/80kg,87,400000000,0,1,152.3333333,1.53,150000000,06삼성,80,06 삼성 2차 1라운드 7순위,16,671,2681,삼성,6,4.73,투수(좌투좌타),5,168,0.29,0,16,10,9
3,0,3,수창초-대구중-경북고,0,51,1,11,0,6,1997년 03월 05일,최충연,0,0,0,190cm/85kg,11,27000000,0,0,7.666666667,2.87,280000000,16삼성,11,16 삼성 1차,0,45,186,삼성,2,12.91,투수(우투우타),0,11,0.324,0,2,0,0
14,0,13,도미니카,0,2,4,33,0,56,1986년 01월 27일,플란데,0,0.25,2,189cm/90kg,66,250000000,0,0,68.66666667,1.82,50000000,16삼성,58,16 삼성 자유선발,2,330,1331,삼성,6,7.6,투수(좌투좌타),1,92,0.315,0,13,3,1
