"","x"
"1",532
"2",407
"3",397
"4",2291
"5",2810
"6",1057
"7",2561
"8",341
"9",3353
"10",1724
"11",3588
"12",3437
"13",2416
"14",584
"15",2576
"16",1943
"17",612
"18",3517
"19",96
"20",2551
"21",898
"22",1692
"23",603
"24",2161
"25",3256
"26",1094
"27",2490
"28",1083
"29",2911
"30",296
"31",3031
"32",3672
"33",1542
"34",147
"35",3051
"36",727
"37",908
"38",3215
"39",2443
"40",2805
"41",3627
"42",1238
"43",2851
"44",844
"45",3676
"46",470
"47",1908
"48",2928
"49",2556
"50",524
"51",2721
"52",70
"53",3664
"54",3088
"55",185
"56",2056
"57",547
"58",3083
"59",1951
"60",1854
"61",1754
"62",3721
"63",1309
"64",769
"65",3003
"66",3069
"67",3860
"68",3636
"69",2135
"70",2887
"71",1553
"72",2889
"73",3695
"74",1000
"75",1762
"76",3315
"77",1246
"78",37
"79",2249
"80",2958
"81",3807
"82",585
"83",1016
"84",358
"85",715
"86",2038
"87",1203
"88",174
"89",909
"90",2749
"91",3843
"92",3356
"93",3343
"94",2460
"95",3296
"96",2411
"97",2869
"98",2078
"99",1962
"100",2961
"101",329
"102",1516
"103",2368
"104",2347
"105",531
"106",424
"107",3694
"108",557
"109",1716
"110",854
"111",3763
"112",1103
"113",1718
"114",2309
"115",2919
"116",2361
"117",92
"118",3456
"119",1141
"120",361
"121",3551
"122",1460
"123",1100
"124",3117
"125",2879
"126",2633
"127",2343
"128",391
"129",1084
"130",600
"131",1356
"132",3126
"133",2088
"134",294
"135",3702
"136",2508
"137",3460
"138",830
"139",740
"140",1794
"141",3642
"142",809
"143",3574
"144",2073
"145",3696
"146",1173
"147",1701
"148",918
"149",1631
"150",1154
"151",2732
"152",3682
"153",583
"154",3608
"155",1776
"156",1187
"157",714
"158",3044
"159",638
"160",1028
"161",2970
"162",1177
"163",133
"164",3540
"165",996
"166",3513
"167",2251
"168",1599
"169",2745
"170",1645
"171",6
"172",3609
"173",747
"174",680
"175",123
"176",655
"177",2285
"178",3372
"179",20
"180",1157
"181",2367
"182",231
"183",2854
"184",3554
"185",2781
"186",225
"187",946
"188",1037
"189",950
"190",1321
"191",1480
"192",2988
"193",2120
"194",2937
"195",1122
"196",2862
"197",2066
"198",3204
"199",3584
"200",3030
"201",300
"202",1236
"203",3278
"204",2189
"205",2814
"206",1582
"207",2725
"208",1483
"209",3019
"210",3593
"211",3303
"212",3669
"213",2420
"214",367
"215",2939
"216",493
"217",652
"218",1813
"219",3323
"220",3711
"221",3433
"222",1346
"223",2692
"224",2839
"225",1436
"226",2567
"227",2523
"228",3733
"229",3090
"230",2159
"231",3549
"232",458
"233",310
"234",1790
"235",1393
"236",281
"237",1604
"238",3766
"239",2046
"240",3163
"241",3139
"242",3242
"243",510
"244",1352
"245",443
"246",103
"247",478
"248",44
"249",608
"250",2264
"251",3404
"252",2774
"253",2920
"254",2276
"255",3546
"256",1463
"257",1973
"258",991
"259",3079
"260",2446
"261",3587
"262",1102
"263",2495
"264",3618
"265",1864
"266",3076
"267",890
"268",1784
"269",1104
"270",3261
"271",3378
"272",183
"273",3155
"274",3736
"275",1541
"276",111
"277",789
"278",1563
"279",435
"280",2324
"281",555
"282",473
"283",1455
"284",2831
"285",3417
"286",2511
"287",913
"288",2901
"289",1512
"290",1205
"291",3250
"292",2082
"293",2618
"294",3539
"295",1012
"296",1801
"297",3405
"298",2796
"299",880
"300",1684
"301",276
"302",1835
"303",3285
"304",1863
"305",3557
"306",2326
"307",3020
"308",1774
"309",306
"310",3190
"311",1376
"312",40
"313",3794
"314",1618
"315",3127
"316",2902
"317",2929
"318",3444
"319",3134
"320",2804
"321",3693
"322",2534
