지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
281,2010-01-01,-4.5,-8.5,108,1.1,1452,,,,,,,11.6,320,1314,6.9,290,1403,3.2,2722,-15.8,29,24,42.4,1.9,1009,1022.7,923,1018.8,1402,1021,9.8,7.6,,,,,,,,,,,-2.9,-14.4,,,,,,,,,,,,,
281,2010-01-02,-1.5,-10.3,345,7.5,1405,,,,,,0,9.6,320,2018,6.1,320,2010,1.9,1631,-7.3,43,1150,66.9,3.7,1004.8,1021.3,255,1011.6,1457,1016.6,9.8,3.8,,,,,,,,,,,-.8,-14.8,,,,,,,,,,,,,
281,2010-01-03,-2.9,-6.2,2045,2,1426,,,,,,,10.1,270,12,5.4,320,1007,2.7,2356,-14.8,18,1521,41.1,2,1008,1021.9,923,1017.6,0,1019.9,9.8,7.6,,,,,,,,,,,-1.4,-12.2,,,,,,,,,,,,,
281,2010-01-04,-2.5,-5.2,101,.8,1858,,,,,,1.5,12.2,340,2002,7.1,320,2008,1.9,1607,-8.3,34,1005,65.6,3.4,1000.6,1019.5,12,1006.1,1440,1012.4,9.8,.9,,,,,,,,,,,-1.3,-7.9,,,,,,,,,,,,,
281,2010-01-05,-4.7,-8.5,2358,-1.5,1246,,,,,,,11.9,270,1056,7.5,290,1059,3.9,3410,-13.1,38,1328,52.8,2.3,1007.8,1023,2330,1015,0,1019.8,9.8,7,,,,,,,,,,,-2.6,-11.4,,,,,,,,,,,,,
281,2010-01-06,-6.9,-12.7,802,-1.8,1407,,,,,,,11,290,1302,6.6,290,1325,3.2,2763,-14.6,35,1500,55.8,2,1011.4,1025,840,1020.9,1445,1023.5,9.8,7.7,,,,,,,,,,,-4.5,-15.4,,,,,,,,,,,,,
281,2010-01-07,-5.8,-9.8,637,-.5,1402,,,,,,,9.8,270,426,6.6,290,426,3.3,2824,-13.5,37,1345,55.5,2.2,1012.3,1025.7,1022,1022.6,1432,1024.3,9.9,7.6,,,,,,,,,,,-3.8,-13.6,,,,,,,,,,,,,
281,2010-01-08,-4.7,-13.3,650,1.9,1416,,,,,,,8.5,270,1236,5.6,290,1437,2.3,2018,-12.1,35,1409,58,2.4,1011.2,1024.8,809,1020.9,1502,1023.2,9.9,7.6,,,,,,,,,,,-2.8,-17.4,,,,,,,,,,,,,
281,2010-01-09,-1.3,-6.5,818,3.5,1436,,,,,,,9.5,290,1150,5.2,290,1157,2.1,1839,-10.6,23,1436,52.4,2.8,1012.5,1026.1,2356,1022.2,1431,1024.4,9.9,3.9,,,,,,,,,,,-1.6,-13.1,,,,,,,,,,,,,
281,2010-01-10,-1.4,-6.2,644,2.8,1436,,,,,,,7.5,340,55,4.3,320,105,1.6,1403,-7.6,41,1519,63.8,3.5,1013.9,1028.2,908,1023.8,2331,1025.8,9.9,.3,,,,,,,,,,,-1.2,-13.6,,,,,,,,,,,,,
281,2010-01-11,-.7,-3.9,748,2.9,1340,,,,,,,9.1,290,1621,6,290,1623,3.5,3032,-8.8,35,1357,55.1,3.2,1009.7,1024.1,335,1019.1,1405,1021.5,9.9,3.5,,,,,,,,,,,-1.2,-9.2,,,,,,,,,,,,,
281,2010-01-12,-4.8,-9.1,2228,-.9,1443,,,,,,,12.8,270,1303,7.7,290,1304,4,3452,-16.5,20,1424,41.3,1.8,1006.7,1020.9,839,1015.9,1444,1018.7,9.9,4.1,,,,,,,,,,,-2,-15.2,,,,,,,,,,,,,
281,2010-01-13,-7.6,-10.1,717,-4,1429,,,,,,,13.7,290,1040,7.9,290,1044,5,4297,-18.2,25,1230,43.4,1.5,1009.5,1026.5,2342,1017.4,149,1021.6,9.9,7.8,,,,,,,,,,,-4.7,-13.4,,,,,,,,,,,,,
281,2010-01-14,-6.2,-10.4,554,.7,1448,,,,,,,10.9,270,101,6.3,290,105,2.6,2247,-14.3,32,1344,54.5,2,1015.7,1030.1,946,1025.9,1447,1027.8,10,6.7,,,,,,,,,,,-3.8,-16,,,,,,,,,,,,,
281,2010-01-15,-4.2,-13,639,3.8,1337,,,,,,,9.6,270,1352,5.3,320,1653,1.6,1386,-10.3,42,1233,65,2.9,1017.5,1032.1,2300,1028,1341,1029.6,10,5.5,,,,,,,,,,,-3.3,-17.2,,,,,,,,,,,,,
281,2010-01-16,-2.2,-11.1,748,4.8,1514,,,,,,,8,290,1431,4.7,290,1127,2.1,1841,-15.2,15,1428,40.6,2,1019.9,1033.7,827,1029.5,1431,1032,10,7.8,,,,,,,,,,,-2.2,-18,,,,,,,,,,,,,
281,2010-01-17,-3.7,-12.3,733,6.4,1443,,,,,,,7.2,270,1417,4.5,290,1417,1,878,-17.9,11,1325,37.8,1.5,1020.2,1034.7,955,1030.9,1449,1032.3,10,7.8,,,,,,,,,,,-2.2,-17.7,,,,,,,,,,,,,
281,2010-01-18,-2.6,-11.4,614,8.9,1458,,,,,,,8.3,290,1306,5.5,290,1306,1.6,1397,-10.2,31,1118,59.3,2.9,1018.8,1032.4,912,1028.5,1432,1030.8,10.1,6.3,,,,,,,,,,,-1.3,-15.8,,,,,,,,,,,,,
281,2010-01-19,.4,-9.3,703,10.9,1505,,,,,,,4.3,270,1559,2.7,270,1617,.6,533,-6.7,28,1445,62.9,3.8,1017,1032.8,906,1025.6,2344,1028.9,10.1,6,,,,,,,,,,,.8,-15.3,,,,,,,,,,,,,
281,2010-01-20,8.1,3.7,10,12.8,1635,,,,,,5.5,5.7,320,1924,3.8,290,1932,.8,686,5.8,55,0,86.4,9.6,1005.8,1025.7,0,1011.9,1554,1017.2,10.1,0,,,,,,,,,,,5.3,1.7,,,,,,,,,,,,,
281,2010-01-21,3.6,-3.8,2357,9.6,341,,,,,,2,11.4,320,530,7,320,535,3.9,3352,-5.1,27,1447,56.5,4.9,1007.1,1025.5,2350,1011.3,310,1018.7,10.1,5.3,,,,,,,,,,,4.3,-8.8,,,,,,,,,,,,,
281,2010-01-22,-3,-5.7,437,1.1,1458,,,,,,,13.8,320,1252,7.8,290,1518,4.3,3694,-13.5,26,1500,45.6,2.2,1013.3,1027,1044,1022.9,1500,1025.3,10.1,7.6,,,,,,,,,,,-2,-11,,,,,,,,,,,,,
281,2010-01-23,-2.5,-6.2,557,2.4,1507,,,,,,,13,290,1234,7.9,290,1245,4.1,3510,-12,30,1511,49,2.5,1013.1,1026.7,311,1022.5,1442,1025,10.2,7.3,,,,,,,,,,,-2.2,-11,,,,,,,,,,,,,
281,2010-01-24,.8,-5.9,720,6.8,1535,,,,,,,9.7,270,202,5.7,290,258,3.1,2636,-8.9,28,1535,49.9,3.1,1011,1025.9,259,1020.1,1602,1022.8,10.2,7.7,,,,,,,,,,,-.1,-11.7,,,,,,,,,,,,,
281,2010-01-25,1.6,-3.3,2359,7,1158,,,,,,,13.3,290,1145,8.1,290,1145,3.7,3237,-13.1,13,1427,37.9,2.5,1010,1027.7,2313,1017.7,542,1021.8,10.2,7,,,,,,,,,,,.4,-10.9,,,,,,,,,,,,,
281,2010-01-26,-1.9,-7.3,342,5.4,1507,,,,,,,10.6,320,451,7,290,526,3.2,2751,-15.7,13,1410,37.5,1.9,1017.7,1032.5,919,1027.6,0,1029.7,10.3,7.8,,,,,,,,,,,-1.2,-13.2,,,,,,,,,,,,,
281,2010-01-27,.3,-9.4,710,8.7,1300,,,,,,4,8.1,290,1320,5.3,270,1333,1,865,-4.7,30,1147,73.4,4.8,1007.6,1028.4,7,1010.6,2303,1019.4,10.3,5,,,,,,,,,,,-1.1,-14.3,,,,,,,,,,,,,
281,2010-01-28,4.6,-.8,2310,9,1405,,,,,,,10.7,320,1413,7,290,1421,3.7,3239,-4,30,1630,56.5,4.8,1005.4,1021.7,2354,1010.9,6,1017,10.3,6.5,,,,,,,,,,,3.9,-8.9,,,,,,,,,,,,,
281,2010-01-29,1.4,-2.7,657,6.8,1434,,,,,,,11.4,340,1149,6.8,290,1109,4,3423,-10.9,31,1546,40.1,2.7,1010.6,1024.9,945,1019.7,1614,1022.4,10.3,8.2,,,,,,,,,,,.5,-9.5,,,,,,,,,,,,,
281,2010-01-30,2.4,-4.9,723,8.4,1445,,,,,,,6.6,290,252,4,290,259,1.7,1467,-7.5,27,1602,50.9,3.5,1010.9,1025.7,855,1020.1,1445,1022.6,10.4,5.5,,,,,,,,,,,1.8,-11.7,,,,,,,,,,,,,
281,2010-01-31,1,-4.6,554,10.8,1444,,,,,,,5.5,270,1456,3.2,360,1529,1,861,-5.1,32,1422,67.3,4.2,1008.7,1021.9,6,1018.4,1421,1020.5,10.4,5.3,,,,,,,,,,,2.2,-10.2,,,,,,,,,,,,,
281,2010-02-01,2.1,-2.7,253,8.1,1411,,,,,,,8.4,290,2247,5.4,320,2130,1.6,1398,-3.8,45,2125,66,4.7,1004.2,1020.1,32,1012.1,1339,1015.8,10.4,.1,,,,,,,,,,,1.7,-8.2,,,,,,,,,,,,,
281,2010-02-02,-1,-4.9,2351,3,1328,,,,,,,10.6,290,1122,6.5,290,1234,3.8,3323,-17.4,12,1528,32.8,1.8,1009.3,1024.7,2344,1017.6,0,1021.1,10.5,7.1,,,,,,,,,,,-.4,-10.3,,,,,,,,,,,,,
281,2010-02-03,-4.4,-7.8,710,1.1,1443,,,,,,,12,290,1526,7.1,290,945,4.7,4053,-20.5,14,1535,29.1,1.2,1013.3,1026.9,2335,1022.6,1404,1025.3,10.5,8.8,,,,,,,,,,,-2,-10.8,,,,,,,,,,,,,
281,2010-02-04,-2.6,-9.4,738,2.9,1425,,,,,,,13.3,270,1342,7.5,290,1348,3.5,3040,-15.8,19,1528,37.8,1.8,1012.7,1027.2,217,1021.8,1532,1024.6,10.5,8.2,,,,,,,,,,,-.9,-13.7,,,,,,,,,,,,,
281,2010-02-05,-.1,-3.3,2343,4.5,1352,,,,,,,12.1,320,1605,6.7,290,1621,4.3,3734,-16.5,13,1500,31.9,1.9,1012,1025.8,2358,1021.7,1403,1023.9,10.6,8.7,,,,,,,,,,,.4,-7.9,,,,,,,,,,,,,
281,2010-02-06,-2.3,-8.1,2338,6.2,1530,,,,,,,9.4,320,131,6,290,320,2.3,1963,-18.7,11,1452,31,1.4,1016.7,1031.3,2140,1025.7,0,1028.7,10.6,9.4,,,,,,,,,,,-.1,-14.8,,,,,,,,,,,,,
