지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
119,2014-01-01,3.4,-2.7,755,9.3,1444,,,,,,,11.6,250,1234,7,290,1337,2.4,2095,-2,33,1456,71.3,5.3,1010.7,1018.3,2400,1012.9,1,1014.9,9.7,5.9,1400,1.41,7.66,,,,,,1.1,1.1,-.4,-5.1,,,,,,,,,,,1.9,,
119,2014-01-02,1.8,-2.5,735,7.3,1413,,,,,,,6.4,340,11,3.5,320,12,1.2,1049,-8.5,22,1316,49.4,3.3,1017.2,1024.1,1052,1018.3,1,1021.5,9.7,8.7,1200,1.86,10.6,,,,,,.8,0,-.3,-5.1,,,,,,,,,,,1.5,,
119,2014-01-03,2.6,-2.8,209,9,1353,,,,,,,6.4,320,2203,4.4,340,2241,1.1,965,-3.9,31,1356,64.5,4.7,1013.5,1021.1,1,1015,1428,1017.8,9.7,2.4,1300,1.48,6.26,,,,,,5.3,2.4,-.3,-4.9,,,,,,,,,,,1.2,,
119,2014-01-04,0,-3.5,2400,5.7,1345,,,,,,,4.9,270,1612,3.5,270,1609,1.4,1252,-7.1,44,1210,60.1,3.6,1015.4,1021.2,2347,1018.1,1425,1019.7,9.7,7.9,1200,1.71,9.24,,,,,,0,0,-.4,-5.1,,,,,,,,,,,1.9,,
119,2014-01-05,-.8,-5.8,720,4.9,1402,,,,,,,5.4,290,1559,3.6,270,1615,1.1,970,-7.5,35,1419,63,3.5,1019.9,1027.1,2222,1021.1,1,1024.2,9.7,7.9,1200,1.54,8.8,,,,,,1.9,.8,-.8,-7,,,,,,,,,,,1.3,,
119,2014-01-06,-.1,-5.3,509,6.6,1443,,,,,,,4.1,230,1505,2.2,160,1111,.8,651,-6.2,38,1413,65.4,3.9,1024,1030.5,1004,1026.8,46,1028.4,9.7,7.8,1200,1.71,9.38,,,,,,1.3,1.3,-.8,-7,,,,,,,,,,,1.1,,
119,2014-01-07,1.8,-2.7,325,5.2,1520,,,,,,,2.4,180,1133,1.6,180,1223,.6,528,-4.3,48,1334,65,4.5,1021.4,1028,150,1023.9,2350,1025.7,9.7,0,1100,.77,4.56,,,,,,8.8,4.9,-.4,-4.2,,,,,,,,,,,.7,,
119,2014-01-08,1.2,-4.6,2358,5,1356,,,,,,,8.6,320,2131,5.7,320,2148,2.7,2296,-6.8,32,1625,56.5,4,1017.4,1024,2322,1018.8,1354,1021.7,9.8,3.9,1300,1.46,6.9,,,,,,7.3,2.8,.3,-5.3,,,,,,,,,,,1.9,,
119,2014-01-09,-6.2,-9.1,807,-2.9,1335,,,,,,,8,340,1421,4.7,340,501,2.7,2358,-21.2,15,1531,30.1,1.2,1024.8,1031.8,2302,1023.6,15,1029.3,9.8,9.4,1200,2.06,12.19,,,,,,0,0,-2.6,-10,,,,,,,,,,,1.5,,
119,2014-01-10,-4.7,-9.8,234,-.5,1312,1.08,,,,,0,4.4,200,1150,2.9,200,1158,1,904,-10.9,40,1,63.1,2.8,1027.7,1033.6,928,1030.9,1556,1032.1,9.8,4.1,1100,1.51,7.84,,,,,,4.1,4.1,-2.6,-10.9,,,,,,,,,,,1.3,0,
119,2014-01-11,-2.2,-7.4,753,2.2,1244,,,,,,,4,250,1450,2.7,250,1454,.8,651,-9.9,25,1537,61,3,1027.3,1034.4,946,1029.6,2351,1031.7,9.8,4.1,1100,1.68,7.65,,,,,,4.9,4.1,-2,-8.7,,,,,,,,,,,1.1,,
119,2014-01-12,-2.5,-7,2354,3.5,1338,.42,,,,,0,9.1,290,1431,5.3,290,1518,2.2,1863,-11.6,29,1902,51.5,2.7,1024.5,1031.5,2332,1027.1,1347,1028.9,9.8,5.4,1300,1.5,7.93,,,,,,2.4,2,-2.2,-8.1,,,,,,,,,,,1,0,
119,2014-01-13,-5.2,-9.1,711,-.2,1413,,,,,,,6.9,320,1411,4,320,1413,2,1725,-19.8,16,1259,31.6,1.3,1028.7,1035.5,1000,1031.2,1633,1033.1,9.8,9.4,1200,2.07,12.12,,,,,,0,0,-4,-10.6,,,,,,,,,,,1.7,,
