지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
281,2010-01-01,-4.5,-8.5,108,1.1,1452,,,,,,,11.6,320,1314,6.9,290,1403,3.2,2722,-15.8,29,24,42.4,1.9,1009,1022.7,923,1018.8,1402,1021,9.8,7.6,,,,,,,,,,,-2.9,-14.4,,,,,,,,,,,,,
281,2010-01-02,-1.5,-10.3,345,7.5,1405,,,,,,0,9.6,320,2018,6.1,320,2010,1.9,1631,-7.3,43,1150,66.9,3.7,1004.8,1021.3,255,1011.6,1457,1016.6,9.8,3.8,,,,,,,,,,,-0.8,-14.8,,,,,,,,,,,,,
281,2010-01-03,-2.9,-6.2,2045,2,1426,,,,,,,10.1,270,12,5.4,320,1007,2.7,2356,-14.8,18,1521,41.1,2,1008,1021.9,923,1017.6,0,1019.9,9.8,7.6,,,,,,,,,,,-1.4,-12.2,,,,,,,,,,,,,
281,2010-01-04,-2.5,-5.2,101,0.8,1858,,,,,,1.5,12.2,340,2002,7.1,320,2008,1.9,1607,-8.3,34,1005,65.6,3.4,1000.6,1019.5,12,1006.1,1440,1012.4,9.8,0.9,,,,,,,,,,,-1.3,-7.9,,,,,,,,,,,,,
281,2010-01-05,-4.7,-8.5,2358,-1.5,1246,,,,,,,11.9,270,1056,7.5,290,1059,3.9,3410,-13.1,38,1328,52.8,2.3,1007.8,1023,2330,1015,0,1019.8,9.8,7,,,,,,,,,,,-2.6,-11.4,,,,,,,,,,,,,
281,2010-01-06,-6.9,-12.7,802,-1.8,1407,,,,,,,11,290,1302,6.6,290,1325,3.2,2763,-14.6,35,1500,55.8,2,1011.4,1025,840,1020.9,1445,1023.5,9.8,7.7,,,,,,,,,,,-4.5,-15.4,,,,,,,,,,,,,
281,2010-01-07,-5.8,-9.8,637,-0.5,1402,,,,,,,9.8,270,426,6.6,290,426,3.3,2824,-13.5,37,1345,55.5,2.2,1012.3,1025.7,1022,1022.6,1432,1024.3,9.9,7.6,,,,,,,,,,,-3.8,-13.6,,,,,,,,,,,,,
281,2010-01-08,-4.7,-13.3,650,1.9,1416,,,,,,,8.5,270,1236,5.6,290,1437,2.3,2018,-12.1,35,1409,58,2.4,1011.2,1024.8,809,1020.9,1502,1023.2,9.9,7.6,,,,,,,,,,,-2.8,-17.4,,,,,,,,,,,,,
281,2010-01-09,-1.3,-6.5,818,3.5,1436,,,,,,,9.5,290,1150,5.2,290,1157,2.1,1839,-10.6,23,1436,52.4,2.8,1012.5,1026.1,2356,1022.2,1431,1024.4,9.9,3.9,,,,,,,,,,,-1.6,-13.1,,,,,,,,,,,,,
281,2010-01-10,-1.4,-6.2,644,2.8,1436,,,,,,,7.5,340,55,4.3,320,105,1.6,1403,-7.6,41,1519,63.8,3.5,1013.9,1028.2,908,1023.8,2331,1025.8,9.9,0.3,,,,,,,,,,,-1.2,-13.6,,,,,,,,,,,,,
281,2010-01-11,-0.7,-3.9,748,2.9,1340,,,,,,,9.1,290,1621,6,290,1623,3.5,3032,-8.8,35,1357,55.1,3.2,1009.7,1024.1,335,1019.1,1405,1021.5,9.9,3.5,,,,,,,,,,,-1.2,-9.2,,,,,,,,,,,,,
281,2010-01-12,-4.8,-9.1,2228,-0.9,1443,,,,,,,12.8,270,1303,7.7,290,1304,4,3452,-16.5,20,1424,41.3,1.8,1006.7,1020.9,839,1015.9,1444,1018.7,9.9,4.1,,,,,,,,,,,-2,-15.2,,,,,,,,,,,,,
281,2010-01-13,-7.6,-10.1,717,-4,1429,,,,,,,13.7,290,1040,7.9,290,1044,5,4297,-18.2,25,1230,43.4,1.5,1009.5,1026.5,2342,1017.4,149,1021.6,9.9,7.8,,,,,,,,,,,-4.7,-13.4,,,,,,,,,,,,,
281,2010-01-14,-6.2,-10.4,554,0.7,1448,,,,,,,10.9,270,101,6.3,290,105,2.6,2247,-14.3,32,1344,54.5,2,1015.7,1030.1,946,1025.9,1447,1027.8,10,6.7,,,,,,,,,,,-3.8,-16,,,,,,,,,,,,,
281,2010-01-15,-4.2,-13,639,3.8,1337,,,,,,,9.6,270,1352,5.3,320,1653,1.6,1386,-10.3,42,1233,65,2.9,1017.5,1032.1,2300,1028,1341,1029.6,10,5.5,,,,,,,,,,,-3.3,-17.2,,,,,,,,,,,,,
