지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
133,2015-01-01,-5.6,-8.3,740,-2.4,1412,2.77,,,,,0,12.6,340,6,5.5,340,15,2.5,2167,-11.9,46,1404,62.1,2.5,1016.3,1027.1,2015,1023,1,1025.3,9.7,8,1300,1.99,10.53,0,54,.5,1,0,4.1,4.1,-1.5,-13.3,.3,.7,1.1,2.1,4,6.9,9.7,15.3,17.8,,1.5,0,
133,2015-01-02,-4.7,-7.3,753,.3,1522,5.33,,,,,0,8.8,320,1354,4.8,320,1400,1.3,1164,-10.4,35,1534,67,2.8,1017.4,1028.2,2131,1024.4,1401,1026.3,9.7,5.4,1300,1.75,8.42,,,,,,3.3,3.3,-2.4,-11.4,0,.2,.6,1.8,3.8,6.9,9.6,15.2,17.7,,1.3,0,
133,2015-01-03,-2.9,-9.9,721,3.9,1538,,,,,,,3.7,160,1329,2.2,110,1230,.8,729,-7.2,50,1509,73.5,3.6,1015.9,1028.7,905,1020.6,2316,1024.8,9.8,8.6,1200,1.98,11.35,,,,,,3.1,2.4,-2.2,-14.8,-.7,-.4,0,1.4,3.6,6.8,9.5,15.1,17.7,,1.2,,
133,2015-01-04,2,-2.6,652,10.3,1359,,,,,,,5.2,180,1407,2.7,180,1411,.8,657,-1,58,1555,81.4,5.8,1010.4,1020.6,1,1016.8,1353,1019,9.8,5,1200,1.91,8.28,,,,,,3.4,3.4,.1,-7.1,-.2,-.2,.2,1.3,3.4,6.6,9.4,15,17.7,,.3,,
133,2015-01-05,3.2,-2.6,453,8.8,1513,3.33,,,,,6.1,2.7,320,2105,1.9,90,2148,.7,566,.4,58,1517,84,6.4,1008.6,1022.4,427,1009.8,2354,1017.2,9.8,4.1,1100,1.41,7.64,,,,,,7.3,4.4,1.4,-7.5,.1,0,.4,1.4,3.4,6.5,9.3,14.9,17.6,,1.3,15.8,3.32
133,2015-01-06,0,-5.8,2358,4.5,22,5.58,,,,,9.7,10.4,340,1459,4.8,320,1253,2.3,2002,-6.1,29,1502,66.9,4.3,1008.1,1021.9,2353,1009.9,3,1016.8,9.8,7.4,1200,2.14,12.05,,,,,,3.9,2.6,2.4,-9.6,2.3,1.3,2,2.2,3.5,6.4,9.1,14.8,17.6,,1.7,,
133,2015-01-07,-4.2,-7.8,412,1.8,1509,,,,,,,7.3,320,1431,4,320,1501,1.5,1267,-12.6,33,1355,53.4,2.3,1014.4,1025.4,2355,1021,1347,1023.3,9.8,8.4,1300,1.98,10.66,,,,,,2.3,0,-1.7,-11.6,.3,.6,1.1,2.1,3.9,6.4,9,14.7,17.6,,1.3,,
133,2015-01-08,-3.1,-8.7,641,3.1,1525,,,,,,,5.8,200,1257,3.2,200,1347,1.1,913,-8.2,38,1404,69.6,3.3,1017.8,1028.6,909,1025.2,1456,1026.7,9.8,8.9,1200,2.09,12.54,,,,,,0,0,-1.4,-12.3,-.1,.1,.6,1.6,3.6,6.4,9,14.6,17.5,,1.3,,
133,2015-01-09,-1.4,-5.5,600,1.9,1242,.23,,,,,.1,6.1,230,1247,3.7,180,1254,1,902,-3.6,65,1144,85,4.7,1017.3,1027.7,318,1024.5,2151,1026.1,9.8,1,1000,1.07,4.5,,,,,,4.5,4.5,-1.3,-10.5,-.1,0,.4,1.4,3.4,6.3,8.9,14.5,17.5,,.6,.1,
133,2015-01-10,1.3,-4.3,810,7.1,1529,,,,,,,7.8,320,1133,3.8,320,1140,1.4,1231,-3.6,46,1403,71.1,4.7,1015.9,1026.8,921,1022.4,2359,1024.6,9.9,8.4,1200,2.07,11.83,,,,,,.1,.1,-.1,-10.6,-.1,-.1,.3,1.3,3.2,6.2,8.8,14.4,17.4,,1.3,0,
