지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
155,2010-01-01,-2.1,-8,516,2.9,1441,,,,,,,6,140,1510,4.3,110,1512,1.5,1324,-12.8,31,2,44.3,2.3,1016.5,1023.1,845,1019.1,1610,1021.2,9.8,8.9,,,,,,,,,0,0,2.5,-10.9,,,,,,,,,,,,,
155,2010-01-02,3.5,-2.7,438,10.3,1517,,,,,,,6.2,360,2352,3.7,360,1532,1.1,986,-4.7,45,1613,55,4.4,1011.7,1020.6,12,1011.9,1508,1016.3,9.9,1.4,,,,,,,,,4,3.3,2.1,-6.6,,,,,,,,,,,,,
155,2010-01-03,1.2,-2,650,5,1514,,,,,,,7.5,90,849,4.2,50,12,1.7,1485,-12.3,17,1238,37.3,2.4,1014.6,1021.3,947,1016.8,0,1019.3,9.9,8.8,,,,,,,,,0.4,0,3,-6.6,,,,,,,,,,,,,
155,2010-01-04,2.7,-0.4,711,9.2,1500,2.33,,,,,1,15.6,290,1423,5.9,270,1431,2.1,1781,-7.9,27,114,46.5,3.7,1007.5,1018.9,0,1005.6,1357,1012,9.9,2.2,,,,,,,,,5.1,2.8,2.4,-4.1,,,,,,,,,,,,,
155,2010-01-05,-0.7,-3.7,2323,3.1,1325,,,,,,,9.6,320,1408,5.1,290,933,2.3,1991,-12.8,25,1438,40.5,2.3,1014.7,1022.5,2305,1015.2,33,1019.4,9.9,8.1,,,,,,,,,0.8,0.5,2,-6,,,,,,,,,,,,,
155,2010-01-06,-3.4,-6.5,622,1.3,1523,,,,,,,8,20,1105,4.8,50,1050,2.6,2240,-13.8,33,1628,44.6,2.1,1018,1024.3,2221,1020.2,1500,1022.7,9.9,8.9,,,,,,,,,0,0,1.7,-8.3,,,,,,,,,,,,,
155,2010-01-07,-2.7,-6.3,507,2.9,1443,,,,,,,8.7,360,1845,5.4,20,513,3.4,2939,-12.6,31,1444,47,2.3,1018.6,1024.5,35,1021.5,1502,1023.3,9.9,9,,,,,,,,,0,0,2,-7.7,,,,,,,,,,,,,
155,2010-01-08,-0.7,-5.2,630,4,1510,,,,,,,9.7,70,1141,5.7,50,1143,3.3,2858,-11,29,1504,46.6,2.7,1017.7,1023.8,1034,1020.2,1422,1022.4,9.9,8.9,,,,,,,,,0,0,2,-6.3,,,,,,,,,,,,,
155,2010-01-09,1.5,-2.6,706,5.9,1445,,,,,,,6.9,50,213,4.9,20,216,1.9,1605,-12.1,19,1449,37.4,2.5,1019.4,1025.7,2349,1021.9,1522,1024.1,9.9,4.5,,,,,,,,,4.5,2.6,2.1,-3.8,,,,,,,,,,,,,
155,2010-01-10,2.7,1,648,5.4,1358,,,,,,,9.5,50,839,4.7,70,847,2,1764,-7.4,34,1400,47.6,3.5,1020.4,1027.6,1042,1023.2,1704,1025.1,10,0,,,,,,,,,8.5,7.5,2.1,-3,,,,,,,,,,,,,
