지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
156,2014-01-01,5.2,.9,751,10.6,1356,,,,,,,10.6,270,1331,4.7,290,1333,1.9,1617,-4.1,20,1457,54.5,4.6,1008.5,1019.7,2354,1015.3,1,1017.5,9.8,7.5,1300,1.67,9.46,,,,,,.3,.3,2.8,-4.1,,,,,,,,,,,,,
156,2014-01-02,4.3,-.5,729,10.3,1455,,,,,,,4.2,70,1720,3.4,70,1843,1.1,964,-6.2,21,1457,51.1,4,1012.5,1024.3,1036,1019.7,1,1021.5,9.9,7.7,1200,1.74,8.75,,,,,,2.6,0,2.8,-6.4,,,,,,,,,,,,,
156,2014-01-03,4.5,-.9,742,11.8,1440,,,,,,,3.6,270,1708,2.4,20,2109,.9,740,-6.6,19,1442,47.3,3.7,1009,1021.2,4,1015.2,1507,1018,9.9,6.7,1200,1.64,7.93,,,,,,5.3,.4,2.6,-5.9,,,,,,,,,,,,,
156,2014-01-04,2.4,-.9,2341,6.7,1512,,,,,,,7.5,360,1916,3.2,290,1313,1.4,1223,-6.2,29,1507,55.4,3.9,1010.5,1021.2,2343,1017.7,43,1019.6,9.9,9.1,1200,1.91,11.03,,,,,,.5,.5,2.7,-5.3,,,,,,,,,,,,,
156,2014-01-05,1.2,-3.5,722,7.6,1411,,,,,,,5.8,320,1451,2.8,70,2254,1.2,1062,-8.1,20,1512,54.4,3.4,1014.7,1026.8,2155,1021.1,6,1023.9,9.9,9,1200,1.83,10.7,,,,,,0,0,1.8,-7.5,,,,,,,,,,,,,
156,2014-01-06,2.3,-3.2,745,8.8,1331,,,,,,,5.2,50,1255,3.7,70,9,1.2,994,-7.2,28,1332,51.9,3.6,1018.9,1030.1,1011,1026.1,4,1028,9.9,9,1200,1.81,10.32,,,,,,.5,0,2,-7.3,,,,,,,,,,,,,
156,2014-01-07,3.8,-2.2,520,9.6,1430,,,,,,,6,50,2047,4.1,70,2054,.9,796,-5,31,1313,54.1,4.2,1016.1,1028.4,202,1022.8,2346,1025.2,9.9,5.6,1200,1.51,7.37,,,,,,5.4,2.8,3.3,-6.4,,,,,,,,,,,,,
156,2014-01-08,2.9,-.7,2345,6,1355,7.02,,,,,1.5,10.2,50,2000,5.7,50,1357,2.9,2531,-3.2,44,154,65.8,5,1012,1024.2,2356,1017.3,1402,1021.1,9.9,.6,1300,.97,2.86,,,,,,7.9,5.1,3,-3.2,,,,,,,,,,,,,
156,2014-01-09,-3.4,-6.6,2345,-.6,1,,,,,,,11.8,20,1106,6.8,50,1352,4.1,3510,-14.8,27,1621,41.3,2,1019.8,1032.6,2237,1023.9,25,1029.1,10,9.4,1100,1.94,12.01,,,,,,1.6,1.6,-.3,-9.7,,,,,,,,,,,,,
156,2014-01-10,-1.9,-7.3,500,3.5,1357,.83,,,,,0,5.3,70,4,3.4,70,5,1.3,1090,-9.6,38,3,56.8,3.2,1023.3,1034.8,928,1030.9,1535,1032.6,10,6.6,1200,1.74,9.26,,,,,,3.6,3.6,-.4,-9.8,,,,,,,,,,,,,
156,2014-01-11,1.1,-2.4,631,5.6,1427,,,,,,,5.1,340,1726,3,270,1249,1,844,-5.3,40,1457,64,4.1,1023.1,1034.8,1005,1030.5,2343,1032.3,10,6.4,1100,1.61,8.66,,,,,,5,3.3,2.1,-7.3,,,,,,,,,,,,,
156,2014-01-12,.7,-2.8,2354,6,1446,,,,,,,7.8,20,1750,4.7,20,1537,1.4,1215,-5.4,47,1434,64,4.1,1020.4,1031.6,2353,1027.4,1407,1029.6,10,3.2,1200,1.41,6.05,,,,,,4.6,3.3,1.5,-5.5,,,,,,,,,,,,,
156,2014-01-13,-2.5,-6.2,632,2.6,1440,,,,,,,9.3,50,1258,6.3,50,1248,3.2,2792,-16.2,15,1441,38,1.8,1022.8,1033.9,907,1030.2,1440,1032.2,10,8.9,1200,2.06,11.88,,,,,,1.5,.1,-.1,-8.8,,,,,,,,,,,,,
156,2014-01-14,-1.3,-6.2,748,4.1,1251,,,,,,,9.6,50,1334,6.6,50,1410,3.3,2853,-14.9,20,1425,36,2,1023.5,1034,1017,1031.4,1436,1032.8,10,9.2,1200,1.93,11.59,,,,,,0,0,-.4,-9.7,,,,,,,,,,,,,
156,2014-01-15,-.6,-4.6,519,4.7,1408,,,,,,,7.3,20,1608,4.5,20,1616,2.3,1998,-10,27,1404,50.1,2.9,1023.5,1034.7,1012,1031.4,2400,1032.8,10,9.2,1200,1.86,11.24,,,,,,0,0,.1,-8.7,,,,,,,,,,,,,
156,2014-01-16,.4,-5.1,758,6.5,1439,,,,,,,6.2,50,1152,4.4,70,1141,1.7,1442,-7,35,1423,59.4,3.6,1020.5,1032.4,145,1027.3,1459,1029.8,10.1,8.7,1200,1.79,10.46,,,,,,1.9,0,.5,-8.4,,,,,,,,,,,,,
156,2014-01-17,1.7,-3.1,737,7.5,1453,,,,,,,4.7,50,1514,3,20,1521,.9,738,-4.1,42,1454,67.1,4.5,1018.1,1029.3,932,1025.1,1427,1027.2,10.1,6.3,1200,1.62,8.64,,,,,,2.4,2.4,1.6,-7.3,,,,,,,,,,,,,
