지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
119,2013-01-01,-3.4,-8.9,30,2,1300,8.72,,,,,5.1,11.2,320,2356,4.7,320,2400,1.9,1652,-6.3,51,1504,81.1,3.9,1014.2,1021.5,1,1016.8,650,1018.6,9.7,3.6,1300,1.18,6.41,6.5,2305,9.7,2305,8.5,7.3,6.4,-1.6,-10.4,-.4,0,.9,1.9,2.4,5.9,9.2,14.9,18,,1.1,3.7,
119,2013-01-02,-10.4,-13.8,2351,-3.4,1,,,,,,,12,320,128,6.4,320,108,2.8,2447,-18,42,604,54.6,1.5,1027.4,1037.1,2400,1020.4,1,1031.9,9.7,9.1,1300,1.83,9.9,,,9.7,1,,.6,.3,-2.5,-14.5,-.3,.1,.9,2,2.3,5.8,9,14.8,17.9,,1.2,,
119,2013-01-03,-12.3,-16.1,723,-7.6,1515,,,,,,,8,320,1222,4.5,320,1252,2.1,1797,-20.4,36,1122,51.4,1.2,1033.1,1039.6,859,1036.3,1453,1037.7,9.7,9.1,1200,1.94,10.91,,,8,1,,0,0,-5.8,-17.1,-1.1,0,.9,2,2.2,5.7,8.9,14.7,17.8,,1.9,,
119,2013-01-04,-11.8,-18.1,726,-3.7,1427,,,,,,,4.4,290,1634,2.4,250,1624,.8,676,-17.4,32,1429,66,1.6,1028.3,1037,305,1029.7,2237,1032.8,9.7,9.1,1200,1.84,10.53,,,6.9,1,,0,0,-5.8,-19,-1.3,-.1,.8,1.9,2.2,5.6,8.8,14.6,17.7,,.9,,
119,2013-01-05,-7.6,-15.8,249,.9,1410,,,,,,,5.5,270,1526,2.9,270,1528,.8,665,-11.1,41,1411,78.1,2.7,1022.3,1029.8,4,1024.1,1442,1026.8,9.7,8.4,1200,1.8,10.4,,,6,1,,2.4,2,-4.5,-17.5,-1.2,-.3,.7,1.8,2.2,5.5,8.7,14.5,17.7,,.8,,
119,2013-01-06,-6.6,-11.3,737,-.1,1346,,,,,,,6.1,230,1425,3.8,250,1430,.9,768,-11.2,41,1303,72.4,2.6,1022.1,1027.6,621,1025.3,1,1026.6,9.7,8,1100,1.92,10.58,,,5.5,1,,1.3,0,-4.2,-14.2,-1,-.2,.6,1.7,2.1,5.5,8.7,14.5,17.7,,2.1,,
119,2013-01-07,-6,-11.8,419,1.1,1403,,,,,,,5.9,320,1336,3,290,1530,.7,591,-10.1,41,1315,74.5,2.8,1021.2,1027.4,745,1024,1306,1025.6,9.7,5.2,1200,1.62,8.02,,,5.2,1,,5.4,1.6,-3.5,-13.5,-1,-.3,.5,1.7,2.1,5.4,8.6,14.4,17.6,,1,,
119,2013-01-08,-4.9,-9.6,739,.7,1355,,,,,,,5.8,340,1646,3,340,1654,1.1,914,-10.8,38,1532,67.1,2.7,1021.8,1027.9,1016,1024.7,1335,1026.2,9.8,7.9,1200,1.71,9.6,,,4.9,1,,2,0,-3.5,-11.8,-1,-.3,.4,1.6,2.1,5.4,8.5,14.3,17.6,,.9,,
119,2013-01-09,-7.8,-10.1,710,-5.2,1405,,,,,,,7,320,1254,3.9,270,1303,1.7,1493,-16.5,36,1330,49.9,1.7,1023.3,1029.1,1027,1026.4,1338,1027.8,9.8,9.3,1200,1.9,11.12,,,4.6,1,,0,0,-5,-13.8,-1.4,-.4,.5,1.6,2.1,5.3,8.4,14.3,17.5,,.8,,
119,2013-01-10,-8.4,-14.5,721,-2,1504,,,,,,,7.2,340,1406,4.2,320,1411,1,860,-16.1,30,1357,56.1,1.8,1026.9,1032.7,1031,1028.7,2,1031.4,9.8,9.1,1200,1.86,10.8,,,4.3,1,,0,0,-5.6,-16.4,-1.9,-.8,.4,1.4,2,5.2,8.3,14.1,17.5,,1.2,,
