지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
155,2015-01-01,-1.7,-4.4,746,1.3,1527,.25,,,,,0,16.1,340,1113,6.1,320,1216,2.7,2356,-18,17,1346,28.8,1.5,1017,1024.7,2212,1018.8,112,1021.8,9.8,8.8,,,,,,,,,.4,.4,-1.9,-5.8,,,,,,,,,,,,,
155,2015-01-02,-1,-5.4,718,3.8,1242,,,,,,,12,270,1652,5.5,290,1543,2.1,1798,-12.5,31,1731,42.3,2.4,1019,1026.4,2207,1020.7,1341,1023.8,9.8,8.5,,,,,,,,,1.3,1.3,-1.9,-8.3,,,,,,,,,,,,,
155,2015-01-03,.6,-5,719,6.4,1512,,,,,,,7.4,70,1052,4.6,50,1014,1.8,1523,-13.7,18,1142,34.5,2.2,1018.2,1026.5,39,1019.6,2342,1022.9,9.9,9.1,,,,,,,,,2.6,.5,-.4,-7.7,,,,,,,,,,,,,
155,2015-01-04,4.8,-.3,728,11.2,1526,,,,,,,3.8,20,1203,3.1,110,1444,1.1,991,-3.7,36,1136,55.1,4.8,1013.6,1019.7,29,1015.8,1439,1018.3,9.9,8.6,,,,,,,,,1,.6,2.6,-4.8,,,,,,,,,,,,,
155,2015-01-05,6.1,.9,618,11.3,1544,2.83,,,,,3.5,4.9,140,1539,3.6,360,400,1.3,1115,.7,45,1417,69.8,6.5,1012.9,1021.5,546,1009.7,2358,1017.5,9.9,3.9,,,,,,,,,6.5,2.9,4.2,-2.9,,,,,,,,,,,,,
155,2015-01-06,6.3,.9,2325,9.7,1205,4.17,,,,,12,10.4,50,922,5.3,50,1049,2.4,2096,-5.5,18,1839,49.4,5.1,1007,1016.8,2138,1005.8,354,1011.5,9.9,8.6,,,,,,,,,4,1.4,6.3,-.4,,,,,,,,,,,,,2.5
155,2015-01-07,.1,-2.2,649,3.2,1417,,,,,,,10.1,70,759,5,50,821,2.4,2098,-17.4,16,1438,26.1,1.6,1014.9,1022.8,2345,1016.5,2,1019.6,9.9,8.2,,,,,,,,,3,0,.8,-3.4,,,,,,,,,,,,,
155,2015-01-08,.4,-4.1,733,5.3,1447,,,,,,,8.1,50,218,4.9,50,218,2.5,2138,-13.3,23,1417,35.6,2.2,1018.9,1026.1,928,1021.6,1451,1023.6,9.9,9,,,,,,,,,0,0,.2,-6,,,,,,,,,,,,,
155,2015-01-09,2.5,-1.3,726,7.2,1520,,,,,,,9.2,290,1627,4.5,20,1214,2.1,1834,-8.7,33,1556,43.6,3.2,1019.2,1026.2,938,1022.1,1419,1023.8,9.9,9,,,,,,,,,.3,.3,.8,-4.2,,,,,,,,,,,,,
155,2015-01-10,3.5,0,523,8.8,1431,,,,,,,7,90,1324,3.7,50,1339,1.6,1353,-9,23,1437,40.6,3.1,1018.4,1025.3,912,1021.5,1450,1023,10,9.1,,,,,,,,,0,0,1.9,-3.6,,,,,,,,,,,,,
155,2015-01-11,3.8,-1.3,541,10.3,1430,,,,,,,13.3,320,1309,5.3,290,1417,1.9,1610,-9.6,18,1251,39.8,3,1018.1,1027.1,2352,1019.3,1334,1022.8,10,8.8,,,,,,,,,.1,.1,1.6,-5.3,,,,,,,,,,,,,
155,2015-01-12,1.6,-1.7,639,6.5,1513,,,,,,,9.6,70,942,5.4,50,929,1.9,1676,-10.6,28,1434,40.4,2.7,1028.4,1035.8,2223,1027,1,1033.2,10,9,,,,,,,,,.3,.3,1,-4,,,,,,,,,,,,,
155,2015-01-13,3.6,-1.2,418,9.2,1524,,,,,,,5.1,360,936,3.1,50,928,1.3,1080,-7,31,1530,46.1,3.6,1029.1,1036.4,817,1031.3,2357,1033.8,10,6.5,,,,,,,,,4.6,.8,1.4,-5.1,,,,,,,,,,,,,
155,2015-01-14,4.8,3.1,446,6.6,1316,13.83,,,,,1,5.7,360,2157,2.9,360,1812,1.2,1068,-1.6,49,118,63.9,5.5,1021.2,1031.3,1,1020.5,2351,1025.8,10,0,,,,,,,,,10,7.9,3.5,.6,,,,,,,,,,,,,
